,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - April, 2022",,
Mangal Wedha APMC,44.0,23.0,34.0,91.3%,29.4%
Mangrulpeer APMC,162.0,241.0,376.0,-32.8%,-56.9%
Manmad APMC,75.0,87.0,26.0,-13.8%,188.5%
Manora APMC,191.0,82.0,199.0,132.9%,-4.0%
Mantha APMC,33.0,50.0,122.0,-34.0%,-73.0%
Manwat APMC,40.0,19.0,51.0,110.5%,-21.6%
Mauda APMC,52.0,3.0,-,1633.3%,-
Mehekar APMC,251.0,96.0,181.0,161.5%,38.7%
Mohol APMC,1.0,-,1.0,-,-
Morshi APMC,475.0,293.0,351.0,62.1%,35.3%
Mumbai APMC,18624.0,19359.0,24777.0,-3.8%,-24.8%
Murtizapur APMC,1053.0,703.0,764.0,49.8%,37.8%
Murum APMC,8.0,13.0,25.0,-38.5%,-68.0%
Nagpur APMC,5443.0,5685.0,5005.0,-4.3%,8.8%
Nampur APMC,-,-,2.0,-,-
Nanded APMC,42.0,42.0,37.0,-,13.5%
Nandgaon APMC,128.0,99.0,110.0,29.3%,16.4%
Nandgaon Khandeshwar APMC,-,-,121.0,-,-
Nandura APMC,71.0,-,125.0,-,-43.2%
Nandurbar APMC,2173.0,2133.0,428.0,1.9%,407.7%
Navapur APMC,161.0,-,-,-,-
Newasa APMC,11.0,3.0,13.0,266.7%,-15.4%
Nira(Saswad) APMC,33.0,43.0,42.0,-23.3%,-21.4%
Pachora APMC,-,-,189.0,-,-
Paithan APMC,241.0,115.0,261.0,109.6%,-7.7%
Palghar APMC,90.0,126.0,58.0,-28.6%,55.2%
Pandharpur APMC,-,-,3.0,-,-
Parali Vaijyanath APMC,-,1.0,-,-,-
Paranda APMC,13.0,7.0,7.0,85.7%,85.7%
Parbhani APMC,230.0,144.0,98.0,59.7%,134.7%
Partur APMC,44.0,54.0,93.0,-18.5%,-52.7%
Pathardi APMC,19.0,25.0,17.0,-24.0%,11.8%
Pathari APMC,33.0,16.0,39.0,106.2%,-15.4%
Patur APMC,97.0,30.0,42.0,223.3%,130.9%
Phaltan APMC,16.0,157.0,-,-89.8%,-
Pulgaon APMC,350.0,38.0,13.0,821.0%,2592.3%
Pune APMC,1243.0,1016.0,192.0,22.3%,547.4%
Purna APMC,2.0,-,8.0,-,-75.0%
Rahata APMC,146.0,68.0,79.0,114.7%,84.8%
Rahuri APMC,23.0,2.0,152.0,1050.0%,-84.9%
Rahuri(Vambori) APMC,49.0,27.0,48.0,81.5%,2.1%
Ramtek APMC,924.0,2911.0,441.0,-68.3%,109.5%
Raver APMC,94.0,103.0,158.0,-8.7%,-40.5%
Sangamner APMC,12.0,20.0,22.0,-40.0%,-45.5%
Sangli APMC,706.0,1090.0,308.0,-35.2%,129.2%
Sangrampur(Varvatbakal) APMC,-,-,22.0,-,-
Satana APMC,132.0,50.0,250.0,164.0%,-47.2%
Savner APMC,262.0,120.0,79.0,118.3%,231.7%
Selu APMC,8.0,7.0,24.0,14.3%,-66.7%
Shahada APMC,1388.0,395.0,607.0,251.4%,128.7%
Shegaon APMC,49.0,26.0,154.0,88.5%,-68.2%
Shevgaon APMC,94.0,103.0,100.0,-8.7%,-6.0%
Shevgaon(Bodhegaon) APMC,31.0,34.0,67.0,-8.8%,-53.7%
Shirpur APMC,964.0,1531.0,468.0,-37.0%,106.0%
Shirur APMC,10.0,14.0,13.0,-28.6%,-23.1%
Shrigonda APMC,62.0,84.0,95.0,-26.2%,-34.7%
Shrigonda(Gogargaon) APMC,13.0,76.0,19.0,-82.9%,-31.6%
Shrirampur APMC,42.0,34.0,137.0,23.5%,-69.3%
Shrirampur(Belapur) APMC,10.0,7.0,34.0,42.9%,-70.6%
Sillod APMC,790.0,1001.0,860.0,-21.1%,-8.1%
Sillod(Bharadi) APMC,66.0,47.0,49.0,40.4%,34.7%
Sindi APMC,50.0,15.0,30.0,233.3%,66.7%
Sindi(Selu) APMC,913.0,511.0,781.0,78.7%,16.9%
Sinner APMC,9.0,80.0,-,-88.8%,-
Solapur APMC,3476.0,3117.0,2076.0,11.5%,67.4%
Sonpeth APMC,2.0,-,1.0,-,100.0%
Tadkalas APMC,17.0,20.0,-,-15.0%,-
Taloda APMC,603.0,171.0,392.0,252.6%,53.8%
Tasgaon APMC,41.0,39.0,48.0,5.1%,-14.6%
Telhara APMC,-,97.0,-,-,-
Tuljapur APMC,12.0,41.0,42.0,-70.7%,-71.4%
Tumsar APMC,1027.0,603.0,330.0,70.3%,211.2%
Ulhasnagar APMC,548.0,655.0,741.0,-16.3%,-26.1%
Umared APMC,26.0,165.0,101.0,-84.2%,-74.3%
Umarga APMC,3.0,6.0,-,-50.0%,-
Umari APMC,-,3.0,-,-,-
Umarked(Danki) APMC,36.0,27.0,48.0,33.3%,-25.0%
Umarkhed APMC,12.0,-,-,-,-
Vaduj APMC,25.0,20.0,9.0,25.0%,177.8%
Vadvani APMC,1.0,2.0,-,-50.0%,-
Vaijpur APMC,78.0,305.0,178.0,-74.4%,-56.2%
Varud(Rajura Bazar) APMC,3.0,4.0,-,-25.0%,-
Vasai APMC,399.0,463.0,553.0,-13.8%,-27.9%
Wardha APMC,1087.0,1230.0,1010.0,-11.6%,7.6%
Washim APMC,1656.0,2390.0,635.0,-30.7%,160.8%
Washim(Ansing) APMC,178.0,423.0,19.0,-57.9%,836.8%
Yawal APMC,1244.0,136.0,-,814.7%,-
Yeola APMC,83.0,84.0,212.0,-1.2%,-60.9%
Yeotmal APMC,547.0,388.0,545.0,41.0%,0.4%
Total,81690.0,84482.0,83378.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

