,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - October, 2025",,
Jalgaon Jamod(Aasalgaon) APMC,2700.0,2700.0,2537.68,-,6.4%
Jalgaon(Masawat) APMC,2500.0,2555.56,-,-2.2%,-
Jamkhed APMC,2519.42,2576.29,2417.55,-2.2%,4.2%
Jintur APMC,-,2527.5,-,-,-
Kada APMC,-,2900.0,-,-,-
Kaij APMC,2403.2,2387.25,-,0.7%,-
Kalamb (Dharashiv) APMC,2631.85,2482.39,2987.07,6.0%,-11.9%
Kalvan APMC,-,-,2542.67,-,-
Kalyan APMC,3476.56,3427.5,3169.44,1.4%,9.7%
Kandhar APMC,2800.0,2788.96,2120.0,0.4%,32.1%
Kannad APMC,2572.34,2555.58,2872.45,0.7%,-10.4%
Karanja APMC,2552.66,2650.0,2784.68,-3.7%,-8.3%
Karjat APMC,2425.19,2392.55,2481.31,1.4%,-2.3%
Karjat(Rashin) APMC,2413.43,2369.9,-,1.8%,-
Karmala APMC,2369.83,2477.86,2636.17,-4.4%,-10.1%
Katol APMC,2498.76,2612.55,2714.09,-4.4%,-7.9%
Khamgaon APMC,2465.48,2482.96,2635.68,-0.7%,-6.5%
Kille Dharur APMC,2610.26,2512.06,2955.42,3.9%,-11.7%
Kisan Market Yard APMC,2508.33,2545.0,2708.75,-1.4%,-7.4%
Kopargaon APMC,2530.96,2648.0,2889.65,-4.4%,-12.4%
Kurdwadi APMC,-,-,2400.0,-,-
Kurdwadi(Modnimb) APMC,2681.77,2591.82,2563.83,3.5%,4.6%
Lasalgaon APMC,2658.13,2592.05,3088.58,2.5%,-13.9%
Lasalgaon(Niphad) APMC,2551.59,2633.88,2835.08,-3.1%,-10.0%
Lasalgaon(Vinchur) APMC,-,-,2951.0,-,-
Lasur Station APMC,2580.77,2620.0,2902.62,-1.5%,-11.1%
Latur(Murud) APMC,-,2250.0,-,-,-
Loha APMC,2509.53,2459.56,2800.59,2.0%,-10.4%
Lonar APMC,2452.3,2483.05,2617.62,-1.2%,-6.3%
"Mahesh Krushi Utpanna Bazar, Digras APMC",2522.73,2548.62,2192.55,-1.0%,15.1%
Majalgaon APMC,2558.64,2590.08,2674.96,-1.2%,-4.3%
Malegaon APMC,2468.49,2471.27,2962.29,-0.1%,-16.7%
Malkapur APMC,2486.77,2594.1,2799.29,-4.1%,-11.2%
Mangal Wedha APMC,2988.17,2900.08,3100.0,3.0%,-3.6%
Mangrulpeer APMC,2551.81,2586.66,2730.84,-1.4%,-6.6%
Manmad APMC,2514.36,2594.91,2700.84,-3.1%,-6.9%
Manora APMC,2480.25,2659.33,2669.82,-6.7%,-7.1%
Mantha APMC,2500.0,2450.83,3300.0,2.0%,-24.2%
Manwat APMC,2700.0,-,-,-,-
Mehekar APMC,2510.71,2638.57,2500.0,-4.8%,0.4%
Morshi APMC,2335.87,2345.21,2664.83,-0.4%,-12.3%
Motala APMC,2000.0,-,1900.0,-,5.3%
Mudkhed APMC,-,2350.0,-,-,-
Mukhed APMC,-,2500.0,-,-,-
Mumbai APMC,4305.9,4279.5,4400.0,0.6%,-2.1%
Murtizapur APMC,2493.28,2511.19,2587.71,-0.7%,-3.6%
Murum APMC,2390.52,2433.83,3200.0,-1.8%,-25.3%
Nagpur APMC,3011.59,3010.6,3157.59,-,-4.6%
Nanded APMC,2760.17,2707.01,2719.88,2.0%,1.5%
Nandgaon APMC,2543.1,2599.41,3150.64,-2.2%,-19.3%
Nandgaon Khandeshwar APMC,2435.0,2442.62,2350.09,-0.3%,3.6%
Nandura APMC,-,2565.38,2792.62,-,-
Nandurbar APMC,2512.01,2670.25,2536.01,-5.9%,-0.9%
Navapur APMC,2410.0,-,2725.0,-,-11.6%
Newasa APMC,2600.0,2700.0,2600.0,-3.7%,-
Nira(Saswad) APMC,2675.0,-,-,-,-
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,2503.0,2604.68,2681.44,-3.9%,-6.7%
Pachora APMC,2273.43,2380.23,2631.66,-4.5%,-13.6%
Paithan APMC,2577.8,2610.36,2918.19,-1.2%,-11.7%
Palam APMC,2800.0,-,-,-,-
Palghar APMC,3266.86,3245.66,3314.86,0.7%,-1.4%
Parali Vaijyanath APMC,2338.98,2449.41,-,-4.5%,-
Paranda APMC,2514.29,2422.73,2623.53,3.8%,-4.2%
Parbhani APMC,2267.86,2650.0,-,-14.4%,-
Parola APMC,2344.12,2482.23,2609.83,-5.6%,-10.2%
Partur APMC,2411.99,2520.98,2382.89,-4.3%,1.2%
Pathardi APMC,2796.67,2843.15,2800.0,-1.6%,-0.1%
Pathari APMC,2400.0,-,2412.5,-,-0.5%
Patur APMC,2444.0,2533.07,2543.76,-3.5%,-3.9%
Phaltan APMC,2600.0,2652.4,2750.0,-2.0%,-5.5%
Pune APMC,4756.55,4768.2,-,-0.2%,-
Pusad APMC,2766.76,2698.65,-,2.5%,-
Rahata APMC,2590.18,2604.22,2869.12,-0.5%,-9.7%
Rahuri APMC,2585.93,2632.4,2609.02,-1.8%,-0.9%
Rahuri(Vambori) APMC,2516.35,2532.67,2752.61,-0.6%,-8.6%
Ramtek APMC,-,-,2663.0,-,-
Raver APMC,2534.66,2578.9,2760.12,-1.7%,-8.2%
Sakri APMC,2478.03,2699.6,2692.61,-8.2%,-8.0%
Sangamner APMC,-,-,2811.64,-,-
Sangli APMC,3682.73,4199.18,3621.6,-12.3%,1.7%
Sangrampur(Varvatbakal) APMC,-,2412.5,-,-,-
Satana APMC,2576.47,2753.67,2902.85,-6.4%,-11.2%
Savner APMC,2449.07,2560.66,2655.26,-4.4%,-7.8%
Selu APMC,2593.57,-,-,-,-
Shahada APMC,2583.56,2650.33,2794.85,-2.5%,-7.6%
Shegaon APMC,2328.69,2427.4,2580.0,-4.1%,-9.7%
Shevgaon APMC,2619.16,2642.7,2818.17,-0.9%,-7.1%
Shevgaon(Bodhegaon) APMC,2473.77,2541.51,2586.48,-2.7%,-4.4%
Shirpur APMC,2546.74,2592.08,2656.82,-1.8%,-4.1%
Shirur APMC,2478.27,2656.92,2516.67,-6.7%,-1.5%
Shree Salasar Krushi Bazar  APMC,2000.0,-,-,-,-
Shrigonda APMC,2760.34,2700.0,2700.0,2.2%,2.2%
Shrigonda(Gogargaon) APMC,-,-,2566.02,-,-
Shrirampur APMC,2550.34,2526.34,2648.95,0.9%,-3.7%
Shrirampur(Belapur) APMC,2400.0,2400.0,2338.58,-,2.6%
Sillod APMC,2566.15,2592.83,2672.61,-1.0%,-4.0%
Sillod(Bharadi) APMC,2525.0,2559.5,2691.67,-1.4%,-6.2%
Sindi(Selu) APMC,2300.0,2547.67,2457.29,-9.7%,-6.4%
Sindkhed Raja APMC,2100.0,2100.0,-,-,-
Sinner APMC,2605.56,2752.61,2927.16,-5.3%,-11.0%
Solapur APMC,3326.88,3324.75,3338.6,0.1%,-0.3%
Sonpeth APMC,2404.76,-,-,-,-
Tadkalas APMC,-,2386.31,2384.21,-,-
Tasgaon APMC,3386.86,3041.7,2631.6,11.3%,28.7%
Telhara APMC,2620.0,2634.24,2674.15,-0.5%,-2.0%
Tuljapur APMC,-,2488.66,-,-,-
Tumsar APMC,2498.59,2547.06,2623.2,-1.9%,-4.8%
Ulhasnagar APMC,3357.81,3377.53,3258.12,-0.6%,3.1%
Umared APMC,2501.71,2517.53,2763.5,-0.6%,-9.5%
Umarga APMC,2317.18,2424.94,2567.5,-4.4%,-9.8%
Umarked(Danki) APMC,-,-,2500.0,-,-
Vaduj APMC,2900.0,2860.0,2559.38,1.4%,13.3%
Vadvani APMC,2590.69,2646.91,3084.63,-2.1%,-16.0%
Varud(Rajura Bazar) APMC,2250.0,2478.18,2572.6,-9.2%,-12.5%
Vasai APMC,-,-,3515.23,-,-
Wardha APMC,2554.8,2635.31,2726.67,-3.1%,-6.3%
Washim APMC,2488.68,2490.89,2638.71,-0.1%,-5.7%
Washim(Ansing) APMC,2394.53,2529.93,2552.78,-5.3%,-6.2%
Yawal APMC,-,2550.0,2710.0,-,-
Yeola APMC,2505.07,2611.43,2839.75,-4.1%,-11.8%
Yeotmal APMC,2504.18,2606.62,2699.49,-3.9%,-7.2%
Average,2574.13,2616.05,2713.14,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

