Market,"Arrivals February, 2022 (Metric Tonnes)","Arrivals January, 2022 (Metric Tonnes)","Arrivals February, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Kurdwadi APMC,1.0,-1.6875718369594468,6.532758451172312,-,-
Kurdwadi(Modnimb) APMC,14.0,6.0,11.0,133.3%,27.3%
Lasalgaon APMC,276.0,114.0,760.0,142.1%,-63.7%
Lasalgaon(Niphad) APMC,61.0,54.0,150.0,13.0%,-59.3%
Lasalgaon(Vinchur) APMC,42.0,3.0,321.0,1300.0%,-86.9%
Lasur Station APMC,485.0,296.0,1067.0,63.9%,-54.5%
Latur APMC,323.0,148.0668399360459,2405.0,-,-86.6%
Latur(Murud) APMC,39.48384343197792,43.0,2.0,-,-
Loha APMC,7.0,5.0,9.0,40.0%,-22.2%
Lonar APMC,229.0,275.0,234.0,-16.7%,-2.1%
Majalgaon APMC,81.0,63.0,62.0,28.6%,30.6%
Malegaon APMC,180.0,152.0,447.0,18.4%,-59.7%
Malegaon(Vashim) APMC,6.0,-47.25554670343314,675.0,-,-99.1%
Malkapur APMC,230.0,396.0,337.0,-41.9%,-31.8%
Mandhal APMC,222.76899429892597,227.20608269024808,1.0,-,-
Mangal Wedha APMC,7.0,1.0,5.0,600.0%,40.0%
Mangrulpeer APMC,20.0,39.0,130.0,-48.7%,-84.6%
Manmad APMC,62.0,30.0,246.0,106.7%,-74.8%
Manora APMC,2.0,-0.4651682834553936,4.0,-,-50.0%
Mantha APMC,29.0,30.0,23.0,-3.3%,26.1%
Mehekar APMC,109.0,135.0,223.0,-19.3%,-51.1%
Morshi APMC,143.0,134.0,75.0,6.7%,90.7%
Mudkhed APMC,222.76899429892597,227.20608269024808,1.0,-,-
Mumbai APMC,11733.0,12015.0,10479.0,-2.4%,12.0%
Murtizapur APMC,79.0,82.0,198.0,-3.7%,-60.1%
Murum APMC,3.0,1.0,2.0,200.0%,50.0%
Nagpur APMC,2693.0,1216.0,924.0,121.5%,191.4%
Nampur APMC,1.0,3.0,17.0,-66.7%,-94.1%
Nanded APMC,24.0,46.0,25.0,-47.8%,-4.0%
Nandgaon APMC,66.0,47.0,255.0,40.4%,-74.1%
Nandgaon Khandeshwar APMC,1.0,1.0,1.0,-,-
Nandura APMC,16.0,81.0,39.0,-80.2%,-59.0%
Nandurbar APMC,198.0,130.0,1799.0,52.3%,-89.0%
Newasa APMC,3.771772007939504,2.0,6.0,-,-
Nilanga APMC,2.0,1.0,5.0,100.0%,-60.0%
Nira(Saswad) APMC,28.0,14.0,55.217801908636716,100.0%,-
Pachora APMC,80.56636772366781,59.0,208.0,-,-
Paithan APMC,68.0,48.0,102.0,41.7%,-33.3%
Palghar APMC,101.0,121.0,97.0,-16.5%,4.1%
Pandharpur APMC,1.0,-1.6875718369594468,6.532758451172312,-,-
Paranda APMC,5.0,2.0,10.0,150.0%,-50.0%
Parbhani APMC,9.0,-3.3447472731161625,137.0,-,-93.4%
Partur APMC,44.0,47.0,20.0,-6.4%,120.0%
Pathardi APMC,24.0,20.0,22.0,20.0%,9.1%
Pathari APMC,5.0,4.0,5.0,25.0%,-
Patur APMC,24.0,19.0,16.0,26.3%,50.0%
Phaltan APMC,65.0,63.0,34.0,3.2%,91.2%
Pulgaon APMC,223.39310639505007,227.697316345566,3.0,-,-
Pune APMC,993.0,693.0,125.0,43.3%,694.4%
Rahata APMC,29.0,13.0,46.0,123.1%,-37.0%
Rahuri APMC,1.0,4.0,21.0,-75.0%,-95.2%
Rahuri(Vambori) APMC,16.0,18.0,58.0,-11.1%,-72.4%
Ramtek APMC,51.0,110.0,22.0,-53.6%,131.8%
Raver APMC,32.0,27.0,76.0,18.5%,-57.9%
Sangamner APMC,23.0,20.0,94.0,15.0%,-75.5%
Sangli APMC,772.0,716.0,456.0,7.8%,69.3%
Sangrampur(Varvatbakal) APMC,18.49892379459115,16.0,24.0,-,-
Satana APMC,52.0,14.0,79.0,271.4%,-34.2%
Savner APMC,62.0,59.0,84.7032343912869,5.1%,-
Selu APMC,2.0,2.0,1.0,-,100.0%
Sengoan APMC,222.76899429892597,227.20608269024808,1.0,-,-
Shahada APMC,38.0,40.0,470.0,-5.0%,-91.9%
Shegaon APMC,19.0,22.0,25.0,-13.6%,-24.0%
Shevgaon APMC,65.0,90.0,99.0,-27.8%,-34.3%
Shevgaon(Bodhegaon) APMC,21.0,20.0,54.0,5.0%,-61.1%
Shirpur APMC,104.0,34.0,1149.0,205.9%,-91.0%
Shirur APMC,10.0,24.0,16.0,-58.3%,-37.5%
Shrigonda APMC,32.0,21.0,138.0,52.4%,-76.8%
Shrigonda(Gogargaon) APMC,54.0,43.0,84.5250703329221,25.6%,-
Shrirampur APMC,20.0,4.0,62.0,400.0%,-67.7%
Shrirampur(Belapur) APMC,5.0,3.0,2.0,66.7%,150.0%
Sillod APMC,622.0,360.0,1329.0,72.8%,-53.2%
Sillod(Bharadi) APMC,31.0,42.0,58.0,-26.2%,-46.5%
Sindi(Selu) APMC,47.0,27.0,172.0,74.1%,-72.7%
Sinner APMC,106.0,48.0,344.0,120.8%,-69.2%
Solapur APMC,2168.0,2033.0,1737.0,6.6%,24.8%
Sonpeth APMC,1.0,-1.6875718369594468,6.532758451172312,-,-
Tadkalas APMC,7.0,10.0,7.286080433046903,-30.0%,-
Taloda APMC,4.164130534323054,2.0,9.0,-,-
Tasgaon APMC,38.0,37.0,45.0,2.7%,-15.6%
Telhara APMC,66.0,72.0,54.0,-8.3%,22.2%
Tuljapur APMC,9.0,5.0,18.57210480030757,80.0%,-
Tumsar APMC,171.0,160.0,80.0,6.9%,113.8%
Ulhasnagar APMC,698.0,995.0,656.0,-29.9%,6.4%
Umared APMC,195.0,241.0,68.0,-19.1%,186.8%
Umarga APMC,2.0,2.0,4.676620484864571,-,-
Umarked(Danki) APMC,35.0,12.0,24.0,191.7%,45.8%
Umarkhed APMC,12.0,19.0,8.646486675377073,-36.8%,-
Vaduj APMC,15.0,22.0,9.0,-31.8%,66.7%
Vadvani APMC,222.76899429892597,227.20608269024808,1.0,-,-
Vaijpur APMC,143.0,59.0,288.85384583028093,142.4%,-
Vani APMC,222.76899429892597,227.20608269024808,1.0,-,-
Varud(Rajura Bazar) APMC,1.0,2.0,2.1562425658646442,-50.0%,-
Vasai APMC,381.0,393.0,471.5198527976412,-3.0%,-
Wardha APMC,53.0,27.0,61.0,96.3%,-13.1%
Washim APMC,564.0,175.0,1165.0,222.3%,-51.6%
Washim(Ansing) APMC,10.54093566286064,3.0,51.0,-,-
Yawal APMC,30.0,2.0,21.0,1400.0%,42.9%
Yeola APMC,55.0,16.0,404.0,243.8%,-86.4%
Yeotmal APMC,52.0,35.0,16.0,48.6%,225.0%
Total,32116.0,29463.0,46070.0,-,-
Note:,400.07613914480703,368.3705054683217,548.0051084356742,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,400.07613914480703,368.3705054683217,548.0051084356742,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,400.07613914480703,368.3705054683217,548.0051084356742,,
