Market,"Arrivals November, 2023 (Metric Tonnes)","Arrivals October, 2023 (Metric Tonnes)","Arrivals November, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,34.09,18.31,48.66864354790468,86.2%,-
Pachora APMC,64.0,144.0,70.0,-55.6%,-8.6%
Paithan APMC,98.0,147.0,57.0,-33.3%,71.9%
Palghar APMC,146.0,160.0,27.0,-8.8%,440.7%
Pandharpur APMC,159.66400515139,248.5997586584184,3.0,-,-
Parali Vaijyanath APMC,-1.6813566228811287,1.0,1.5850445328709664,-,-
Paranda APMC,2.0,3.0,1.0,-33.3%,100.0%
Parbhani APMC,43.0,44.0,18.0,-2.3%,138.9%
Parola APMC,11.688236588898086,13.0,34.0,-,-
Partur APMC,8.0,17.0,15.0,-52.9%,-46.7%
Pathardi APMC,14.0,14.0,18.0,-,-22.2%
Pathari APMC,10.0,7.0,2.0,42.9%,400.0%
Patur APMC,11.247977040168744,19.0,8.0,-,-
Phaltan APMC,188.57619371336222,278.69498023765135,59.0,-,-
Pulgaon APMC,1.0,3.620266999093457,4.358085865350274,-,-
Pune APMC,996.0,1077.0,913.0,-7.5%,9.1%
Purna APMC,-1.6813566228811287,1.0,1.5850445328709664,-,-
Pusad APMC,132.0,316.0,34.42938353854285,-58.2%,-
Rahata APMC,62.0,78.0,20.0,-20.5%,210.0%
Rahuri APMC,56.0,14.0,21.0,300.0%,166.7%
Rahuri(Vambori) APMC,43.0,40.0,24.0,7.5%,79.2%
Ramtek APMC,46.0,60.34123953737291,62.0,-,-25.8%
Raver APMC,31.0,39.0,24.0,-20.5%,29.2%
Sakri APMC,3.0,18.0,-0.6775397377609869,-83.3%,-
Sangamner APMC,12.0,19.328424319462936,4.0,-,200.0%
Sangli APMC,541.0,399.0,626.0,35.6%,-13.6%
Sangrampur(Varvatbakal) APMC,5.0,9.0,7.0,-44.4%,-28.6%
"Sant Namdev Krushi Bazar,  APMC",9.5,14.856997529976406,11.473317028699324,-,-
Satana APMC,28.0,22.0,21.0,27.3%,33.3%
Savner APMC,23.0,57.0,10.0,-59.6%,130.0%
Selu APMC,10.0,18.0,10.472796508043976,-44.4%,-
Shahada APMC,51.0,77.0,49.0,-33.8%,4.1%
Shegaon APMC,-0.3036624534628687,2.0,5.0,-,-
Shekari Krushi Khajgi Bazar APMC,-1.9911004783768296,0.59,1.3260644124781598,-,-
Shevgaon APMC,120.0,189.0,52.0,-36.5%,130.8%
Shevgaon(Bodhegaon) APMC,13.0,39.0,5.0,-66.7%,160.0%
Shirpur APMC,42.0,104.0,48.0,-59.6%,-12.5%
Shirur APMC,159.14771606992616,248.06234398736058,2.0,-,-
Shree Salasar Krushi Bazar  APMC,-2.383946343883572,0.07,0.9976018207604529,-,-
Shrigonda APMC,18.0,25.0,23.0,-28.0%,-21.7%
Shrigonda(Gogargaon) APMC,187.5436155504346,277.6201508955358,57.0,-,-
Shrirampur APMC,17.0,41.0,14.0,-58.5%,21.4%
Shrirampur(Belapur) APMC,22.0,37.0,22.0,-40.5%,-
Sillod APMC,100.0,270.0,410.0,-63.0%,-75.6%
Sillod(Bharadi) APMC,6.0,9.0,15.0,-33.3%,-60.0%
Sindi(Selu) APMC,25.0,15.0,28.0,66.7%,-10.7%
Sinner APMC,16.984646238693696,25.0,19.0,-,-
Solapur APMC,3347.0,3541.0,3632.0,-5.5%,-7.8%
Sonpeth APMC,-0.925883804598931,2.0,2.2167033630973263,-,-
Taloda APMC,1.0,3.620266999093457,4.358085865350274,-,-
Tasgaon APMC,42.0,25.0,47.0,68.0%,-10.6%
Telhara APMC,42.0,75.0,39.0,-44.0%,7.7%
Tuljapur APMC,159.66400515139,248.5997586584184,3.0,-,-
Tumsar APMC,3.0,9.0,11.0,-66.7%,-72.7%
Ulhasnagar APMC,854.0,1301.0,1014.0,-34.4%,-15.8%
Umared APMC,59.0,26.0,96.0,126.9%,-38.5%
Umarga APMC,1.0,3.9599650723487594,1.0,-,-
Umarked(Danki) APMC,11.0,7.0,13.0,57.1%,-15.4%
Vaduj APMC,12.0,12.0,20.0,-,-40.0%
Vadvani APMC,-1.6214860303084946,1.0,1.0,-,-
Vaijpur APMC,30.0,61.0,78.0,-50.8%,-61.5%
Vasai APMC,112.0,195.0,352.0,-42.6%,-68.2%
Wardha APMC,19.0,21.0,8.0,-9.5%,137.5%
Washim APMC,234.0,481.0,320.0,-51.4%,-26.9%
Washim(Ansing) APMC,13.0,28.0,9.0,-53.6%,44.4%
Yawal APMC,1.0,10.0,6.0,-90.0%,-83.3%
Yeola APMC,5.0,25.0,23.0,-80.0%,-78.3%
Yeotmal APMC,17.0,55.0,27.0,-69.1%,-37.0%
Total,25051.38,33165.05,21889.0,-,-
Note:,294.1487296564949,392.33563224811667,249.0729732177642,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,294.1487296564949,392.33563224811667,249.0729732177642,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,294.1487296564949,392.33563224811667,249.0729732177642,,
