,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - November, 2023",,
Himalyatnagar APMC,-,-,42.0,-,-
Hinganghat APMC,60.0,172.0,116.0,-65.1%,-48.3%
Hingoli APMC,48.0,60.0,39.0,-20.0%,23.1%
Hingoli(Kanegoan Naka) APMC,-,10.0,-,-,-
Indapur APMC,-,-,8.0,-,-
Indapur(Bhigwan) APMC,1.0,-,26.0,-,-96.2%
Indapur(Nimgaon Ketki) APMC,-,-,1.0,-,-
Jai Gajanan Krishi Bazar APMC,-,4.72,-,-,-
Jalana APMC,480.0,786.0,687.0,-38.9%,-30.1%
Jalgaon APMC,1.0,4.0,1.0,-75.0%,-
Jalgaon Jamod(Aasalgaon) APMC,26.0,53.0,-,-50.9%,-
Jalgaon(Masawat) APMC,1.0,8.0,-,-87.5%,-
Jamkhed APMC,29.0,21.0,67.0,38.1%,-56.7%
Kada APMC,26.0,66.0,-,-60.6%,-
Kaij APMC,-,-,24.0,-,-
Kalamb (Dharashiv) APMC,31.0,34.0,33.0,-8.8%,-6.1%
Kalvan APMC,2.0,8.0,-,-75.0%,-
Kalyan APMC,1.0,-,-,-,-
Kandhar APMC,1.0,-,12.0,-,-91.7%
Kannad APMC,26.0,42.0,37.0,-38.1%,-29.7%
Karanja APMC,532.0,677.0,262.0,-21.4%,103.0%
Karjat(Raigad) APMC,60.0,96.0,30.0,-37.5%,100.0%
Karmala APMC,8.0,11.0,4.0,-27.3%,100.0%
Katol APMC,40.0,110.0,39.0,-63.6%,2.6%
Khamgaon APMC,94.0,275.0,157.0,-65.8%,-40.1%
Kille Dharur APMC,4.0,17.0,3.0,-76.5%,33.3%
Kisan Market Yard APMC,6.29,7.2,-,-12.6%,-
Kopargaon APMC,103.0,274.0,90.0,-62.4%,14.4%
Kurdwadi(Modnimb) APMC,3.0,10.0,4.0,-70.0%,-25.0%
Lasalgaon APMC,108.0,186.0,135.0,-41.9%,-20.0%
Lasalgaon(Niphad) APMC,119.0,172.0,76.0,-30.8%,56.6%
Lasalgaon(Vinchur) APMC,21.0,74.0,42.0,-71.6%,-50.0%
Lasur Station APMC,206.0,302.0,380.0,-31.8%,-45.8%
Loha APMC,3.0,8.0,4.0,-62.5%,-25.0%
Lonar APMC,97.0,143.0,147.0,-32.2%,-34.0%
"Mahesh Krushi Utpanna Bazar, Digras APMC",-,1.46,-,-,-
Majalgaon APMC,28.0,27.0,8.0,3.7%,250.0%
Malegaon APMC,86.0,103.0,94.0,-16.5%,-8.5%
Malegaon(Vashim) APMC,-,6.0,-,-,-
Malkapur APMC,193.0,290.0,249.0,-33.5%,-22.5%
Mangal Wedha APMC,6.0,6.0,5.0,-,20.0%
Mangrulpeer APMC,77.0,94.0,25.0,-18.1%,208.0%
Manmad APMC,5.0,5.0,17.0,-,-70.6%
Manora APMC,3.0,14.0,1.0,-78.6%,200.0%
Mantha APMC,5.0,18.0,11.0,-72.2%,-54.5%
Manwat APMC,2.0,7.0,1.0,-71.4%,100.0%
Mehekar APMC,86.0,54.0,43.0,59.3%,100.0%
Morshi APMC,70.0,82.0,67.0,-14.6%,4.5%
Mudkhed APMC,1.0,-,-,-,-
Mumbai APMC,11590.0,15522.0,7460.0,-25.3%,55.4%
Murtizapur APMC,20.0,92.0,30.0,-78.3%,-33.3%
Murum APMC,3.0,-,2.0,-,50.0%
Nagpur APMC,553.0,500.0,777.0,10.6%,-28.8%
Nanded APMC,11.0,15.0,5.0,-26.7%,120.0%
Nandgaon APMC,21.0,43.0,34.0,-51.2%,-38.2%
Nandgaon Khandeshwar APMC,2.0,6.0,1.0,-66.7%,100.0%
Nandura APMC,25.0,41.0,49.0,-39.0%,-49.0%
Nandurbar APMC,35.0,68.0,116.0,-48.5%,-69.8%
Navapur APMC,59.0,31.0,-,90.3%,-
Newasa APMC,-,15.0,-,-,-
Nira(Saswad) APMC,8.0,7.0,8.0,14.3%,-
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,34.09,18.31,-,86.2%,-
Pachora APMC,64.0,144.0,70.0,-55.6%,-8.6%
Paithan APMC,98.0,147.0,57.0,-33.3%,71.9%
Palghar APMC,146.0,160.0,27.0,-8.8%,440.7%
Pandharpur APMC,-,-,3.0,-,-
Parali Vaijyanath APMC,-,1.0,-,-,-
Paranda APMC,2.0,3.0,1.0,-33.3%,100.0%
Parbhani APMC,43.0,44.0,18.0,-2.3%,138.9%
Parola APMC,-,13.0,34.0,-,-
Partur APMC,8.0,17.0,15.0,-52.9%,-46.7%
Pathardi APMC,14.0,14.0,18.0,-,-22.2%
Pathari APMC,10.0,7.0,2.0,42.9%,400.0%
Patur APMC,-,19.0,8.0,-,-
Phaltan APMC,-,-,59.0,-,-
Pulgaon APMC,1.0,-,-,-,-
Pune APMC,996.0,1077.0,913.0,-7.5%,9.1%
Purna APMC,-,1.0,-,-,-
Pusad APMC,132.0,316.0,-,-58.2%,-
Rahata APMC,62.0,78.0,20.0,-20.5%,210.0%
Rahuri APMC,56.0,14.0,21.0,300.0%,166.7%
Rahuri(Vambori) APMC,43.0,40.0,24.0,7.5%,79.2%
Ramtek APMC,46.0,-,62.0,-,-25.8%
Raver APMC,31.0,39.0,24.0,-20.5%,29.2%
Sakri APMC,3.0,18.0,-,-83.3%,-
Sangamner APMC,12.0,-,4.0,-,200.0%
Sangli APMC,541.0,399.0,626.0,35.6%,-13.6%
Sangrampur(Varvatbakal) APMC,5.0,9.0,7.0,-44.4%,-28.6%
"Sant Namdev Krushi Bazar,  APMC",9.5,-,-,-,-
Satana APMC,28.0,22.0,21.0,27.3%,33.3%
Savner APMC,23.0,57.0,10.0,-59.6%,130.0%
Selu APMC,10.0,18.0,-,-44.4%,-
Shahada APMC,51.0,77.0,49.0,-33.8%,4.1%
Shegaon APMC,-,2.0,5.0,-,-
Shekari Krushi Khajgi Bazar APMC,-,0.59,-,-,-
Shevgaon APMC,120.0,189.0,52.0,-36.5%,130.8%
Shevgaon(Bodhegaon) APMC,13.0,39.0,5.0,-66.7%,160.0%
Shirpur APMC,42.0,104.0,48.0,-59.6%,-12.5%
Shirur APMC,-,-,2.0,-,-
Shree Salasar Krushi Bazar  APMC,-,0.07,-,-,-
Shrigonda APMC,18.0,25.0,23.0,-28.0%,-21.7%
Shrigonda(Gogargaon) APMC,-,-,57.0,-,-
Shrirampur APMC,17.0,41.0,14.0,-58.5%,21.4%
Shrirampur(Belapur) APMC,22.0,37.0,22.0,-40.5%,-
Sillod APMC,100.0,270.0,410.0,-63.0%,-75.6%
Sillod(Bharadi) APMC,6.0,9.0,15.0,-33.3%,-60.0%
Sindi(Selu) APMC,25.0,15.0,28.0,66.7%,-10.7%
Sinner APMC,-,25.0,19.0,-,-
Solapur APMC,3347.0,3541.0,3632.0,-5.5%,-7.8%
Sonpeth APMC,-,2.0,-,-,-
Taloda APMC,1.0,-,-,-,-
Tasgaon APMC,42.0,25.0,47.0,68.0%,-10.6%
Telhara APMC,42.0,75.0,39.0,-44.0%,7.7%
Tuljapur APMC,-,-,3.0,-,-
Tumsar APMC,3.0,9.0,11.0,-66.7%,-72.7%
Ulhasnagar APMC,854.0,1301.0,1014.0,-34.4%,-15.8%
Umared APMC,59.0,26.0,96.0,126.9%,-38.5%
Umarga APMC,1.0,-,1.0,-,-
Umarked(Danki) APMC,11.0,7.0,13.0,57.1%,-15.4%
Vaduj APMC,12.0,12.0,20.0,-,-40.0%
Vadvani APMC,-,1.0,1.0,-,-
Vaijpur APMC,30.0,61.0,78.0,-50.8%,-61.5%
Vasai APMC,112.0,195.0,352.0,-42.6%,-68.2%
Wardha APMC,19.0,21.0,8.0,-9.5%,137.5%
Washim APMC,234.0,481.0,320.0,-51.4%,-26.9%
Washim(Ansing) APMC,13.0,28.0,9.0,-53.6%,44.4%
Yawal APMC,1.0,10.0,6.0,-90.0%,-83.3%
Yeola APMC,5.0,25.0,23.0,-80.0%,-78.3%
Yeotmal APMC,17.0,55.0,27.0,-69.1%,-37.0%
Total,25051.38,33165.05,21889.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

