Market,"Prices November, 2025 (Rs./Quintal)","Prices October, 2025 (Rs./Quintal)","Prices November, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Hinganghat APMC,2286.66,2379.29,2871.22,-3.9%,-20.4%
Hingoli APMC,2772.81,2798.85,2728.0,-0.9%,1.6%
Indapur APMC,2467.2920014092865,2574.1258389261743,2800.0,-,-
Indapur(Nimgaon Ketki) APMC,2700.0,2403.51,2872.56,12.3%,-6.0%
Jafrabad APMC,2291.5878000000002,2200.0,2797.305352112676,-,-
Jalana APMC,2575.52,2551.36,2850.88,0.9%,-9.7%
Jalgaon APMC,2471.43,2525.0,2600.0,-2.1%,-5.0%
Jalgaon Jamod(Aasalgaon) APMC,2734.3845999999994,2700.0,2715.56,-,-
Jalgaon(Masawat) APMC,2481.008600452881,2500.0,2797.305352112676,-,-
Jamkhed APMC,2440.03,2519.42,2443.72,-3.1%,-0.1%
Kada APMC,2553.4762010606078,2574.1258389261743,2900.0,-,-
Kaij APMC,2350.0,2403.2,2797.305352112676,-2.2%,-
Kalamb (Dharashiv) APMC,2550.0,2631.85,3001.1,-3.1%,-15.0%
Kalamb APMC,2100.0,2574.1258389261743,2797.305352112676,-,-
Kalvan APMC,2453.91046,2574.1258389261743,2429.75,-,-
Kalyan APMC,3485.71,3476.56,3323.57,0.3%,4.9%
Kandhar APMC,2809.5259999999985,2800.0,2797.305352112676,-,-
Kannad APMC,2579.0,2572.34,2904.96,0.3%,-11.2%
Karanja APMC,2518.45,2552.66,2887.17,-1.3%,-12.8%
Karjat APMC,2600.0,2425.19,2424.0,7.2%,7.3%
Karjat(Rashin) APMC,2517.91,2413.43,2797.305352112676,4.3%,-
Karmala APMC,2442.68,2369.83,2663.19,3.1%,-8.3%
Katol APMC,2473.03,2498.76,2728.91,-1.0%,-9.4%
Khamgaon APMC,2352.75,2465.48,2696.83,-4.6%,-12.8%
Kille Dharur APMC,2838.57,2610.26,3133.95,8.8%,-9.4%
Kisan Market Yard APMC,2490.0,2508.33,2790.41,-0.7%,-10.8%
Kopargaon APMC,2577.44,2530.96,3045.18,1.8%,-15.4%
Kurdwadi APMC,2800.0,2574.1258389261743,2797.305352112676,-,-
Kurdwadi(Modnimb) APMC,2573.33,2681.77,2867.74,-4.0%,-10.3%
Lasalgaon APMC,2704.92,2658.13,3253.84,1.8%,-16.9%
Lasalgaon(Niphad) APMC,2570.44,2551.59,3016.72,0.7%,-14.8%
Lasur Station APMC,2631.0,2580.77,2967.69,1.9%,-11.3%
Latur(Murud) APMC,2171.55,2574.1258389261743,2797.305352112676,-,-
Loha APMC,2432.0,2509.53,3139.39,-3.1%,-22.5%
Lonar APMC,2435.05,2452.3,2716.09,-0.7%,-10.3%
"Mahesh Krushi Utpanna Bazar, Digras APMC",2450.0,2522.73,2586.14,-2.9%,-5.3%
Majalgaon APMC,2567.72,2558.64,3033.53,0.3%,-15.4%
Malegaon APMC,2454.62,2468.49,2981.76,-0.6%,-17.7%
Malkapur APMC,2506.44,2486.77,2820.24,0.8%,-11.1%
Mangal Wedha APMC,2752.61,2988.17,2852.91,-7.9%,-3.5%
Mangrulpeer APMC,2599.14,2551.81,2876.31,1.9%,-9.6%
Manmad APMC,2510.69,2514.36,2804.08,-0.1%,-10.5%
Manora APMC,2476.0,2480.25,2743.34,-0.2%,-9.8%
Mantha APMC,2500.0,2500.0,2425.0,-,3.1%
Manwat APMC,2727.9671999999996,2700.0,2797.305352112676,-,-
Mehekar APMC,2616.67,2510.71,2562.0,4.2%,2.1%
Morshi APMC,2281.62,2335.87,2655.27,-2.3%,-14.1%
Motala APMC,2159.687,2000.0,2797.305352112676,-,-
Mumbai APMC,4318.41,4305.9,4400.22,0.3%,-1.9%
Murtizapur APMC,2487.46,2493.28,2618.85,-0.2%,-5.0%
Murum APMC,2509.84,2390.52,2797.305352112676,5.0%,-
Nagpur APMC,2894.95,3011.59,3209.58,-3.9%,-9.8%
Nanded APMC,2652.88,2760.17,2817.49,-3.9%,-5.8%
Nandgaon APMC,2550.0,2543.1,3251.18,0.3%,-21.6%
Nandgaon Khandeshwar APMC,2462.904,2435.0,2446.18,-,-
Nandura APMC,2400.0,2574.1258389261743,2802.7,-,-14.4%
Nandurbar APMC,2463.02,2512.01,2830.13,-1.9%,-13.0%
Navapur APMC,2513.8052000000007,2410.0,2351.59,-,-
Newasa APMC,2580.43,2600.0,2797.305352112676,-0.8%,-
Nira(Saswad) APMC,2648.913399999997,2675.0,2797.305352112676,-,-
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,2479.08,2503.0,2777.24,-1.0%,-10.7%
Pachora APMC,2378.27,2273.43,2660.0,4.6%,-10.6%
Paithan APMC,2607.57,2577.8,3093.48,1.1%,-15.7%
Palam APMC,2824.164500000001,2800.0,3200.0,-,-
Palghar APMC,3328.24,3266.86,3274.15,1.9%,1.6%
Parali Vaijyanath APMC,2381.36,2338.98,2797.305352112676,1.8%,-
Paranda APMC,2429.57,2514.29,2781.25,-3.4%,-12.6%
Parbhani APMC,2516.67,2267.86,2497.61,11.0%,0.8%
Parola APMC,2306.25,2344.12,2550.0,-1.6%,-9.6%
Partur APMC,2395.67,2411.99,2962.16,-0.7%,-19.1%
Pathardi APMC,2889.66,2796.67,2685.14,3.3%,7.6%
Pathari APMC,2409.2322000000004,2400.0,2380.63,-,-
Patur APMC,2402.4284999999986,2444.0,2548.79,-,-
Phaltan APMC,2622.01,2600.0,2797.305352112676,0.8%,-
Pune APMC,4782.96,4756.55,2797.305352112676,0.6%,-
Pusad APMC,2853.65,2766.76,2797.305352112676,3.1%,-
Rahata APMC,2553.06,2590.18,3021.78,-1.4%,-15.5%
Rahuri APMC,2568.11,2585.93,2873.19,-0.7%,-10.6%
Rahuri(Vambori) APMC,2585.63,2516.35,2912.2,2.8%,-11.2%
Raver APMC,2548.93,2534.66,2885.85,0.6%,-11.7%
Sakri APMC,2260.0,2478.03,2558.5,-8.8%,-11.7%
Sangamner APMC,2546.940001060607,2574.1258389261743,2960.15,-,-
Sangli APMC,3563.59,3682.73,3714.08,-3.2%,-4.0%
Sangrampur(Varvatbakal) APMC,2505.28396,2574.1258389261743,2400.0,-,-
Satana APMC,2659.69,2576.47,2936.1,3.2%,-9.4%
Savner APMC,2556.83,2449.07,2731.82,4.4%,-6.4%
Selu APMC,2642.6,2593.57,2601.0,1.9%,1.6%
Shahada APMC,2562.62,2583.56,2975.35,-0.8%,-13.9%
Shegaon APMC,2372.22,2328.69,2566.67,1.9%,-7.6%
Shevgaon APMC,2629.3,2619.16,2995.89,0.4%,-12.2%
Shevgaon(Bodhegaon) APMC,2508.31,2473.77,2650.34,1.4%,-5.4%
Shirpur APMC,2594.77,2546.74,2824.77,1.9%,-8.1%
Shirur APMC,2646.55,2478.27,2828.57,6.8%,-6.4%
Shree Salasar Krushi Bazar  APMC,2159.687,2000.0,2797.305352112676,-,-
Shrigonda APMC,2787.1057000000005,2760.34,2600.0,-,-
Shrigonda(Gogargaon) APMC,2471.974199382562,2574.1258389261743,2600.0,-,-
Shrirampur APMC,2543.99,2550.34,2716.15,-0.2%,-6.3%
Shrirampur(Belapur) APMC,2400.0,2400.0,2390.48,-,0.4%
Sillod APMC,2500.39,2566.15,2733.99,-2.6%,-8.5%
Sillod(Bharadi) APMC,2517.5,2525.0,2742.62,-0.3%,-8.2%
Sindi(Selu) APMC,2393.28,2300.0,2545.25,4.1%,-6.0%
Sindkhed Raja APMC,2100.0,2100.0,2797.305352112676,-,-
Sinner APMC,2674.79,2605.56,3057.74,2.7%,-12.5%
Solapur APMC,3368.14,3326.88,3481.14,1.2%,-3.2%
Sonpeth APMC,2589.29,2404.76,2460.0,7.7%,5.3%
Tadkalas APMC,2300.0,2574.1258389261743,2797.305352112676,-,-
Taloda APMC,2462.075557799285,2574.1258389261743,2714.29,-,-
Tasgaon APMC,3278.11,3386.86,2524.5,-3.2%,29.9%
Telhara APMC,2623.3370999999984,2620.0,2751.54,-,-
Tuljapur APMC,2625.0,2574.1258389261743,2797.305352112676,-,-
Tumsar APMC,2560.8,2498.59,2624.63,2.5%,-2.4%
Ulhasnagar APMC,3256.4,3357.81,3261.32,-3.0%,-0.1%
Umared APMC,2500.0,2501.71,2832.14,-0.1%,-11.7%
Umarga APMC,2393.88,2317.18,2797.305352112676,3.3%,-
Umarked(Danki) APMC,2900.0,2574.1258389261743,2797.305352112676,-,-
Vaduj APMC,2900.0,2900.0,2588.37,-,12.0%
Vadvani APMC,2541.75,2590.69,3000.0,-1.9%,-15.3%
Vaijpur APMC,2572.241623917752,2574.1258389261743,2875.83,-,-
Varora APMC,2100.0,2574.1258389261743,2797.305352112676,-,-
Varud APMC,2542.5,2574.1258389261743,2402.0,-,5.8%
Varud(Rajura Bazar) APMC,2300.91,2250.0,2510.0,2.3%,-8.3%
Vasai APMC,3490.0,2574.1258389261743,3470.48,-,0.6%
Wardha APMC,2540.51,2554.8,2855.35,-0.6%,-11.0%
Washim APMC,2467.89,2488.68,2807.12,-0.8%,-12.1%
Washim(Ansing) APMC,2472.35,2394.53,2533.87,3.2%,-2.4%
Yawal APMC,2476.477372500001,2574.1258389261743,2550.0,-,-
Yeola APMC,2504.71,2505.07,2968.09,-0.0%,-15.6%
Yeotmal APMC,2516.94,2504.18,2716.9,0.5%,-7.4%
Average,2588.03,2574.13,2797.31,-,-
Note:,2460.749052480716,2574.1258389261743,2797.305352112676,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,2460.749052480716,2574.1258389261743,2797.305352112676,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,2460.749052480716,2574.1258389261743,2797.305352112676,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,2460.749052480716,2574.1258389261743,2797.305352112676,,
