,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - November, 2021",,
Sangrampur APMC,-,-,1500.0,-,-
Sangrampur(Varvatbakal) APMC,1750.0,-,1519.23,-,15.2%
Satana APMC,2037.65,2010.58,1737.76,1.4%,17.3%
Savner APMC,1767.05,1750.79,1437.83,0.9%,22.9%
Selu APMC,1775.0,1730.0,1600.0,2.6%,10.9%
Sengoan APMC,-,-,1441.67,-,-
Shahada APMC,1946.44,1973.43,1654.38,-1.4%,17.6%
Shegaon APMC,1783.33,1729.17,1420.0,3.1%,25.6%
Shevgaon APMC,2018.46,1835.15,1525.65,10.0%,32.3%
Shevgaon(Bodhegaon) APMC,1794.59,1682.86,1609.52,6.6%,11.5%
Shirpur APMC,1900.09,1921.58,1601.87,-1.1%,18.6%
Shirur APMC,1608.68,1567.45,1400.0,2.6%,14.9%
Shrigonda APMC,1992.79,1989.24,2028.12,0.2%,-1.7%
Shrigonda(Gogargaon) APMC,1989.24,1988.8,-,-,-
Shrirampur APMC,1748.95,1734.29,1582.28,0.8%,10.5%
Shrirampur(Belapur) APMC,1436.36,1604.55,1554.48,-10.5%,-7.6%
Sillod APMC,1917.59,1808.11,1615.36,6.0%,18.7%
Sillod(Bharadi) APMC,1892.03,1768.57,1600.0,7.0%,18.2%
Sindi(Selu) APMC,1799.29,1720.08,1506.5,4.6%,19.4%
Sinner APMC,1920.0,1972.48,1646.51,-2.7%,16.6%
Solapur APMC,2553.34,2545.39,2567.28,0.3%,-0.5%
Sonpeth APMC,-,1606.67,-,-,-
Tadkalas APMC,1602.25,1600.0,-,0.1%,-
Taloda APMC,1700.0,-,1600.0,-,6.2%
Tasgaon APMC,2075.52,2112.76,2263.39,-1.8%,-8.3%
Telhara APMC,1815.0,1665.2,1503.57,9.0%,20.7%
Tuljapur APMC,1600.0,1300.0,-,23.1%,-
Tumsar APMC,1857.88,1819.01,1608.78,2.1%,15.5%
Ulhasnagar APMC,2782.12,2880.07,3196.54,-3.4%,-13.0%
Umared APMC,2100.0,2100.0,2100.0,-,-
Umarga APMC,1655.56,1522.5,-,8.7%,-
Umari APMC,-,1515.62,-,-,-
Umarked(Danki) APMC,1917.65,1905.56,-,0.6%,-
Umarkhed APMC,1912.5,1875.0,-,2.0%,-
Vaduj APMC,1975.0,1980.43,1900.0,-0.3%,4.0%
Vadvani APMC,1705.67,2000.0,1600.0,-14.7%,6.6%
Vaijpur APMC,1908.66,1895.65,-,0.7%,-
Vani APMC,-,1650.0,-,-,-
Varora APMC,-,-,1525.0,-,-
Varud(Rajura Bazar) APMC,1770.0,1753.0,-,1.0%,-
Vasai APMC,3356.06,3281.08,-,2.3%,-
Wardha APMC,1847.5,1789.82,1645.0,3.2%,12.3%
Washim APMC,1724.26,1758.21,1601.3,-1.9%,7.7%
Washim(Ansing) APMC,1762.12,1676.79,1500.0,5.1%,17.5%
Yawal APMC,1804.29,1840.0,1713.48,-1.9%,5.3%
Yeola APMC,1825.36,1777.19,1540.06,2.7%,18.5%
Yeotmal APMC,4595.97,1814.03,1523.38,153.4%,201.7%
Average,1895.08,1850.61,1694.94,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

