Market,"Arrivals November, 2021 (Metric Tonnes)","Arrivals October, 2021 (Metric Tonnes)","Arrivals November, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Pune APMC,1421.0,398.0,145.0,257.0%,880.0%
Rahata APMC,38.0,46.0,94.0,-17.4%,-59.6%
Rahuri APMC,23.0,15.0,105.0,53.3%,-78.1%
Rahuri(Vambori) APMC,45.0,30.0,71.0,50.0%,-36.6%
Ramtek APMC,57.0,93.0,88.0,-38.7%,-35.2%
Raver APMC,64.0,77.0,165.0,-16.9%,-61.2%
Sakri APMC,13.032072560860698,21.21315198556951,17.0,-,-
Sangamner APMC,19.0,27.0,33.0,-29.6%,-42.4%
Sangli APMC,439.0,151.0,254.0,190.7%,72.8%
Sangrampur APMC,-2.4063666571759326,2.715921224379162,4.0,-,-
Sangrampur(Varvatbakal) APMC,49.0,33.4522317077091,13.0,-,276.9%
Satana APMC,85.0,125.0,88.0,-32.0%,-3.4%
Savner APMC,43.0,70.0,23.0,-38.6%,87.0%
Selu APMC,4.0,11.0,2.0,-63.6%,100.0%
Sengoan APMC,-3.5939389047172083,1.2930573196722168,3.0,-,-
Shahada APMC,48.0,76.0,103.0,-36.8%,-53.4%
Shegaon APMC,36.0,48.0,5.0,-25.0%,620.0%
Shevgaon APMC,142.0,165.0,192.0,-13.9%,-26.0%
Shevgaon(Bodhegaon) APMC,37.0,35.0,63.0,5.7%,-41.3%
Shirpur APMC,105.0,112.0,323.0,-6.2%,-67.5%
Shirur APMC,19.0,53.0,10.0,-64.2%,90.0%
Shrigonda APMC,43.0,46.0,80.0,-6.5%,-46.2%
Shrigonda(Gogargaon) APMC,33.0,54.0,45.42906229557696,-38.9%,-
Shrirampur APMC,43.0,56.0,120.0,-23.2%,-64.2%
Shrirampur(Belapur) APMC,11.0,11.0,67.0,-,-83.6%
Sillod APMC,460.0,672.0,739.0,-31.6%,-37.8%
Sillod(Bharadi) APMC,37.0,35.0,16.0,5.7%,131.2%
Sindi(Selu) APMC,78.0,118.0,60.0,-33.9%,30.0%
Sinner APMC,58.0,109.0,262.0,-46.8%,-77.9%
Solapur APMC,1978.0,2029.0,1535.0,-2.5%,28.9%
Sonpeth APMC,-1.5104657584032193,3.0,10.943673585222573,-,-
Tadkalas APMC,8.0,6.0,13.463380199256292,33.3%,-
Taloda APMC,1.0,-1.2600526378702894,3.0,-,-66.7%
Tasgaon APMC,58.0,29.0,56.0,100.0%,3.6%
Telhara APMC,54.0,51.0,56.0,5.9%,-3.6%
Tuljapur APMC,3.0,3.0,11.239823986048911,-,-
Tumsar APMC,153.0,257.0,131.0,-40.5%,16.8%
Ulhasnagar APMC,562.0,675.0,376.0,-16.7%,49.5%
Umared APMC,227.0,145.0,251.0,56.5%,-9.6%
Umarga APMC,9.0,6.0,13.52903869589261,50.0%,-
Umari APMC,22.642551642946547,32.0,30.8504071206087,-,-
Umarked(Danki) APMC,34.0,54.0,45.49472079221328,-37.0%,-
Umarkhed APMC,48.0,24.0,27.46130244486374,100.0%,-
Vaduj APMC,18.0,23.0,14.0,-21.7%,28.6%
Vadvani APMC,3.0,4.0,1.0,-25.0%,200.0%
Vaijpur APMC,123.0,545.0,361.529824140401,-77.4%,-
Vani APMC,-3.176191096427341,1.0,9.570795410368357,-,-
Varora APMC,-0.03122216209337303,5.5616490337930635,6.0,-,-
Varud(Rajura Bazar) APMC,1.0,2.0,10.476752416101013,-50.0%,-
Vasai APMC,193.0,362.0,250.51483137336947,-46.7%,-
Wardha APMC,64.0,109.0,20.0,-41.3%,220.0%
Washim APMC,340.0,670.0,230.0,-49.2%,47.8%
Washim(Ansing) APMC,33.0,28.0,13.0,17.9%,153.8%
Yawal APMC,91.0,50.0,23.0,82.0%,295.6%
Yeola APMC,36.0,70.0,147.0,-48.6%,-75.5%
Yeotmal APMC,197.0,67.0,16.0,194.0%,1131.2%
Total,35123.0,42440.0,29318.0,-,-
Note:,402.2652021311558,487.7133138033032,343.67483128784676,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,402.2652021311558,487.7133138033032,343.67483128784676,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,402.2652021311558,487.7133138033032,343.67483128784676,,
