Market,"Arrivals October, 2023 (Metric Tonnes)","Arrivals September, 2023 (Metric Tonnes)","Arrivals October, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Daryapur APMC,15.0,15.0,3.526853211263507,-,-
Deoulgaon Raja APMC,17.0,33.0,26.0,-48.5%,-34.6%
Devala APMC,5.0,1.0,1.0,400.0%,400.0%
Dhamngaon-Railway APMC,6.0,39.0,-21.226068382871283,-84.6%,-
Dharangaon APMC,2.0,8.0,3.0,-75.0%,-33.3%
Dharni APMC,114.89712257572558,100.0,90.47955492216063,-,-
Dhule APMC,164.0,191.0,98.0,-14.1%,67.3%
Digras APMC,108.0,46.0,5.0,134.8%,2060.0%
Dondaicha APMC,290.0,274.0,230.0,5.8%,26.1%
Dondaicha(Sindhkheda) APMC,5.0,5.0,2.0,-,150.0%
Dound APMC,80.0,45.0,25.0,77.8%,220.0%
Fulmbri APMC,258.0,30.0,317.52447102624194,760.0%,-
Gangakhed APMC,23.301469069407997,7.0,37.0,-,-
Gangapur APMC,49.0,19.0,40.0,157.9%,22.5%
Gevrai APMC,266.0,144.0,86.0,84.7%,209.3%
Ghansawangi APMC,6.0,5.0,-3.0552342686835443,20.0%,-
Himalyatnagar APMC,154.9433722061576,149.13219551115583,97.0,-,-
Hinganghat APMC,172.0,110.0,151.0,56.4%,13.9%
Hingoli APMC,60.0,40.0,38.0,50.0%,57.9%
Hingoli(Kanegoan Naka) APMC,10.0,-2.7674559073654628,50.0,-,-80.0%
Indapur APMC,70.4883625859082,83.7765982331663,11.0,-,-
Indapur(Bhigwan) APMC,115.66197238278576,118.73424328883509,57.0,-,-
Indapur(Nimgaon Ketki) APMC,60.668012630065284,76.17711017758616,1.0,-,-
Jafrabad APMC,65.57818760798676,79.97685420537626,6.0,-,-
Jai Gajanan Krishi Bazar APMC,4.72,4.476913521940396,-4.471884154981377,-,-
Jalana APMC,786.0,669.0,700.0,17.5%,12.3%
Jalgaon APMC,4.0,30.0,6.0,-86.7%,-33.3%
Jalgaon Jamod(Aasalgaon) APMC,53.0,36.0,42.65981510636628,47.2%,-
Jalgaon(Masawat) APMC,8.0,7.279077814336235,-1.6229338541688687,-,-
Jamkhed APMC,21.0,35.0,116.0,-40.0%,-81.9%
Kada APMC,66.0,12.0,7.0,450.0%,842.9%
Kaij APMC,31.521908066874943,19.0,35.0,-,-
Kalamb (Dharashiv) APMC,34.0,44.0,21.0,-22.7%,61.9%
Kalvan APMC,8.0,2.0,1.0,300.0%,700.0%
Kandhar APMC,64.59615261240245,79.21690539981822,5.0,-,-
Kannad APMC,42.0,16.0,35.0,162.5%,20.0%
Karanja APMC,677.0,711.0,401.0,-4.8%,68.8%
Karjat(Raigad) APMC,96.0,47.0,35.0,104.3%,174.3%
Karmala APMC,11.0,9.0,3.0,22.2%,266.7%
Katol APMC,110.0,52.0,23.0,111.5%,378.3%
Khamgaon APMC,275.0,492.0,244.0,-44.1%,12.7%
Kille Dharur APMC,17.0,7.0,7.0,142.9%,142.9%
Kisan Market Yard APMC,7.2,1.77,0.26118836612537777,306.8%,-
Kopargaon APMC,274.0,107.0,46.0,156.1%,495.6%
Kurdwadi APMC,4.790559480309242,2.0,1.0,-,-
Kurdwadi(Modnimb) APMC,10.0,3.0,3.0,233.3%,233.3%
Lasalgaon APMC,186.0,49.0,94.0,279.6%,97.9%
Lasalgaon(Niphad) APMC,172.0,36.0,42.0,377.8%,309.5%
Lasalgaon(Vinchur) APMC,74.0,30.0,15.0,146.7%,393.3%
Lasur Station APMC,302.0,176.0,395.0,71.6%,-23.5%
Loha APMC,8.0,10.0,7.0,-20.0%,14.3%
Lonar APMC,143.0,73.0,64.0,95.9%,123.4%
"Mahesh Krushi Utpanna Bazar, Digras APMC",1.46,5.66,-9.424193898837222,-74.2%,-
Majalgaon APMC,27.0,47.0,8.0,-42.5%,237.5%
Malegaon APMC,103.0,38.0,67.0,171.1%,53.7%
Malegaon(Vashim) APMC,6.0,5.0,-3.0552342686835443,20.0%,-
Malkapur APMC,290.0,337.0,281.0,-13.9%,3.2%
Mangal Wedha APMC,6.0,5.0,-3.0552342686835443,20.0%,-
Mangrulpeer APMC,94.0,106.0,15.0,-11.3%,526.7%
Manmad APMC,5.0,2.0,17.0,150.0%,-70.6%
Manora APMC,14.0,27.0,4.0,-48.1%,250.0%
Mantha APMC,18.0,14.0,13.0,28.6%,38.5%
Manwat APMC,7.0,1.0,1.0,600.0%,600.0%
Mehekar APMC,54.0,51.0,31.0,5.9%,74.2%
Morshi APMC,82.0,50.0,96.0,64.0%,-14.6%
Mumbai APMC,15522.0,12920.0,14956.0,20.1%,3.8%
Murtizapur APMC,92.0,63.0,35.0,46.0%,162.9%
Murum APMC,8.21331787947187,6.0,2.0,-,-
Nagpur APMC,500.0,660.0,630.0,-24.2%,-20.6%
Nanded APMC,15.0,6.0,12.0,150.0%,25.0%
Nandgaon APMC,43.0,7.0,31.0,514.3%,38.7%
Nandgaon Khandeshwar APMC,6.0,3.0,5.0,100.0%,20.0%
Nandura APMC,41.0,40.0,44.0,2.5%,-6.8%
Nandurbar APMC,68.0,19.0,62.0,257.9%,9.7%
Navapur APMC,31.0,26.92840059638023,18.35446154787006,-,-
Newasa APMC,15.0,7.0,7.802343591072386,114.3%,-
Nira(Saswad) APMC,7.0,4.9259539467421005,3.0,-,133.3%
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,18.31,6.98,12.19931576203124,162.3%,-
Pachora APMC,144.0,67.0,146.68195559332258,114.9%,-
Paithan APMC,147.0,78.0,60.0,88.5%,145.0%
Palghar APMC,160.0,152.0,56.0,5.3%,185.7%
Pandharpur APMC,62.63208262123384,77.69700778870215,3.0,-,-
Parali Vaijyanath APMC,1.0,3.0,-8.61216748190252,-66.7%,-
Paranda APMC,3.0,1.0,-4.8929725636818215,200.0%,-
Parbhani APMC,44.0,59.0,166.0,-25.4%,-73.5%
Parola APMC,13.0,19.0,2.0,-31.6%,550.0%
Partur APMC,17.0,2.0,19.0,750.0%,-10.5%
Pathardi APMC,14.0,11.0,14.0,27.3%,-
Pathari APMC,7.0,4.0,3.0,75.0%,133.3%
Patur APMC,19.0,28.0,21.0,-32.1%,-9.5%
Pune APMC,1077.0,1065.0,1180.0,1.1%,-8.7%
Purna APMC,1.0,1.298849141540238,-7.703010715658978,-,-
Pusad APMC,316.0,302.0,249.01714548752585,4.6%,-
Rahata APMC,78.0,55.0,12.0,41.8%,550.0%
Rahuri APMC,14.0,12.079886717141054,4.0,-,250.0%
Rahuri(Vambori) APMC,40.0,21.0,18.0,90.5%,122.2%
Ramtek APMC,47.61215670878412,11.0,89.0,-,-
Raver APMC,39.0,61.0,28.0,-36.1%,39.3%
Sakri APMC,18.0,4.0,13.38113596840343,350.0%,-
Sangamner APMC,62.63208262123384,77.69700778870215,3.0,-,-
Sangli APMC,399.0,224.0,95.0,78.1%,320.0%
Sangrampur(Varvatbakal) APMC,9.0,22.0,1.0,-59.1%,800.0%
Satana APMC,22.0,13.0,15.0,69.2%,46.7%
Savner APMC,57.0,41.0,33.0,39.0%,72.7%
Selu APMC,18.0,3.0,13.91557226587954,500.0%,-
Shahada APMC,77.0,52.0,29.0,48.1%,165.5%
Shegaon APMC,2.0,3.0,10.0,-33.3%,-80.0%
Shekari Krushi Khajgi Bazar APMC,0.59,0.68,-7.9155913480279825,-13.2%,-
Shevgaon APMC,189.0,128.0,34.0,47.7%,455.9%
Shevgaon(Bodhegaon) APMC,39.0,28.0,8.0,39.3%,387.5%
Shirpur APMC,104.0,47.0,54.0,121.3%,92.6%
Shirur APMC,60.668012630065284,76.17711017758616,1.0,-,-
Shree Salasar Krushi Bazar  APMC,0.07,0.5043330464401987,-8.510792355828379,-,-
Shrigonda APMC,25.0,6.0,14.0,316.7%,78.6%
Shrigonda(Gogargaon) APMC,75.39853756382969,87.5763422609564,16.0,-,-
Shrirampur APMC,41.0,11.0,14.0,272.7%,192.9%
Shrirampur(Belapur) APMC,37.0,1.0,21.0,3600.0%,76.2%
Sillod APMC,270.0,240.0,540.0,12.5%,-50.0%
Sillod(Bharadi) APMC,9.0,6.0,22.0,50.0%,-59.1%
Sindi(Selu) APMC,15.0,19.0,39.0,-21.1%,-61.5%
Sinner APMC,25.0,3.0,23.191700397319217,733.3%,-
Solapur APMC,3541.0,4032.0,2616.0,-12.2%,35.4%
Sonpeth APMC,2.0,0.1130400947961121,1.0,-,100.0%
Tadkalas APMC,4.856396170528004,1.0,3.0,-,-
Tasgaon APMC,25.0,20.0,33.0,25.0%,-24.2%
Telhara APMC,75.0,40.0,20.0,87.5%,275.0%
Tuljapur APMC,61.65004762564959,76.9370589831442,2.0,-,-
Tumsar APMC,9.0,11.0,18.0,-18.2%,-50.0%
Ulhasnagar APMC,1301.0,1160.0,829.0,12.2%,56.9%
Umared APMC,26.0,17.0,111.0,52.9%,-76.6%
Umarga APMC,-0.3262719407405279,1.0,-9.300818952584914,-,-
Umarked(Danki) APMC,7.0,15.0,26.0,-53.3%,-73.1%
Vaduj APMC,12.0,16.0,20.0,-25.0%,-40.0%
Vadvani APMC,1.0,1.298849141540238,-7.703010715658978,-,-
Vaijpur APMC,61.0,16.0,63.949830348962394,281.2%,-
Vani APMC,60.668012630065284,76.17711017758616,1.0,-,-
Varora APMC,60.668012630065284,76.17711017758616,1.0,-,-
Vasai APMC,195.0,186.0,446.0,4.8%,-56.3%
Wardha APMC,21.0,39.0,24.0,-46.1%,-12.5%
Washim APMC,481.0,395.0,302.0,21.8%,59.3%
Washim(Ansing) APMC,28.0,11.0,4.0,154.6%,600.0%
Yawal APMC,10.0,24.0,23.0,-58.3%,-56.5%
Yeola APMC,25.0,1.0,15.0,2400.0%,66.7%
Yeotmal APMC,55.0,64.0,62.0,-14.1%,-11.3%
Total,33165.05,28380.99,28163.0,-,-
Note:,376.54236270111716,323.31342179141194,317.85486694387083,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,376.54236270111716,323.31342179141194,317.85486694387083,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,376.54236270111716,323.31342179141194,317.85486694387083,,
