,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - December, 2021",,
Dound APMC,125.0,113.0,106.0,10.6%,17.9%
Gangakhed APMC,138.0,125.0,26.0,10.4%,430.8%
Gangapur APMC,68.0,83.0,29.0,-18.1%,134.5%
Gevrai APMC,247.0,302.0,301.0,-18.2%,-17.9%
Ghansawangi APMC,16.0,59.0,-,-72.9%,-
Himalyatnagar APMC,8.0,8.0,-,-,-
Hinganghat APMC,456.0,461.0,165.0,-1.1%,176.4%
Hingoli APMC,86.0,55.0,76.0,56.4%,13.2%
Jafrabad APMC,4.0,13.0,52.0,-69.2%,-92.3%
Jalana APMC,1223.0,1657.0,1053.0,-26.2%,16.1%
Jalgaon APMC,4.0,4.0,3.0,-,33.3%
Jamkhed APMC,119.0,93.0,17.0,28.0%,600.0%
Jawala-Bajar APMC,43.0,34.0,41.0,26.5%,4.9%
Jintur APMC,-,-,2.0,-,-
Kada APMC,86.0,95.0,5.0,-9.5%,1620.0%
Kaij APMC,56.0,67.0,56.0,-16.4%,-
Kalamb (Dharashiv) APMC,40.0,73.0,48.0,-45.2%,-16.7%
Kalvan APMC,-,2.0,2.0,-,-
Kannad APMC,53.0,86.0,15.0,-38.4%,253.3%
Karanja APMC,757.0,529.0,492.0,43.1%,53.9%
Karjat(Raigad) APMC,120.0,123.0,41.0,-2.4%,192.7%
Karmala APMC,16.0,20.0,11.0,-20.0%,45.5%
Katol APMC,83.0,82.0,36.0,1.2%,130.6%
Khamgaon APMC,604.0,631.0,510.0,-4.3%,18.4%
Kille Dharur APMC,23.0,26.0,32.0,-11.5%,-28.1%
Kopargaon APMC,175.0,163.0,281.0,7.4%,-37.7%
Kurdwadi APMC,4.0,1.0,1.0,300.0%,300.0%
Kurdwadi(Modnimb) APMC,10.0,12.0,11.0,-16.7%,-9.1%
Lakhandur APMC,12.0,7.0,-,71.4%,-
Lasalgaon APMC,219.0,260.0,383.0,-15.8%,-42.8%
Lasalgaon(Niphad) APMC,104.0,97.0,125.0,7.2%,-16.8%
Lasalgaon(Vinchur) APMC,10.0,42.0,244.0,-76.2%,-95.9%
Lasur Station APMC,344.0,641.0,357.0,-46.3%,-3.6%
Latur APMC,1283.0,1241.0,2846.0,3.4%,-54.9%
Latur(Murud) APMC,25.0,119.0,96.0,-79.0%,-74.0%
Loha APMC,9.0,13.0,15.0,-30.8%,-40.0%
Lonar APMC,458.0,295.0,162.0,55.2%,182.7%
Majalgaon APMC,92.0,90.0,43.0,2.2%,114.0%
Malegaon APMC,119.0,150.0,320.0,-20.7%,-62.8%
Malkapur APMC,425.0,344.0,454.0,23.6%,-6.4%
Mangal Wedha APMC,15.0,16.0,4.0,-6.2%,275.0%
Mangrulpeer APMC,72.0,35.0,52.0,105.7%,38.5%
Manmad APMC,45.0,51.0,129.0,-11.8%,-65.1%
Manora APMC,7.0,-,3.0,-,133.3%
Mantha APMC,69.0,48.0,65.0,43.8%,6.2%
Manwat APMC,1.0,2.0,-,-50.0%,-
Mehekar APMC,178.0,102.0,142.0,74.5%,25.4%
Morshi APMC,138.0,110.0,80.0,25.4%,72.5%
Mumbai APMC,13368.0,12008.0,8036.0,11.3%,66.3%
Murtizapur APMC,99.0,87.0,37.0,13.8%,167.6%
Murum APMC,3.0,1.0,-,200.0%,-
Nagpur APMC,1367.0,1402.0,510.0,-2.5%,168.0%
Nampur APMC,-,11.0,18.0,-,-
Nanded APMC,26.0,28.0,30.0,-7.1%,-13.3%
Nandgaon APMC,67.0,65.0,153.0,3.1%,-56.2%
Nandgaon Khandeshwar APMC,1.0,-,4.0,-,-75.0%
Nandura APMC,40.0,3.0,53.0,1233.3%,-24.5%
Nandurbar APMC,107.0,141.0,290.0,-24.1%,-63.1%
Navapur APMC,207.0,114.0,22.0,81.6%,840.9%
Newasa APMC,-,-,26.0,-,-
Nira(Saswad) APMC,28.0,35.0,-,-20.0%,-
Pachora APMC,45.0,87.0,-,-48.3%,-
Paithan APMC,119.0,89.0,74.0,33.7%,60.8%
Palghar APMC,133.0,111.0,197.0,19.8%,-32.5%
Palus APMC,-,-,3.0,-,-
Pandharpur APMC,1.0,1.0,-,-,-
Parali Vaijyanath APMC,-,1.0,-,-,-
Paranda APMC,1.0,3.0,-,-66.7%,-
Parbhani APMC,95.0,76.0,189.0,25.0%,-49.7%
Partur APMC,26.0,53.0,21.0,-50.9%,23.8%
Pathardi APMC,27.0,14.0,10.0,92.9%,170.0%
Pathari APMC,9.0,16.0,4.0,-43.8%,125.0%
Patur APMC,54.0,51.0,59.0,5.9%,-8.5%
Phaltan APMC,75.0,59.0,-,27.1%,-
Pulgaon APMC,-,5.0,-,-,-
Pune APMC,570.0,1421.0,107.0,-59.9%,432.7%
Rahata APMC,27.0,38.0,98.0,-28.9%,-72.5%
Rahuri APMC,4.0,23.0,96.0,-82.6%,-95.8%
Rahuri(Vambori) APMC,27.0,45.0,80.0,-40.0%,-66.2%
Ramtek APMC,140.0,57.0,22.0,145.6%,536.4%
Raver APMC,36.0,64.0,92.0,-43.8%,-60.9%
Sakri APMC,-,-,5.0,-,-
Sangamner APMC,25.0,19.0,117.0,31.6%,-78.6%
Sangli APMC,651.0,439.0,356.0,48.3%,82.9%
Sangrampur(Varvatbakal) APMC,82.0,49.0,16.0,67.3%,412.5%
Satana APMC,74.0,85.0,90.0,-12.9%,-17.8%
Savner APMC,59.0,43.0,3.0,37.2%,1866.7%
Selu APMC,3.0,4.0,1.0,-25.0%,200.0%
Sengoan APMC,-,-,6.0,-,-
Shahada APMC,55.0,48.0,67.0,14.6%,-17.9%
Shegaon APMC,34.0,36.0,18.0,-5.6%,88.9%
Shevgaon APMC,89.0,142.0,110.0,-37.3%,-19.1%
Shevgaon(Bodhegaon) APMC,21.0,37.0,70.0,-43.2%,-70.0%
Shirpur APMC,132.0,105.0,294.0,25.7%,-55.1%
Shirur APMC,21.0,19.0,15.0,10.5%,40.0%
Shrigonda APMC,31.0,43.0,117.0,-27.9%,-73.5%
Shrigonda(Gogargaon) APMC,95.0,33.0,-,187.9%,-
Shrirampur APMC,29.0,43.0,61.0,-32.6%,-52.5%
Shrirampur(Belapur) APMC,8.0,11.0,27.0,-27.3%,-70.4%
Sillod APMC,336.0,460.0,676.0,-27.0%,-50.3%
Sillod(Bharadi) APMC,52.0,37.0,22.0,40.5%,136.4%
Sindi(Selu) APMC,122.0,78.0,35.0,56.4%,248.6%
Sinner APMC,57.0,58.0,203.0,-1.7%,-71.9%
Solapur APMC,2323.0,1978.0,1875.0,17.4%,23.9%
Sonpeth APMC,4.0,-,-,-,-
Tadkalas APMC,20.0,8.0,-,150.0%,-
Taloda APMC,-,1.0,3.0,-,-
Tasgaon APMC,49.0,58.0,43.0,-15.5%,13.9%
Telhara APMC,54.0,54.0,73.0,-,-26.0%
Tuljapur APMC,16.0,3.0,-,433.3%,-
Tumsar APMC,172.0,153.0,81.0,12.4%,112.3%
Ulhasnagar APMC,755.0,562.0,422.0,34.3%,78.9%
Umared APMC,196.0,227.0,173.0,-13.7%,13.3%
Umarga APMC,1.0,9.0,-,-88.9%,-
Umarked(Danki) APMC,41.0,34.0,-,20.6%,-
Umarkhed APMC,24.0,48.0,-,-50.0%,-
Vaduj APMC,14.0,18.0,11.0,-22.2%,27.3%
Vadvani APMC,3.0,3.0,3.0,-,-
Vaijpur APMC,11.0,123.0,-,-91.1%,-
Varud(Rajura Bazar) APMC,3.0,1.0,-,200.0%,-
Vasai APMC,443.0,193.0,-,129.5%,-
Wardha APMC,42.0,64.0,19.0,-34.4%,121.0%
Washim APMC,402.0,340.0,283.0,18.2%,42.0%
Washim(Ansing) APMC,23.0,33.0,41.0,-30.3%,-43.9%
Yawal APMC,9.0,91.0,6.0,-90.1%,50.0%
Yeola APMC,22.0,36.0,109.0,-38.9%,-79.8%
Yeotmal APMC,97.0,197.0,24.0,-50.8%,304.2%
Total,37346.0,35123.0,28447.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

