Market,"Arrivals February, 2021 (Metric Tonnes)","Arrivals January, 2021 (Metric Tonnes)","Arrivals February, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Raver APMC,76.0,71.0,66.0,7.0%,15.2%
Sakri APMC,60.08129059861016,35.0,14.0,-,-
Sangamner APMC,94.0,121.0,28.0,-22.3%,235.7%
Sangli APMC,456.0,285.0,359.0,60.0%,27.0%
Sangrampur(Varvatbakal) APMC,24.0,14.0,22.0,71.4%,9.1%
Satana APMC,79.0,77.0,22.0,2.6%,259.1%
Savner APMC,71.81224108231675,44.652336337904856,3.0,-,-
Selu APMC,1.0,3.0,-2.0968455287280165,-66.7%,-
Sengoan APMC,1.0,2.0,1.0,-50.0%,-
Shahada APMC,470.0,90.0,79.0,422.2%,494.9%
Shegaon APMC,25.0,33.0,7.0,-24.2%,257.1%
Shevgaon APMC,99.0,52.0,124.0,90.4%,-20.2%
Shevgaon(Bodhegaon) APMC,54.0,42.0,31.0,28.6%,74.2%
Shirpur APMC,1149.0,186.0,110.0,517.7%,944.5%
Shirur APMC,16.0,16.0,5.0,-,220.0%
Shrigonda APMC,138.0,59.0,50.607187242241075,133.9%,-
Shrigonda(Gogargaon) APMC,39.94680748834905,9.0,18.098987903133157,-,-
Shrirampur APMC,62.0,43.0,23.0,44.2%,169.6%
Shrirampur(Belapur) APMC,2.0,47.0,35.0,-95.7%,-94.3%
Sillod APMC,1329.0,662.0,13.0,100.8%,10123.1%
Sillod(Bharadi) APMC,58.0,38.0,20.0,52.6%,190.0%
Sindi(Selu) APMC,172.0,22.0,10.0,681.8%,1620.0%
Sinner APMC,344.0,184.0,63.0,87.0%,446.0%
Solapur APMC,1737.0,1324.0,1909.0,31.2%,-9.0%
Taloda APMC,9.0,1.0,2.0,800.0%,350.0%
Tasgaon APMC,45.0,23.0,26.0,95.7%,73.1%
Telhara APMC,54.0,63.0,53.0,-14.3%,1.9%
Tuljapur APMC,258.1975701697141,154.19303644296497,77.0,-,-
Tumsar APMC,80.0,55.0,25.0,45.5%,220.0%
Ulhasnagar APMC,656.0,526.0,1140.0,24.7%,-42.5%
Umared APMC,68.0,127.0,125.0,-46.5%,-45.6%
Umarked(Danki) APMC,24.0,12.0,6.821769121539752,100.0%,-
Vaduj APMC,9.0,16.0,23.0,-43.8%,-60.9%
Vadvani APMC,1.0,3.0,-2.0968455287280165,-66.7%,-
Vaijpur APMC,333.7591900700102,198.6014283774487,107.0,-,-
Vani APMC,1.0,-5.309755325676064,-0.6743484963440838,-,-
Varud(Rajura Bazar) APMC,27.25444112651304,1.0,13.829057155345094,-,-
Vasai APMC,983.5891212125575,580.5135990140095,365.0,-,-
Wardha APMC,61.0,32.73475933486034,15.0,-,306.7%
Washim APMC,1165.0,285.0,1808.0,308.8%,-35.6%
Washim(Ansing) APMC,51.0,7.0,100.0,628.6%,-49.0%
Yawal APMC,21.0,9.0,2.0,133.3%,950.0%
Yeola APMC,404.0,117.0,81.0,245.3%,398.8%
Yeotmal APMC,16.0,14.0,1.0,14.3%,1500.0%
Total,46070.0,27215.0,16491.0,-,-
Note:,542.1112254470391,321.0618935876942,189.6929919779413,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,542.1112254470391,321.0618935876942,189.6929919779413,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,542.1112254470391,321.0618935876942,189.6929919779413,,
