,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - May, 2021",,
Bodwad APMC,-,-,1789.4,-,-
Bori APMC,-,1800.46,-,-,-
Buldhana(Dhad) APMC,1700.0,1900.0,1947.06,-10.5%,-12.7%
Chakur APMC,1501.0,-,-,-,-
Chalisgaon APMC,1646.25,1645.17,1815.16,0.1%,-9.3%
Chandur Bazar APMC,1750.92,1733.6,1754.28,1.0%,-0.2%
Chandur Railway APMC,1616.88,-,1615.0,-,0.1%
Chattrapati Sambhajinagar APMC,1845.28,1757.26,1792.61,5.0%,2.9%
Chikali APMC,1715.57,1780.76,1698.45,-3.7%,1.0%
Chopada APMC,1779.19,1798.47,1779.91,-1.1%,-0.0%
Daryapur APMC,1637.5,1620.08,1936.11,1.1%,-15.4%
Deoulgaon Raja APMC,1715.31,1698.79,1671.09,1.0%,2.6%
Devala APMC,1704.44,1727.5,1854.17,-1.3%,-8.1%
Dhadgaon APMC,-,-,1722.31,-,-
Dhamngaon-Railway APMC,1641.05,1614.68,1700.0,1.6%,-3.5%
Dharangaon APMC,1681.68,1664.42,-,1.0%,-
Dharmabad APMC,-,1650.0,-,-,-
Dharni APMC,-,-,1752.99,-,-
Dhule APMC,1760.45,1811.53,1921.08,-2.8%,-8.4%
Digras APMC,1935.42,-,1991.8,-,-2.8%
Dondaicha APMC,1738.43,1746.52,1773.24,-0.5%,-2.0%
Dondaicha(Sindhkheda) APMC,1691.5,1729.45,1755.08,-2.2%,-3.6%
Dound APMC,1776.1,1771.96,1790.09,0.2%,-0.8%
Dudhani APMC,-,2100.0,-,-,-
Gangakhed APMC,2091.67,2000.0,1932.5,4.6%,8.2%
Gangapur APMC,1741.65,1738.65,1905.92,0.2%,-8.6%
Gevrai APMC,1666.3,1753.81,1919.51,-5.0%,-13.2%
Ghansawangi APMC,1850.0,-,2000.0,-,-7.5%
Himalyatnagar APMC,1556.43,-,1566.67,-,-0.7%
Hinganghat APMC,1726.98,1740.49,1635.11,-0.8%,5.6%
Hingoli APMC,2100.0,1978.48,-,6.1%,-
Hingoli(Kanegoan Naka) APMC,1650.0,1655.56,1708.7,-0.3%,-3.4%
Indapur APMC,1745.83,-,2000.0,-,-12.7%
Indapur(Bhigwan) APMC,1775.0,-,1751.0,-,1.4%
Jafrabad APMC,1700.0,1651.47,1800.0,2.9%,-5.6%
Jalana APMC,1746.99,1780.96,1778.62,-1.9%,-1.8%
Jalgaon APMC,1881.15,1703.24,1748.98,10.4%,7.6%
Jalgaon Jamod(Aasalgaon) APMC,1600.0,1600.0,1700.0,-,-5.9%
Jalgaon(Masawat) APMC,-,1658.62,-,-,-
Jamkhed APMC,1833.33,1861.31,1950.0,-1.5%,-6.0%
Jawala-Bajar APMC,1750.0,-,1800.0,-,-2.8%
Jintur APMC,-,1672.5,2113.33,-,-
Kada APMC,1900.0,-,-,-,-
Kaij APMC,-,1823.68,-,-,-
Kalamb (Dharashiv) APMC,1841.0,2337.35,2400.0,-21.2%,-23.3%
Kalmeshwar APMC,-,1264.0,-,-,-
Kalvan APMC,1600.0,1716.5,1977.04,-6.8%,-19.1%
Kandhar APMC,1400.0,-,-,-,-
Kannad APMC,1777.93,1793.12,2355.56,-0.8%,-24.5%
Karanja APMC,1723.85,1709.88,1774.16,0.8%,-2.8%
Karjat(Raigad) APMC,1738.24,1753.85,-,-0.9%,-
Karmala APMC,1628.57,1744.0,-,-6.6%,-
Katol APMC,1681.42,1674.91,1736.63,0.4%,-3.2%
Khamgaon APMC,1663.95,1635.66,1664.44,1.7%,-0.0%
Kille Dharur APMC,2300.0,2244.83,1546.4,2.5%,48.7%
Kopargaon APMC,1753.97,1703.01,1860.4,3.0%,-5.7%
Kurdwadi APMC,-,2087.5,-,-,-
Kurdwadi(Modnimb) APMC,-,1933.33,1863.64,-,-
Lakhandur APMC,-,1635.0,-,-,-
Lasalgaon APMC,1773.86,1765.04,1851.08,0.5%,-4.2%
Lasalgaon(Niphad) APMC,1754.69,1769.64,1803.09,-0.8%,-2.7%
Lasalgaon(Vinchur) APMC,1917.05,1791.81,1811.58,7.0%,5.8%
Lasur Station APMC,1683.35,1676.36,1710.66,0.4%,-1.6%
Latur APMC,2085.8,2165.55,-,-3.7%,-
Latur(Murud) APMC,2007.48,2072.64,1830.0,-3.1%,9.7%
Loha APMC,-,-,1956.1,-,-
Lonar APMC,1569.43,-,1942.91,-,-19.2%
Mahagaon APMC,-,-,2000.0,-,-
Majalgaon APMC,-,2185.78,2121.5,-,-
Malegaon APMC,1711.04,1760.97,-,-2.8%,-
Malegaon(Vashim) APMC,2000.0,1640.91,1718.97,21.9%,16.4%
Malkapur APMC,1906.97,1720.62,1826.16,10.8%,4.4%
Mandhal APMC,1727.7,1928.4,1561.05,-10.4%,10.7%
Mangal Wedha APMC,2000.0,2126.47,2380.0,-6.0%,-16.0%
Mangrulpeer APMC,1785.05,1896.92,1904.08,-5.9%,-6.2%
Manmad APMC,1660.83,1687.54,1802.61,-1.6%,-7.9%
Manora APMC,1776.55,1798.04,1864.09,-1.2%,-4.7%
Mantha APMC,1851.42,1724.39,2308.41,7.4%,-19.8%
Manwat APMC,-,1718.63,2137.5,-,-
Mehekar APMC,1586.84,1579.83,1670.82,0.4%,-5.0%
Mohol APMC,-,1790.0,-,-,-
Morshi APMC,1751.38,1727.15,1922.08,1.4%,-8.9%
Motala APMC,-,-,1441.18,-,-
Mumbai APMC,3413.94,3322.79,3275.32,2.7%,4.2%
Murtizapur APMC,1783.92,1824.24,1895.52,-2.2%,-5.9%
Murum APMC,1926.62,1969.32,2145.33,-2.2%,-10.2%
Nagbhid APMC,-,-,2000.0,-,-
Nagpur APMC,2282.72,2274.26,2345.13,0.4%,-2.7%
Nampur APMC,1729.17,1553.0,-,11.3%,-
Nanded APMC,1600.0,3782.43,-,-57.7%,-
Nandgaon APMC,1755.0,2107.14,1650.0,-16.7%,6.4%
Nandgaon Khandeshwar APMC,1649.84,1637.93,1679.45,0.7%,-1.8%
Nandura APMC,2062.66,2003.21,2064.26,3.0%,-0.1%
Nandurbar APMC,1765.76,1727.86,1684.8,2.2%,4.8%
Navapur APMC,-,-,1728.29,-,-
Ner Parasopant APMC,-,-,1736.96,-,-
Newasa APMC,-,2084.62,1966.18,-,-
Nilanga APMC,-,-,2535.71,-,-
Nira(Saswad) APMC,2244.33,2213.57,-,1.4%,-
Pachora APMC,1650.16,1579.84,1733.05,4.5%,-4.8%
Paithan APMC,1747.95,1748.57,1945.97,-0.0%,-10.2%
Palam APMC,2311.0,-,2247.33,-,2.8%
Palghar APMC,2618.88,2484.14,2472.03,5.4%,5.9%
Pandhakawada APMC,1685.0,-,-,-,-
Pandharpur APMC,-,1880.0,1580.0,-,-
Parali Vaijyanath APMC,-,-,1638.89,-,-
Paranda APMC,1950.0,1838.57,-,6.1%,-
Parbhani APMC,1785.83,1828.57,2158.33,-2.3%,-17.3%
Parola APMC,1641.21,-,-,-,-
Partur APMC,1661.59,1707.81,1708.33,-2.7%,-2.7%
Pathardi APMC,1960.0,2017.65,2389.13,-2.9%,-18.0%
Pathari APMC,1719.5,1586.72,1848.29,8.4%,-7.0%
Patur APMC,1415.11,1548.9,1577.0,-8.6%,-10.3%
Pavani APMC,-,-,1600.0,-,-
Pulgaon APMC,1563.33,1580.38,36.18,-1.1%,-
Pune APMC,4519.54,4396.61,4050.0,2.8%,11.6%
Purna APMC,-,1663.12,2000.0,-,-
Pusad APMC,-,-,2021.23,-,-
Rahata APMC,1706.25,1716.22,1731.85,-0.6%,-1.5%
Rahuri APMC,1775.0,1660.86,1742.01,6.9%,1.9%
Rahuri(Vambori) APMC,1650.0,1602.5,1960.03,3.0%,-15.8%
Ramtek APMC,1621.24,1629.4,1637.27,-0.5%,-1.0%
Raver APMC,1774.77,1764.19,1760.57,0.6%,0.8%
Risod APMC,-,-,1859.17,-,-
Sakri APMC,-,-,1725.4,-,-
Sangamner APMC,1650.0,1749.73,1656.08,-5.7%,-0.4%
Sangli APMC,3175.0,2532.79,2700.0,25.4%,17.6%
Sangrampur(Varvatbakal) APMC,1662.5,1845.45,1850.0,-9.9%,-10.1%
Satana APMC,1974.47,1928.47,2074.4,2.4%,-4.8%
Savner APMC,1870.41,1697.41,1910.56,10.2%,-2.1%
Selu APMC,-,1683.33,1935.5,-,-
Shahada APMC,1767.09,1768.95,1802.01,-0.1%,-1.9%
Shegaon APMC,1700.0,2043.83,1553.66,-16.8%,9.4%
Shevgaon APMC,1890.91,1827.5,1770.91,3.5%,6.8%
Shevgaon(Bodhegaon) APMC,1762.5,1877.61,1704.65,-6.1%,3.4%
Shirpur APMC,1739.5,1677.88,1743.98,3.7%,-0.3%
Shirur APMC,1643.75,1696.15,1975.0,-3.1%,-16.8%
Shrigonda APMC,2000.0,2000.0,1930.33,-,3.6%
Shrigonda(Gogargaon) APMC,-,1998.95,-,-,-
Shrirampur APMC,-,1658.21,1818.84,-,-
Shrirampur(Belapur) APMC,-,1655.15,1800.0,-,-
Sillod APMC,1702.58,1664.48,1736.86,2.3%,-2.0%
Sillod(Bharadi) APMC,1711.54,1668.37,1750.0,2.6%,-2.2%
Sindi APMC,1582.96,1673.5,1712.76,-5.4%,-7.6%
Sindi(Selu) APMC,1622.82,1675.28,1688.53,-3.1%,-3.9%
Sinner APMC,-,-,1953.64,-,-
Solapur APMC,2703.83,2640.97,2705.61,2.4%,-0.1%
Sonpeth APMC,-,1881.0,1600.0,-,-
Tadkalas APMC,1820.2,-,1822.22,-,-0.1%
Taloda APMC,1697.25,1754.09,1817.52,-3.2%,-6.6%
Tasgaon APMC,2137.5,2118.96,2303.06,0.9%,-7.2%
Telhara APMC,1666.67,-,1715.33,-,-2.8%
Tuljapur APMC,1838.46,1938.1,-,-5.1%,-
Tumsar APMC,1657.6,1623.44,1618.35,2.1%,2.4%
Ulhasnagar APMC,2742.82,2555.6,3140.59,7.3%,-12.7%
Umared APMC,2100.0,2100.0,2195.13,-,-4.3%
Umarga APMC,-,-,2800.0,-,-
Umari APMC,1550.0,-,-,-,-
Umarked(Danki) APMC,1950.68,1912.5,2050.0,2.0%,-4.8%
Umarkhed APMC,2000.0,-,-,-,-
Vaduj APMC,-,2013.89,1987.5,-,-
Vadvani APMC,-,-,1300.0,-,-
Vaijpur APMC,1826.74,1794.49,2001.22,1.8%,-8.7%
Vani APMC,1670.0,-,-,-,-
Varora APMC,-,-,1431.5,-,-
Vasai APMC,2917.19,2830.26,2294.81,3.1%,27.1%
Wardha APMC,1682.29,1700.47,1955.19,-1.1%,-14.0%
Washi (Dharashiv) APMC,-,-,2250.0,-,-
Washim APMC,1667.53,1645.75,1946.94,1.3%,-14.3%
Washim(Ansing) APMC,1674.39,1569.74,1579.4,6.7%,6.0%
Yawal APMC,1866.33,-,1821.7,-,2.5%
Yeola APMC,1663.07,1637.61,1859.82,1.6%,-10.6%
Yeotmal APMC,1693.02,1663.51,1671.96,1.8%,1.3%
Average,1830.83,1860.57,1900.39,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

