Market,"Prices July, 2025 (Rs./Quintal)","Prices June, 2025 (Rs./Quintal)","Prices July, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Digras APMC,2572.03,2620.26,2520.35,-1.8%,2.0%
Dondaicha APMC,2558.49,2547.38,2713.51,0.4%,-5.7%
Dondaicha(Sindhkheda) APMC,2612.717299087595,2581.7202564102563,2675.56,-,-
Dound APMC,2521.84,2500.21,2655.46,0.9%,-5.0%
Dudhani APMC,2480.09,2555.67,2774.13,-3.0%,-10.6%
Gangakhed APMC,2859.14,3024.11,2488.1,-5.5%,14.9%
Gangapur APMC,2592.28,2558.79,2611.81,1.3%,-0.8%
Gevrai APMC,2509.32,2470.74,2778.96,1.6%,-9.7%
Hinganghat APMC,2389.68,2385.14,2234.78,0.2%,6.9%
Hingoli APMC,2697.17,2805.74,2365.68,-3.9%,14.0%
Hingoli(Kanegoan Naka) APMC,2503.0764938492034,2581.7202564102563,2255.41,-,-
Indapur(Nimgaon Ketki) APMC,2557.1363346368817,2581.7202564102563,2510.33,-,-
Jalana APMC,2554.39,2457.38,2556.97,4.0%,-0.1%
Jalgaon APMC,2578.05,2498.39,2519.44,3.2%,2.3%
Jalgaon Jamod(Aasalgaon) APMC,2684.62,2800.0,2400.0,-4.1%,11.9%
Jalgaon(Jamod) APMC,2800.0,2581.7202564102563,2580.7311184210525,-,-
Jalgaon(Masawat) APMC,2544.8949999999986,2750.0,2580.7311184210525,-,-
Jamkhed APMC,2427.67,2437.94,2486.25,-0.4%,-2.4%
Jintur APMC,2322.22,2450.0,2580.7311184210525,-5.2%,-
Kada APMC,2822.11,2807.11,3000.0,0.5%,-5.9%
Kaij APMC,2569.40426147671,2581.7202564102563,2484.0,-,-
Kalamb (Dharashiv) APMC,2467.22,2448.94,2658.29,0.8%,-7.2%
Kalamb APMC,2401.504300000002,2418.75,2580.7311184210525,-,-
Kalvan APMC,2808.297576666666,2904.08,2421.25,-,-
Kalyan APMC,3192.41,3282.14,2867.5,-2.7%,11.3%
Kandhar APMC,2600.0,2673.53,2100.0,-2.8%,23.8%
Kannad APMC,2545.1,2478.93,2627.42,2.7%,-3.1%
Karanja APMC,2609.75,2583.55,2572.53,1.0%,1.4%
Karjat APMC,2369.42,2373.29,2507.86,-0.2%,-5.5%
Karmala APMC,2435.72,2463.35,2601.74,-1.1%,-6.4%
Katol APMC,2509.95,2527.41,2461.16,-0.7%,2.0%
Khamgaon APMC,2415.66,2390.22,2443.74,1.1%,-1.1%
Kille Dharur APMC,2433.32,2497.56,2977.64,-2.6%,-18.3%
Kisan Market Yard APMC,2493.09,2482.43,2452.42,0.4%,1.7%
Kopargaon APMC,2554.53,2557.29,2690.62,-0.1%,-5.1%
Kurdwadi APMC,2540.0,2620.0,2783.33,-3.0%,-8.7%
Kurdwadi(Modnimb) APMC,2692.09,2660.09,2827.24,1.2%,-4.8%
Lasalgaon APMC,2628.34,2664.27,2787.25,-1.4%,-5.7%
Lasalgaon(Niphad) APMC,2514.52,2438.56,2711.02,3.1%,-7.2%
Lasalgaon(Vinchur) APMC,2589.6298498645956,2581.7202564102563,2635.97,-,-
Lasur Station APMC,2560.0,2545.0,2624.94,0.6%,-2.5%
Latur(Murud) APMC,2122.54,2100.0,2580.7311184210525,1.1%,-
Loha APMC,2512.52,2581.1,2507.83,-2.7%,0.2%
Lonar APMC,2438.3,2399.03,2337.44,1.6%,4.3%
"Mahesh Krushi Utpanna Bazar, Digras APMC",2552.1,2586.26,2439.3,-1.3%,4.6%
Majalgaon APMC,2571.36,2584.44,2769.3,-0.5%,-7.2%
Malegaon APMC,2485.26,2376.42,2633.96,4.6%,-5.7%
Malegaon(Vashim) APMC,2524.0,2581.7202564102563,2580.7311184210525,-,-
Malkapur APMC,2517.92,2433.33,2515.03,3.5%,0.1%
Mangal Wedha APMC,2537.2,2745.48,3059.23,-7.6%,-17.1%
Mangrulpeer APMC,2537.87,2597.75,2621.96,-2.3%,-3.2%
Manmad APMC,2532.83,2472.94,2580.7311184210525,2.4%,-
Manora APMC,2621.72,2564.3,2496.6,2.2%,5.0%
Mantha APMC,2479.67,2678.49,2384.56,-7.4%,4.0%
Mehekar APMC,2701.0,2800.0,2457.81,-3.5%,9.9%
Mohol APMC,3100.0,2581.7202564102563,2580.7311184210525,-,-
Morshi APMC,2427.29,2422.1,2427.39,0.2%,-0.0%
Motala APMC,1960.0,2581.7202564102563,2580.7311184210525,-,-
Mudkhed APMC,2530.0,2581.7202564102563,2580.7311184210525,-,-
Mumbai APMC,4194.42,4200.0,2580.7311184210525,-0.1%,-
Murtizapur APMC,2532.47,2543.19,2455.25,-0.4%,3.1%
Murum APMC,2347.67,2359.62,3931.85,-0.5%,-40.3%
Nagpur APMC,3035.0,3048.06,3037.18,-0.4%,-0.1%
Nanded APMC,2697.31,2566.51,2683.03,5.1%,0.5%
Nandgaon APMC,2584.64,2551.55,3092.75,1.3%,-16.4%
Nandgaon Khandeshwar APMC,2457.88,2487.52,2345.93,-1.2%,4.8%
Nandurbar APMC,2600.0,2582.05,2435.91,0.7%,6.7%
Navapur APMC,2497.975045888832,2581.7202564102563,2366.0,-,-
Ner Parasopant APMC,2585.7694938492064,2581.7202564102563,2000.0,-,-
Newasa APMC,2550.0,2581.7202564102563,2600.0,-,-1.9%
Nilanga APMC,2300.0,2598.58,2580.7311184210525,-11.5%,-
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,2604.4,2830.63,2502.36,-8.0%,4.1%
Pachora APMC,2345.22,2421.7,2399.43,-3.2%,-2.3%
Paithan APMC,2573.32,2532.33,2754.27,1.6%,-6.6%
Palam APMC,2851.0,3011.11,3200.0,-5.3%,-10.9%
Palghar APMC,3211.47,3143.37,3110.99,2.2%,3.2%
Palus APMC,3202.9,2581.7202564102563,2580.7311184210525,-,-
Pandhakawada APMC,2350.0,2581.7202564102563,2580.7311184210525,-,-
Parali Vaijyanath APMC,2360.81,2510.0,2580.7311184210525,-5.9%,-
Paranda APMC,2527.5,2511.27,2260.0,0.7%,11.8%
Parbhani APMC,2644.44,2676.52,2584.09,-1.2%,2.3%
Parola APMC,2505.3485458888326,2581.7202564102563,2400.0,-,-
Partur APMC,2518.55,2519.01,2567.81,-0.0%,-1.9%
Pathardi APMC,2840.0,2812.36,2790.57,1.0%,1.8%
Pathari APMC,2587.4439345704786,2581.7202564102563,2608.59,-,-
Patur APMC,2437.28,2455.76,2308.5,-0.8%,5.6%
Phaltan APMC,2474.8023888888874,2525.92,2580.7311184210525,-,-
Purna APMC,2609.410749087595,2581.7202564102563,2830.0,-,-
Rahata APMC,2592.9,2579.31,2646.22,0.5%,-2.0%
Rahuri APMC,2558.62,2552.91,2498.01,0.2%,2.4%
Rahuri(Vambori) APMC,2547.57,2490.03,2793.76,2.3%,-8.8%
Ramtek APMC,2553.8974224027115,2581.7202564102563,2434.14,-,-
Raver APMC,2562.69,2565.08,2476.29,-0.1%,3.5%
Sakri APMC,2511.0,2474.29,2354.0,1.5%,6.7%
Samudrapur APMC,2370.402800000001,2361.29,2580.7311184210525,-,-
Sangamner APMC,2552.4423999999995,2587.75,2628.93,-,-
Sangli APMC,4000.0,4000.0,3480.09,-,14.9%
Sangrampur(Varvatbakal) APMC,2300.0,2581.7202564102563,2580.7311184210525,-,-
Satana APMC,2632.79,2579.9,2747.85,2.0%,-4.2%
Savner APMC,2483.92,2467.56,2412.39,0.7%,3.0%
Selu APMC,2550.0,2581.7202564102563,2580.7311184210525,-,-
Shahada APMC,2624.37,2596.92,2660.97,1.1%,-1.4%
Shegaon APMC,2399.76,2377.59,2400.0,0.9%,-0.0%
Shevgaon APMC,2597.48,2612.89,2689.4,-0.6%,-3.4%
Shevgaon(Bodhegaon) APMC,2514.73,2482.65,2580.98,1.3%,-2.6%
Shirpur APMC,2485.59,2428.79,2625.52,2.3%,-5.3%
Shirur APMC,2535.34,2750.0,2580.7311184210525,-7.8%,-
Shree Salasar Krushi Bazar  APMC,2585.7694938492064,2581.7202564102563,2000.0,-,-
Shrigonda APMC,2700.0,2800.0,2600.0,-3.6%,3.9%
Shrigonda(Gogargaon) APMC,2700.0,2581.7202564102563,2580.7311184210525,-,-
Shrirampur APMC,2511.56,2525.19,2492.0,-0.5%,0.8%
Shrirampur(Belapur) APMC,2400.0,2400.0,2300.0,-,4.3%
Sillod APMC,2504.62,2529.3,2498.04,-1.0%,0.3%
Sillod(Bharadi) APMC,2486.25,2442.86,2425.0,1.8%,2.5%
Sindi APMC,2406.394900000002,2387.31,2580.7311184210525,-,-
Sindi(Selu) APMC,2504.09,2532.89,2404.0,-1.1%,4.2%
Sindkhed Raja APMC,2100.0,2064.05,2580.7311184210525,1.7%,-
Sinner APMC,2650.0,2800.0,2580.7311184210525,-5.4%,-
Solapur APMC,3395.25,3346.93,3303.63,1.4%,2.8%
Tadkalas APMC,2300.0,2367.0,2200.0,-2.8%,4.5%
Taloda APMC,2541.127500000002,2625.0,2580.7311184210525,-,-
Tasgaon APMC,3091.75,3159.94,3095.06,-2.2%,-0.1%
Telhara APMC,2532.66,2622.63,2577.62,-3.4%,-1.7%
Tuljapur APMC,2605.82,2683.49,2580.7311184210525,-2.9%,-
Tumsar APMC,2558.58,2483.64,2475.11,3.0%,3.4%
Ulhasnagar APMC,3255.34,3290.01,3359.22,-1.1%,-3.1%
Umared APMC,2550.0,2571.18,2415.12,-0.8%,5.6%
Umarga APMC,2342.04,2336.19,2998.2,0.2%,-21.9%
Umarked(Danki) APMC,2900.0,2800.0,2400.0,3.6%,20.8%
Umarkhed APMC,2544.8949999999986,2750.0,2580.7311184210525,-,-
Vaduj APMC,2602.94,2550.0,2500.0,2.1%,4.1%
Vadvani APMC,2636.18,2451.0,2616.62,7.6%,0.8%
Vaijpur APMC,2805.49,2600.22,2700.0,7.9%,3.9%
Vani APMC,2516.423000000002,2527.5,2255.0,-,-
Varud APMC,2521.0,2503.0,2580.7311184210525,0.7%,-
Varud(Rajura Bazar) APMC,2462.5,2477.09,2238.0,-0.6%,10.0%
Vasai APMC,2609.160649087596,2581.7202564102563,3366.5,-,-
Vitthal Krushi Utpanna Bazar  APMC,2363.11,2581.7202564102563,2318.15,-,1.9%
Wardha APMC,2576.67,2596.3,2421.82,-0.8%,6.4%
Washim APMC,2445.0,2456.21,2385.19,-0.5%,2.5%
Washim(Ansing) APMC,2397.69,2350.0,2225.21,2.0%,7.8%
Yawal APMC,2614.269249087596,2581.7202564102563,2738.51,-,-
Yeola APMC,2545.54,2549.19,2778.71,-0.1%,-8.4%
Yeotmal APMC,2553.74,2531.72,2400.98,0.9%,6.4%
Average,2568.38,2581.72,2580.73,-,-
Note:,2567.339903815417,2581.7202564102563,2580.7311184210525,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,2567.339903815417,2581.7202564102563,2580.7311184210525,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,2567.339903815417,2581.7202564102563,2580.7311184210525,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,2567.339903815417,2581.7202564102563,2580.7311184210525,,
