,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - March, 2021",,
Jintur APMC,4.0,1.0,28.0,300.0%,-85.7%
Kaij APMC,78.0,-,5.0,-,1460.0%
Kalamb (Dharashiv) APMC,127.0,48.0,74.0,164.6%,71.6%
Kalamnuri APMC,13.0,-,13.0,-,-
Kalmeshwar APMC,3.0,-,-,-,-
Kalvan APMC,45.0,8.0,33.0,462.5%,36.4%
Kandhar APMC,-,10.0,-,-,-
Kannad APMC,164.0,246.0,2.0,-33.3%,8100.0%
Karanja APMC,8720.0,2195.0,4435.0,297.3%,96.6%
Karjat(Raigad) APMC,104.0,55.0,24.0,89.1%,333.3%
Karmala APMC,33.0,9.0,18.0,266.7%,83.3%
Katol APMC,373.0,66.0,144.0,465.1%,159.0%
Khamgaon APMC,908.0,505.0,1809.0,79.8%,-49.8%
Kille Dharur APMC,50.0,16.0,26.0,212.5%,92.3%
Kopargaon APMC,718.0,361.0,666.0,98.9%,7.8%
Kurdwadi APMC,2.0,-,1.0,-,100.0%
Kurdwadi(Modnimb) APMC,20.0,11.0,12.0,81.8%,66.7%
Lakhandur APMC,2.0,-,-,-,-
Lasalgaon APMC,1068.0,760.0,768.0,40.5%,39.1%
Lasalgaon(Niphad) APMC,273.0,150.0,391.0,82.0%,-30.2%
Lasalgaon(Vinchur) APMC,1132.0,321.0,-,252.7%,-
Lasur Station APMC,2418.0,1067.0,311.0,126.6%,677.5%
Latur APMC,1995.0,2405.0,836.0,-17.1%,138.6%
Latur(Murud) APMC,91.0,2.0,2.0,4450.0%,4450.0%
Loha APMC,7.0,9.0,15.0,-22.2%,-53.3%
Lonand APMC,-,-,2.0,-,-
Lonar APMC,71.0,234.0,763.0,-69.7%,-90.7%
Majalgaon APMC,110.0,62.0,22.0,77.4%,400.0%
Malegaon APMC,1034.0,447.0,636.0,131.3%,62.6%
Malegaon(Vashim) APMC,847.0,675.0,1206.0,25.5%,-29.8%
Malkapur APMC,1115.0,337.0,845.0,230.9%,31.9%
Mandhal APMC,1.0,1.0,-,-,-
Mangal Wedha APMC,47.0,5.0,10.0,840.0%,370.0%
Mangrulpeer APMC,594.0,130.0,792.0,356.9%,-25.0%
Manmad APMC,138.0,246.0,178.0,-43.9%,-22.5%
Manora APMC,204.0,4.0,133.0,5000.0%,53.4%
Mantha APMC,84.0,23.0,24.0,265.2%,250.0%
Manwat APMC,40.0,-,2.0,-,1900.0%
Mehekar APMC,297.0,223.0,844.0,33.2%,-64.8%
Morshi APMC,149.0,75.0,52.0,98.7%,186.5%
Mudkhed APMC,-,1.0,-,-,-
Mumbai APMC,19787.0,10479.0,10832.0,88.8%,82.7%
Murtizapur APMC,724.0,198.0,149.0,265.7%,385.9%
Murum APMC,16.0,2.0,9.0,700.0%,77.8%
Nagpur APMC,2010.0,924.0,1761.0,117.5%,14.1%
Nampur APMC,8.0,17.0,-,-52.9%,-
Nanded APMC,52.0,25.0,34.0,108.0%,52.9%
Nandgaon APMC,202.0,255.0,183.0,-20.8%,10.4%
Nandgaon Khandeshwar APMC,127.0,1.0,45.0,12600.0%,182.2%
Nandura APMC,225.0,39.0,65.0,476.9%,246.2%
Nandurbar APMC,1552.0,1799.0,4497.0,-13.7%,-65.5%
Navapur APMC,-,-,182.0,-,-
Newasa APMC,14.0,6.0,12.0,133.3%,16.7%
Nilanga APMC,4.0,5.0,5.0,-20.0%,-20.0%
Pachora APMC,497.0,208.0,300.0,138.9%,65.7%
Paithan APMC,294.0,102.0,129.0,188.2%,127.9%
Palghar APMC,105.0,97.0,73.0,8.2%,43.8%
Pandharpur APMC,2.0,-,-,-,-
Parali Vaijyanath APMC,-,-,32.0,-,-
Paranda APMC,5.0,10.0,3.0,-50.0%,66.7%
Parbhani APMC,102.0,137.0,-,-25.6%,-
Parola APMC,450.0,-,-,-,-
Partur APMC,99.0,20.0,26.0,395.0%,280.8%
Pathardi APMC,18.0,22.0,11.0,-18.2%,63.6%
Pathari APMC,47.0,5.0,17.0,840.0%,176.5%
Patur APMC,42.0,16.0,11.0,162.5%,281.8%
Phaltan APMC,-,34.0,-,-,-
Pulgaon APMC,42.0,3.0,-,1300.0%,-
Pune APMC,150.0,125.0,18.0,20.0%,733.3%
Purna APMC,7.0,-,-,-,-
Rahata APMC,99.0,46.0,223.0,115.2%,-55.6%
Rahuri APMC,312.0,21.0,40.0,1385.7%,680.0%
Rahuri(Vambori) APMC,90.0,58.0,36.0,55.2%,150.0%
Ramtek APMC,708.0,22.0,2274.0,3118.2%,-68.9%
Raver APMC,343.0,76.0,62.0,351.3%,453.2%
Sakri APMC,-,-,55.0,-,-
Sangamner APMC,67.0,94.0,38.0,-28.7%,76.3%
Sangli APMC,591.0,456.0,319.0,29.6%,85.3%
Sangrampur(Varvatbakal) APMC,11.0,24.0,4.0,-54.2%,175.0%
Satana APMC,77.0,79.0,26.0,-2.5%,196.2%
Savner APMC,-,-,14.0,-,-
Selu APMC,4.0,1.0,-,300.0%,-
Sengoan APMC,1.0,1.0,2.0,-,-50.0%
Shahada APMC,1276.0,470.0,2080.0,171.5%,-38.6%
Shegaon APMC,111.0,25.0,-,344.0%,-
Shevgaon APMC,155.0,99.0,131.0,56.6%,18.3%
Shevgaon(Bodhegaon) APMC,73.0,54.0,28.0,35.2%,160.7%
Shirpur APMC,2438.0,1149.0,2706.0,112.2%,-9.9%
Shirur APMC,28.0,16.0,12.0,75.0%,133.3%
Shrigonda APMC,344.0,138.0,28.0,149.3%,1128.6%
Shrigonda(Gogargaon) APMC,34.0,-,-,-,-
Shrirampur APMC,151.0,62.0,117.0,143.6%,29.1%
Shrirampur(Belapur) APMC,44.0,2.0,36.0,2100.0%,22.2%
Sillod APMC,1623.0,1329.0,517.0,22.1%,213.9%
Sillod(Bharadi) APMC,24.0,58.0,11.0,-58.6%,118.2%
Sindi APMC,7.0,-,-,-,-
Sindi(Selu) APMC,470.0,172.0,99.0,173.3%,374.8%
Sinner APMC,422.0,344.0,274.0,22.7%,54.0%
Solapur APMC,1827.0,1737.0,1405.0,5.2%,30.0%
Tadkalas APMC,3.0,-,1.0,-,200.0%
Taloda APMC,255.0,9.0,301.0,2733.3%,-15.3%
Tasgaon APMC,41.0,45.0,15.0,-8.9%,173.3%
Telhara APMC,69.0,54.0,5.0,27.8%,1280.0%
Tuljapur APMC,2.0,-,59.0,-,-96.6%
Tumsar APMC,221.0,80.0,103.0,176.2%,114.6%
Ulhasnagar APMC,254.0,656.0,89.0,-61.3%,185.4%
Umared APMC,67.0,68.0,95.0,-1.5%,-29.5%
Umarked(Danki) APMC,12.0,24.0,-,-50.0%,-
Umarkhed APMC,12.0,-,-,-,-
Vaduj APMC,13.0,9.0,9.0,44.4%,44.4%
Vadvani APMC,-,1.0,-,-,-
Vaijpur APMC,-,-,173.0,-,-
Vani APMC,-,1.0,-,-,-
Varud(Rajura Bazar) APMC,1.0,-,-,-,-
Vasai APMC,-,-,271.0,-,-
Wardha APMC,1148.0,61.0,400.0,1782.0%,187.0%
Washim APMC,1782.0,1165.0,3078.0,53.0%,-42.1%
Washim(Ansing) APMC,132.0,51.0,145.0,158.8%,-9.0%
Yawal APMC,315.0,21.0,85.0,1400.0%,270.6%
Yeola APMC,396.0,404.0,206.0,-2.0%,92.2%
Yeotmal APMC,290.0,16.0,-,1712.5%,-
Total,96638.0,46070.0,65907.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

