,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - July, 2023",,
Lonar APMC,2133.25,2118.41,2554.5,0.7%,-16.5%
"Mahesh Krushi Utpanna Bazar, Digras APMC",2294.67,-,-,-,-
Majalgaon APMC,2568.13,2521.13,2473.94,1.9%,3.8%
Malegaon APMC,2410.06,2352.63,2231.73,2.4%,8.0%
Malkapur APMC,2350.05,2315.7,2193.31,1.5%,7.2%
Mangal Wedha APMC,2756.67,2756.25,2555.0,-,7.9%
Mangrulpeer APMC,2317.54,2277.8,2148.56,1.7%,7.9%
Manmad APMC,2315.57,2297.26,2156.82,0.8%,7.4%
Manora APMC,2384.65,2343.36,2298.82,1.8%,3.7%
Mantha APMC,2280.71,2773.91,2058.75,-17.8%,10.8%
Manwat APMC,3440.1,2383.67,2272.75,44.3%,51.4%
Mehekar APMC,2507.04,2408.25,1753.19,4.1%,43.0%
Morshi APMC,2193.93,2245.32,2040.87,-2.3%,7.5%
Mumbai APMC,4300.0,4221.98,3032.22,1.9%,41.8%
Murtizapur APMC,2246.48,2284.36,2188.37,-1.7%,2.7%
Murum APMC,2914.0,2752.09,2200.0,5.9%,32.5%
Nagpur APMC,2727.97,2724.2,2413.88,0.1%,13.0%
Nanded APMC,2357.27,2313.64,2016.92,1.9%,16.9%
Nandgaon APMC,2425.14,2311.4,2294.55,4.9%,5.7%
Nandgaon Khandeshwar APMC,2250.0,2175.91,2165.91,3.4%,3.9%
Nandura APMC,2426.04,2514.49,2228.75,-3.5%,8.8%
Nandurbar APMC,2343.58,2440.89,2219.49,-4.0%,5.6%
Navapur APMC,2135.26,2063.6,-,3.5%,-
Newasa APMC,2283.33,2325.0,-,-1.8%,-
Nilanga APMC,2733.33,-,2825.5,-,-3.3%
Nira(Saswad) APMC,2950.0,3062.42,2504.4,-3.7%,17.8%
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,2261.85,-,-,-,-
Pachora APMC,2266.65,2300.91,2101.42,-1.5%,7.9%
Paithan APMC,2286.87,2339.45,2261.54,-2.2%,1.1%
Palghar APMC,3071.37,2999.95,2740.57,2.4%,12.1%
Pandharpur APMC,-,2400.0,-,-,-
Parali Vaijyanath APMC,2077.33,-,-,-,-
Paranda APMC,2366.67,2510.0,3000.0,-5.7%,-21.1%
Parbhani APMC,2637.66,2673.25,2316.67,-1.3%,13.9%
Parola APMC,2310.5,2367.12,2400.0,-2.4%,-3.7%
Partur APMC,2341.71,2492.75,2262.59,-6.1%,3.5%
Pathardi APMC,2172.73,2136.84,1977.14,1.7%,9.9%
Pathari APMC,2155.0,2260.52,1983.67,-4.7%,8.6%
Patur APMC,2164.97,2098.8,2031.59,3.1%,6.6%
Phaltan APMC,2518.07,2500.0,2387.78,0.7%,5.5%
Pulgaon APMC,-,2233.28,-,-,-
Pune APMC,4508.45,4499.73,4329.85,0.2%,4.1%
Purna APMC,2100.0,-,2651.0,-,-20.8%
Pusad APMC,2571.76,2494.17,-,3.1%,-
Rahata APMC,2315.17,2282.71,2176.69,1.4%,6.4%
Rahuri APMC,2185.0,2090.24,2040.0,4.5%,7.1%
Rahuri(Vambori) APMC,2263.19,2224.63,2242.46,1.7%,0.9%
Ramtek APMC,2277.97,2270.77,2350.0,0.3%,-3.1%
Raver APMC,2170.46,2215.8,-,-2.0%,-
Sakri APMC,2345.45,2350.0,2077.89,-0.2%,12.9%
Sangamner APMC,-,2355.8,2202.0,-,-
Sangli APMC,3267.94,3211.32,2903.8,1.8%,12.5%
Sangrampur(Varvatbakal) APMC,-,-,1770.0,-,-
Satana APMC,2354.92,2323.58,2146.07,1.4%,9.7%
Savner APMC,2215.86,2291.67,2021.3,-3.3%,9.6%
Selu APMC,-,-,2315.33,-,-
Shahada APMC,2344.67,2370.13,2245.83,-1.1%,4.4%
Shegaon APMC,2325.0,2366.67,1990.0,-1.8%,16.8%
Shekari Krushi Khajgi Bazar APMC,0.0,-,-,-,-
Shevgaon APMC,2284.06,2141.14,2232.74,6.7%,2.3%
Shevgaon(Bodhegaon) APMC,2293.06,2279.41,2125.0,0.6%,7.9%
Shirpur APMC,2276.24,2297.58,2173.43,-0.9%,4.7%
Shirur APMC,2520.0,2135.17,1822.22,18.0%,38.3%
Shree Salasar Krushi Bazar  APMC,2000.0,-,-,-,-
Shrigonda APMC,2295.45,2250.0,2113.85,2.0%,8.6%
Shrigonda(Gogargaon) APMC,2300.0,-,-,-,-
Shrirampur APMC,2211.11,2211.63,2056.25,-0.0%,7.5%
Shrirampur(Belapur) APMC,2134.48,1965.12,1896.43,8.6%,12.6%
Sillod APMC,2304.4,2238.58,2167.96,2.9%,6.3%
Sillod(Bharadi) APMC,2250.0,2193.75,2134.29,2.6%,5.4%
Sindi(Selu) APMC,2201.51,2280.92,2124.7,-3.5%,3.6%
Sinner APMC,2429.04,2359.44,2281.67,3.0%,6.5%
Solapur APMC,2628.3,2715.19,2620.78,-3.2%,0.3%
Sonpeth APMC,-,2469.67,2650.0,-,-
Tadkalas APMC,2016.67,2075.0,2100.0,-2.8%,-4.0%
Taloda APMC,-,2221.0,-,-,-
Tasgaon APMC,2648.18,2611.43,2200.94,1.4%,20.3%
Telhara APMC,2260.0,2209.69,2001.61,2.3%,12.9%
Tuljapur APMC,2798.15,2913.33,2500.0,-4.0%,11.9%
Tumsar APMC,2212.43,2187.85,2145.78,1.1%,3.1%
Ulhasnagar APMC,3349.43,3344.15,2901.08,0.2%,15.4%
Umared APMC,2419.51,2408.33,2100.0,0.5%,15.2%
Umarga APMC,2030.0,2100.0,1700.0,-3.3%,19.4%
Umarked(Danki) APMC,2100.0,2100.0,-,-,-
Umarkhed APMC,2100.0,2100.0,-,-,-
Vaduj APMC,2320.0,2335.71,2196.88,-0.7%,5.6%
Vaijpur APMC,2384.68,2318.07,2222.78,2.9%,7.3%
Varora APMC,-,2200.0,2200.0,-,-
Varud(Rajura Bazar) APMC,-,2246.5,-,-,-
Vasai APMC,3482.8,3481.26,3456.74,-,0.8%
Wardha APMC,2286.72,2289.04,2175.58,-0.1%,5.1%
Washim APMC,2126.04,2134.86,1989.91,-0.4%,6.8%
Washim(Ansing) APMC,2460.0,2187.14,2950.0,12.5%,-16.6%
Yawal APMC,2652.0,2649.17,2530.0,0.1%,4.8%
Yeola APMC,2310.0,2191.62,2318.5,5.4%,-0.4%
Yeotmal APMC,2284.09,2244.43,2188.53,1.8%,4.4%
Average,2382.57,2385.25,2243.08,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

