,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - July, 2023",,
Gevrai APMC,210.0,250.0,71.0,-16.0%,195.8%
Ghansawangi APMC,-,7.0,8.0,-,-
Himalyatnagar APMC,-,-,13.0,-,-
Hinganghat APMC,149.0,262.0,402.0,-43.1%,-62.9%
Hingoli APMC,58.0,140.0,53.0,-58.6%,9.4%
Hingoli(Kanegoan Naka) APMC,28.0,7.0,160.0,300.0%,-82.5%
Indapur(Bhigwan) APMC,-,41.0,39.0,-,-
Indapur(Nimgaon Ketki) APMC,2.0,1.0,3.0,100.0%,-33.3%
Jai Gajanan Krishi Bazar APMC,20.66,0.87,-,2274.7%,-
Jalana APMC,653.0,946.0,612.0,-31.0%,6.7%
Jalgaon APMC,9.0,11.0,41.0,-18.2%,-78.0%
Jalgaon(Masawat) APMC,1.0,3.0,-,-66.7%,-
Jamkhed APMC,42.0,59.0,96.0,-28.8%,-56.2%
Jawala-Bajar APMC,-,-,8.0,-,-
Jintur APMC,1.0,1.0,3.0,-,-66.7%
Kada APMC,14.0,93.0,30.0,-85.0%,-53.3%
Kaij APMC,11.0,49.0,20.0,-77.5%,-45.0%
Kalamb (Dharashiv) APMC,62.0,219.0,20.0,-71.7%,210.0%
Kalvan APMC,4.0,14.0,1.0,-71.4%,300.0%
Kandhar APMC,-,1.0,23.0,-,-
Kannad APMC,45.0,45.0,28.0,-,60.7%
Karanja APMC,861.0,2783.0,1018.0,-69.1%,-15.4%
Karjat(Raigad) APMC,97.0,118.0,10.0,-17.8%,870.0%
Karmala APMC,15.0,26.0,6.0,-42.3%,150.0%
Katol APMC,96.0,122.0,104.0,-21.3%,-7.7%
Khamgaon APMC,395.0,712.0,241.0,-44.5%,63.9%
Kille Dharur APMC,14.0,40.0,10.0,-65.0%,40.0%
Kisan Market Yard APMC,12.04,-,-,-,-
Kopargaon APMC,156.0,245.0,88.0,-36.3%,77.3%
Kurdwadi APMC,1.0,1.0,-,-,-
Kurdwadi(Modnimb) APMC,5.0,10.0,4.0,-50.0%,25.0%
Lakhandur APMC,-,-,1.0,-,-
Lasalgaon APMC,175.0,362.0,103.0,-51.7%,69.9%
Lasalgaon(Niphad) APMC,77.0,179.0,39.0,-57.0%,97.4%
Lasalgaon(Vinchur) APMC,18.0,74.0,32.0,-75.7%,-43.8%
Lasur Station APMC,271.0,320.0,351.0,-15.3%,-22.8%
Latur APMC,353.0,-,486.0,-,-27.4%
Loha APMC,14.0,37.0,4.0,-62.2%,250.0%
Lonar APMC,199.0,205.0,119.0,-2.9%,67.2%
"Mahesh Krushi Utpanna Bazar, Digras APMC",6.06,-,-,-,-
Majalgaon APMC,61.0,82.0,18.0,-25.6%,238.9%
Malegaon APMC,105.0,171.0,41.0,-38.6%,156.1%
Malkapur APMC,383.0,834.0,263.0,-54.1%,45.6%
Mangal Wedha APMC,15.0,16.0,2.0,-6.2%,650.0%
Mangrulpeer APMC,268.0,357.0,52.0,-24.9%,415.4%
Manmad APMC,14.0,34.0,11.0,-58.8%,27.3%
Manora APMC,34.0,78.0,45.0,-56.4%,-24.4%
Mantha APMC,17.0,23.0,20.0,-26.1%,-15.0%
Manwat APMC,10.0,9.0,4.0,11.1%,150.0%
Mehekar APMC,71.0,97.0,47.0,-26.8%,51.1%
Morshi APMC,136.0,171.0,304.0,-20.5%,-55.3%
Mumbai APMC,15223.0,18166.0,12481.0,-16.2%,22.0%
Murtizapur APMC,88.0,320.0,92.0,-72.5%,-4.3%
Murum APMC,9.0,23.0,1.0,-60.9%,800.0%
Nagpur APMC,886.0,1547.0,1814.0,-42.7%,-51.2%
Nanded APMC,22.0,55.0,13.0,-60.0%,69.2%
Nandgaon APMC,36.0,62.0,29.0,-41.9%,24.1%
Nandgaon Khandeshwar APMC,4.0,11.0,11.0,-63.6%,-63.6%
Nandura APMC,54.0,119.0,64.0,-54.6%,-15.6%
Nandurbar APMC,96.0,312.0,65.0,-69.2%,47.7%
Navapur APMC,19.0,47.0,-,-59.6%,-
Newasa APMC,9.0,10.0,-,-10.0%,-
Nilanga APMC,6.0,-,2.0,-,200.0%
Nira(Saswad) APMC,20.0,19.0,10.0,5.3%,100.0%
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,15.49,-,-,-,-
Pachora APMC,77.0,57.0,158.0,35.1%,-51.3%
Paithan APMC,121.0,187.0,56.0,-35.3%,116.1%
Palghar APMC,106.0,100.0,53.0,6.0%,100.0%
Pandharpur APMC,-,4.0,-,-,-
Parali Vaijyanath APMC,3.0,-,-,-,-
Paranda APMC,3.0,3.0,3.0,-,-
Parbhani APMC,65.0,77.0,36.0,-15.6%,80.6%
Parola APMC,14.0,34.0,2.0,-58.8%,600.0%
Partur APMC,7.0,36.0,17.0,-80.6%,-58.8%
Pathardi APMC,22.0,19.0,35.0,15.8%,-37.1%
Pathari APMC,16.0,23.0,3.0,-30.4%,433.3%
Patur APMC,34.0,60.0,46.0,-43.3%,-26.1%
Phaltan APMC,119.0,90.0,45.0,32.2%,164.4%
Pulgaon APMC,-,29.0,-,-,-
Pune APMC,1095.0,1092.0,1310.0,0.3%,-16.4%
Purna APMC,1.0,-,265.0,-,-99.6%
Pusad APMC,262.0,135.0,-,94.1%,-
Rahata APMC,95.0,102.0,80.0,-6.9%,18.8%
Rahuri APMC,32.0,105.0,10.0,-69.5%,220.0%
Rahuri(Vambori) APMC,27.0,46.0,13.0,-41.3%,107.7%
Ramtek APMC,151.0,134.0,14.0,12.7%,978.6%
Raver APMC,46.0,46.0,-,-,-
Sakri APMC,11.0,4.0,9.0,175.0%,22.2%
Sangamner APMC,-,5.0,2.0,-,-
Sangli APMC,1063.0,1092.0,539.0,-2.7%,97.2%
Sangrampur(Varvatbakal) APMC,-,-,5.0,-,-
Satana APMC,48.0,134.0,28.0,-64.2%,71.4%
Savner APMC,21.0,88.0,20.0,-76.1%,5.0%
Selu APMC,-,-,6.0,-,-
Shahada APMC,48.0,181.0,54.0,-73.5%,-11.1%
Shegaon APMC,20.0,30.0,8.0,-33.3%,150.0%
Shekari Krushi Khajgi Bazar APMC,16.78,-,-,-,-
Shevgaon APMC,127.0,158.0,84.0,-19.6%,51.2%
Shevgaon(Bodhegaon) APMC,36.0,34.0,4.0,5.9%,800.0%
Shirpur APMC,167.0,290.0,136.0,-42.4%,22.8%
Shirur APMC,5.0,6.0,9.0,-16.7%,-44.4%
Shree Salasar Krushi Bazar  APMC,1.39,-,-,-,-
Shrigonda APMC,11.0,12.0,13.0,-8.3%,-15.4%
Shrigonda(Gogargaon) APMC,4.0,-,-,-,-
Shrirampur APMC,36.0,43.0,12.0,-16.3%,200.0%
Shrirampur(Belapur) APMC,29.0,43.0,28.0,-32.6%,3.6%
Sillod APMC,250.0,232.0,412.0,7.8%,-39.3%
Sillod(Bharadi) APMC,5.0,4.0,21.0,25.0%,-76.2%
Sindi(Selu) APMC,43.0,173.0,217.0,-75.1%,-80.2%
Sinner APMC,26.0,9.0,21.0,188.9%,23.8%
Solapur APMC,4509.0,4779.0,2943.0,-5.7%,53.2%
Sonpeth APMC,-,3.0,1.0,-,-
Tadkalas APMC,6.0,4.0,4.0,50.0%,50.0%
Taloda APMC,-,6.0,-,-,-
Tasgaon APMC,22.0,35.0,32.0,-37.1%,-31.2%
Telhara APMC,71.0,65.0,56.0,9.2%,26.8%
Tuljapur APMC,27.0,90.0,35.0,-70.0%,-22.9%
Tumsar APMC,60.0,93.0,69.0,-35.5%,-13.0%
Ulhasnagar APMC,1317.0,1394.0,1067.0,-5.5%,23.4%
Umared APMC,41.0,90.0,164.0,-54.4%,-75.0%
Umarga APMC,1.0,1.0,1.0,-,-
Umarked(Danki) APMC,28.0,35.0,-,-20.0%,-
Umarkhed APMC,12.0,12.0,-,-,-
Vaduj APMC,15.0,14.0,16.0,7.1%,-6.2%
Vaijpur APMC,94.0,150.0,144.0,-37.3%,-34.7%
Varora APMC,-,1.0,1.0,-,-
Varud(Rajura Bazar) APMC,-,2.0,-,-,-
Vasai APMC,386.0,435.0,340.0,-11.3%,13.5%
Wardha APMC,64.0,178.0,139.0,-64.0%,-54.0%
Washim APMC,407.0,545.0,446.0,-25.3%,-8.7%
Washim(Ansing) APMC,15.0,70.0,8.0,-78.6%,87.5%
Yawal APMC,30.0,24.0,3.0,25.0%,900.0%
Yeola APMC,16.0,45.0,6.0,-64.4%,166.7%
Yeotmal APMC,54.0,113.0,131.0,-52.2%,-58.8%
Total,36669.32,49910.87,33280.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

