,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - January, 2021",,
Chattrapati Sambhajinagar APMC,131.0,208.0,26.0,-37.0%,403.9%
Chikali APMC,165.0,240.0,47.0,-31.2%,251.1%
Chopada APMC,15.0,34.0,17.0,-55.9%,-11.8%
Daryapur APMC,-,-,1.0,-,-
Deoulgaon Raja APMC,37.0,45.0,8.0,-17.8%,362.5%
Devala APMC,25.0,32.0,1.0,-21.9%,2400.0%
Dhamngaon-Railway APMC,-,-,116.0,-,-
Dharangaon APMC,14.0,41.0,1.0,-65.8%,1300.0%
Dhule APMC,514.0,569.0,166.0,-9.7%,209.6%
Digras APMC,6.0,5.0,23.0,20.0%,-73.9%
Dindori APMC,-,-,3.0,-,-
Dondaicha APMC,579.0,848.0,167.0,-31.7%,246.7%
Dondaicha(Sindhkheda) APMC,9.0,-,2.0,-,350.0%
Dound APMC,100.0,106.0,188.0,-5.7%,-46.8%
Dudhani APMC,-,-,1.0,-,-
Gangakhed APMC,32.0,26.0,18.0,23.1%,77.8%
Gangapur APMC,85.0,29.0,55.0,193.1%,54.5%
Gevrai APMC,197.0,301.0,110.0,-34.5%,79.1%
Ghansawangi APMC,2.0,-,14.0,-,-85.7%
Hadgaon APMC,-,-,143.0,-,-
Hinganghat APMC,100.0,165.0,140.0,-39.4%,-28.6%
Hingoli APMC,87.0,76.0,38.0,14.5%,128.9%
Indapur APMC,4.0,-,-,-,-
Indapur(Bhigwan) APMC,30.0,-,-,-,-
Indapur(Nimgaon Ketki) APMC,-,-,2.0,-,-
Jafrabad APMC,51.0,52.0,-,-1.9%,-
Jalana APMC,1013.0,1053.0,81.0,-3.8%,1150.6%
Jalgaon APMC,3.0,3.0,3.0,-,-
Jalgaon Jamod(Aasalgaon) APMC,4.0,-,-,-,-
Jalgaon(Masawat) APMC,-,-,1.0,-,-
Jamkhed APMC,23.0,17.0,8.0,35.3%,187.5%
Jawala-Bajar APMC,23.0,41.0,-,-43.9%,-
Jintur APMC,1.0,2.0,8.0,-50.0%,-87.5%
Kada APMC,-,5.0,8.0,-,-
Kaij APMC,11.0,56.0,7.0,-80.4%,57.1%
Kalamb (Dharashiv) APMC,61.0,48.0,12.0,27.1%,408.3%
Kalamnuri APMC,-,-,14.0,-,-
Kalvan APMC,6.0,2.0,7.0,200.0%,-14.3%
Kandhar APMC,3.0,-,-,-,-
Kannad APMC,120.0,15.0,7.0,700.0%,1614.3%
Karanja APMC,469.0,492.0,255.0,-4.7%,83.9%
Karjat(Raigad) APMC,40.0,41.0,141.0,-2.4%,-71.6%
Karmala APMC,3.0,11.0,7.0,-72.7%,-57.1%
Katol APMC,25.0,36.0,26.0,-30.6%,-3.9%
Khamgaon APMC,429.0,510.0,94.0,-15.9%,356.4%
Kille Dharur APMC,15.0,32.0,5.0,-53.1%,200.0%
Kopargaon APMC,233.0,281.0,111.0,-17.1%,109.9%
Kurdwadi APMC,-,1.0,1.0,-,-
Kurdwadi(Modnimb) APMC,2.0,11.0,13.0,-81.8%,-84.6%
Lakhandur APMC,-,-,4.0,-,-
Lasalgaon APMC,347.0,383.0,168.0,-9.4%,106.5%
Lasalgaon(Niphad) APMC,113.0,125.0,115.0,-9.6%,-1.7%
Lasalgaon(Vinchur) APMC,111.0,244.0,-,-54.5%,-
Lasur Station APMC,402.0,357.0,63.0,12.6%,538.1%
Latur APMC,1996.0,2846.0,1264.0,-29.9%,57.9%
Latur(Murud) APMC,27.0,96.0,-,-71.9%,-
Loha APMC,8.0,15.0,8.0,-46.7%,-
Lonand APMC,-,-,7.0,-,-
Lonar APMC,207.0,162.0,109.0,27.8%,89.9%
Majalgaon APMC,46.0,43.0,14.0,7.0%,228.6%
Malegaon APMC,360.0,320.0,33.0,12.5%,990.9%
Malkapur APMC,263.0,454.0,92.0,-42.1%,185.9%
Mangal Wedha APMC,3.0,4.0,13.0,-25.0%,-76.9%
Mangrulpeer APMC,12.0,52.0,19.0,-76.9%,-36.8%
Manmad APMC,124.0,129.0,14.0,-3.9%,785.7%
Manora APMC,-,3.0,3.0,-,-
Mantha APMC,34.0,65.0,10.0,-47.7%,240.0%
Manwat APMC,-,-,8.0,-,-
Mehekar APMC,103.0,142.0,91.0,-27.5%,13.2%
Morshi APMC,62.0,80.0,21.0,-22.5%,195.2%
Mumbai APMC,9640.0,8036.0,16504.0,20.0%,-41.6%
Murtizapur APMC,23.0,37.0,27.0,-37.8%,-14.8%
Murum APMC,2.0,-,-,-,-
Nagpur APMC,878.0,510.0,162.0,72.2%,442.0%
Nampur APMC,13.0,18.0,-,-27.8%,-
Nanded APMC,21.0,30.0,57.0,-30.0%,-63.2%
Nandgaon APMC,166.0,153.0,10.0,8.5%,1560.0%
Nandgaon Khandeshwar APMC,5.0,4.0,37.0,25.0%,-86.5%
Nandura APMC,35.0,53.0,2.0,-34.0%,1650.0%
Nandurbar APMC,245.0,290.0,58.0,-15.5%,322.4%
Navapur APMC,55.0,22.0,131.0,150.0%,-58.0%
Newasa APMC,11.0,26.0,24.0,-57.7%,-54.2%
Nilanga APMC,-,-,1.0,-,-
Pachora APMC,124.0,-,56.0,-,121.4%
Paithan APMC,28.0,74.0,96.0,-62.2%,-70.8%
Palghar APMC,111.0,197.0,119.0,-43.6%,-6.7%
Palus APMC,-,3.0,-,-,-
Pandharpur APMC,2.0,-,1.0,-,100.0%
Parali Vaijyanath APMC,4.0,-,1.0,-,300.0%
Paranda APMC,-,-,1.0,-,-
Parbhani APMC,185.0,189.0,-,-2.1%,-
Partur APMC,16.0,21.0,14.0,-23.8%,14.3%
Pathardi APMC,30.0,10.0,24.0,200.0%,25.0%
Pathari APMC,4.0,4.0,11.0,-,-63.6%
Patur APMC,42.0,59.0,5.0,-28.8%,740.0%
Phaltan APMC,121.0,-,21.0,-,476.2%
Pune APMC,115.0,107.0,26.0,7.5%,342.3%
Purna APMC,-,-,1.0,-,-
Rahata APMC,36.0,98.0,23.0,-63.3%,56.5%
Rahuri APMC,30.0,96.0,37.0,-68.8%,-18.9%
Rahuri(Vambori) APMC,56.0,80.0,61.0,-30.0%,-8.2%
Ramtek APMC,52.0,22.0,-,136.4%,-
Raver APMC,71.0,92.0,68.0,-22.8%,4.4%
Sakri APMC,35.0,5.0,38.0,600.0%,-7.9%
Sangamner APMC,121.0,117.0,44.0,3.4%,175.0%
Sangli APMC,285.0,356.0,223.0,-19.9%,27.8%
Sangrampur(Varvatbakal) APMC,14.0,16.0,13.0,-12.5%,7.7%
Satana APMC,77.0,90.0,46.0,-14.4%,67.4%
Savner APMC,-,3.0,5.0,-,-
Selu APMC,3.0,1.0,-,200.0%,-
Sengoan APMC,2.0,6.0,-,-66.7%,-
Shahada APMC,90.0,67.0,22.0,34.3%,309.1%
Shegaon APMC,33.0,18.0,6.0,83.3%,450.0%
Shevgaon APMC,52.0,110.0,117.0,-52.7%,-55.6%
Shevgaon(Bodhegaon) APMC,42.0,70.0,19.0,-40.0%,121.0%
Shirpur APMC,186.0,294.0,92.0,-36.7%,102.2%
Shirur APMC,16.0,15.0,9.0,6.7%,77.8%
Shrigonda APMC,59.0,117.0,20.0,-49.6%,195.0%
Shrigonda(Gogargaon) APMC,9.0,-,-,-,-
Shrirampur APMC,43.0,61.0,52.0,-29.5%,-17.3%
Shrirampur(Belapur) APMC,47.0,27.0,42.0,74.1%,11.9%
Sillod APMC,662.0,676.0,-,-2.1%,-
Sillod(Bharadi) APMC,38.0,22.0,14.0,72.7%,171.4%
Sindi(Selu) APMC,22.0,35.0,16.0,-37.1%,37.5%
Sinner APMC,184.0,203.0,41.0,-9.4%,348.8%
Solapur APMC,1324.0,1875.0,1649.0,-29.4%,-19.7%
Taloda APMC,1.0,3.0,4.0,-66.7%,-75.0%
Tasgaon APMC,23.0,43.0,35.0,-46.5%,-34.3%
Telhara APMC,63.0,73.0,45.0,-13.7%,40.0%
Tuljapur APMC,-,-,111.0,-,-
Tumsar APMC,55.0,81.0,28.0,-32.1%,96.4%
Ulhasnagar APMC,526.0,422.0,384.0,24.6%,37.0%
Umared APMC,127.0,173.0,106.0,-26.6%,19.8%
Umarked(Danki) APMC,12.0,-,-,-,-
Vaduj APMC,16.0,11.0,23.0,45.5%,-30.4%
Vadvani APMC,3.0,3.0,-,-,-
Vaijpur APMC,-,-,85.0,-,-
Varud(Rajura Bazar) APMC,1.0,-,-,-,-
Vasai APMC,-,-,440.0,-,-
Wardha APMC,-,19.0,6.0,-,-
Washim APMC,285.0,283.0,476.0,0.7%,-40.1%
Washim(Ansing) APMC,7.0,41.0,7.0,-82.9%,-
Yawal APMC,9.0,6.0,30.0,50.0%,-70.0%
Yeola APMC,117.0,109.0,7.0,7.3%,1571.4%
Yeotmal APMC,14.0,24.0,3.0,-41.7%,366.7%
Total,27215.0,28447.0,26728.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

