,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - April, 2023",,
Kaij APMC,47.0,45.0,48.0,4.4%,-2.1%
Kalamb (Dharashiv) APMC,139.0,125.0,108.0,11.2%,28.7%
Kalamb APMC,-,-,7.0,-,-
Kalmeshwar APMC,-,-,60.0,-,-
Kalvan APMC,14.0,7.0,7.0,100.0%,100.0%
Kannad APMC,338.0,68.0,105.0,397.1%,221.9%
Karanja APMC,5490.0,7580.0,4980.0,-27.6%,10.2%
Karjat(Raigad) APMC,229.0,236.0,183.0,-3.0%,25.1%
Karmala APMC,64.0,84.0,43.0,-23.8%,48.8%
Katol APMC,343.0,171.0,468.0,100.6%,-26.7%
Khamgaon APMC,1109.0,557.0,455.0,99.1%,143.7%
Kille Dharur APMC,36.0,62.0,34.0,-41.9%,5.9%
Kopargaon APMC,890.0,638.0,577.0,39.5%,54.2%
Kurdwadi APMC,2.0,1.0,-,100.0%,-
Kurdwadi(Modnimb) APMC,11.0,36.0,32.0,-69.4%,-65.6%
Lakhandur APMC,2.0,-,41.0,-,-95.1%
Lasalgaon APMC,1041.0,951.0,638.0,9.5%,63.2%
Lasalgaon(Niphad) APMC,730.0,371.0,290.0,96.8%,151.7%
Lasalgaon(Vinchur) APMC,712.0,363.0,-,96.1%,-
Lasur Station APMC,864.0,1074.0,1394.0,-19.6%,-38.0%
Latur(Murud) APMC,-,4.0,-,-,-
Loha APMC,20.0,62.0,19.0,-67.7%,5.3%
Lonar APMC,-,-,94.0,-,-
Majalgaon APMC,87.0,141.0,89.0,-38.3%,-2.2%
Malegaon APMC,663.0,1254.0,651.0,-47.1%,1.8%
Malkapur APMC,2094.0,1061.0,1551.0,97.4%,35.0%
Mandhal APMC,12.0,3.0,89.0,300.0%,-86.5%
Mangal Wedha APMC,33.0,48.0,44.0,-31.2%,-25.0%
Mangrulpeer APMC,299.0,705.0,162.0,-57.6%,84.6%
Manmad APMC,41.0,67.0,75.0,-38.8%,-45.3%
Manora APMC,84.0,106.0,191.0,-20.8%,-56.0%
Mantha APMC,-,42.0,33.0,-,-
Manwat APMC,67.0,103.0,40.0,-35.0%,67.5%
Mauda APMC,41.0,8.0,52.0,412.5%,-21.1%
Mehekar APMC,183.0,117.0,251.0,56.4%,-27.1%
Mohol APMC,2.0,4.0,1.0,-50.0%,100.0%
Morshi APMC,347.0,174.0,475.0,99.4%,-26.9%
Mudkhed APMC,-,6.0,-,-,-
Mumbai APMC,20926.0,21125.0,18624.0,-0.9%,12.4%
Murtizapur APMC,915.0,580.0,1053.0,57.8%,-13.1%
Murum APMC,24.0,36.0,8.0,-33.3%,200.0%
Nagpur APMC,3166.0,2105.0,5443.0,50.4%,-41.8%
Nampur APMC,-,1.0,-,-,-
Nanded APMC,138.0,122.0,42.0,13.1%,228.6%
Nandgaon APMC,152.0,214.0,128.0,-29.0%,18.8%
Nandgaon Khandeshwar APMC,-,10.0,-,-,-
Nandura APMC,289.0,129.0,71.0,124.0%,307.0%
Nandurbar APMC,2308.0,3016.0,2173.0,-23.5%,6.2%
Navapur APMC,29.0,96.0,161.0,-69.8%,-82.0%
Newasa APMC,38.0,26.0,11.0,46.1%,245.4%
Nira(Saswad) APMC,9.0,36.0,33.0,-75.0%,-72.7%
Pachora APMC,134.0,324.0,-,-58.6%,-
Paithan APMC,486.0,357.0,241.0,36.1%,101.7%
Palghar APMC,102.0,114.0,90.0,-10.5%,13.3%
Parali Vaijyanath APMC,2.0,2.0,-,-,-
Paranda APMC,6.0,8.0,13.0,-25.0%,-53.9%
Parbhani APMC,108.0,38.0,230.0,184.2%,-53.0%
Parola APMC,296.0,501.0,-,-40.9%,-
Partur APMC,37.0,58.0,44.0,-36.2%,-15.9%
Pathardi APMC,15.0,18.0,19.0,-16.7%,-21.1%
Pathari APMC,55.0,131.0,33.0,-58.0%,66.7%
Patur APMC,115.0,64.0,97.0,79.7%,18.6%
Phaltan APMC,110.0,204.0,16.0,-46.1%,587.5%
Pulgaon APMC,37.0,688.0,350.0,-94.6%,-89.4%
Pune APMC,1432.0,1185.0,1243.0,20.8%,15.2%
Purna APMC,-,1.0,2.0,-,-
Pusad APMC,-,143.0,-,-,-
Rahata APMC,249.0,139.0,146.0,79.1%,70.5%
Rahuri APMC,578.0,234.0,23.0,147.0%,2413.0%
Rahuri(Vambori) APMC,110.0,133.0,49.0,-17.3%,124.5%
Ramtek APMC,620.0,3007.0,924.0,-79.4%,-32.9%
Raver APMC,167.0,58.0,94.0,187.9%,77.7%
Sakri APMC,59.0,212.0,-,-72.2%,-
Sangamner APMC,7.0,6.0,12.0,16.7%,-41.7%
Sangli APMC,492.0,994.0,706.0,-50.5%,-30.3%
Satana APMC,188.0,236.0,132.0,-20.3%,42.4%
Savner APMC,254.0,198.0,262.0,28.3%,-3.0%
Selu APMC,5.0,699.0,8.0,-99.3%,-37.5%
Shahada APMC,902.0,1043.0,1388.0,-13.5%,-35.0%
Shegaon APMC,60.0,10.0,49.0,500.0%,22.4%
Shevgaon APMC,256.0,259.0,94.0,-1.2%,172.3%
Shevgaon(Bodhegaon) APMC,32.0,34.0,31.0,-5.9%,3.2%
Shirpur APMC,1334.0,2454.0,964.0,-45.6%,38.4%
Shirur APMC,5.0,33.0,10.0,-84.8%,-50.0%
Shrigonda APMC,171.0,251.0,62.0,-31.9%,175.8%
Shrigonda(Gogargaon) APMC,18.0,10.0,13.0,80.0%,38.5%
Shrirampur APMC,120.0,97.0,42.0,23.7%,185.7%
Shrirampur(Belapur) APMC,170.0,177.0,10.0,-4.0%,1600.0%
Sillod APMC,329.0,473.0,790.0,-30.4%,-58.4%
Sillod(Bharadi) APMC,8.0,46.0,66.0,-82.6%,-87.9%
Sindi APMC,-,11.0,50.0,-,-
Sindi(Selu) APMC,300.0,497.0,913.0,-39.6%,-67.1%
Sinner APMC,29.0,78.0,9.0,-62.8%,222.2%
Solapur APMC,4263.0,4789.0,3476.0,-11.0%,22.6%
Sonpeth APMC,19.0,8.0,2.0,137.5%,850.0%
Tadkalas APMC,-,-,17.0,-,-
Taloda APMC,135.0,303.0,603.0,-55.5%,-77.6%
Tasgaon APMC,21.0,24.0,41.0,-12.5%,-48.8%
Telhara APMC,-,90.0,-,-,-
Tuljapur APMC,78.0,109.0,12.0,-28.4%,550.0%
Tumsar APMC,400.0,239.0,1027.0,67.4%,-61.0%
Ulhasnagar APMC,1253.0,1595.0,548.0,-21.4%,128.7%
Umared APMC,966.0,520.0,26.0,85.8%,3615.4%
Umarga APMC,6.0,4.0,3.0,50.0%,100.0%
Umari APMC,-,2.0,-,-,-
Umarked(Danki) APMC,33.0,41.0,36.0,-19.5%,-8.3%
Umarkhed APMC,-,-,12.0,-,-
Vaduj APMC,25.0,20.0,25.0,25.0%,-
Vadvani APMC,-,-,1.0,-,-
Vaijpur APMC,11.0,-,78.0,-,-85.9%
Varud(Rajura Bazar) APMC,-,-,3.0,-,-
Vasai APMC,373.0,348.0,399.0,7.2%,-6.5%
Vitthal Krushi Utpanna Bazar  APMC,138.16,-,-,-,-
Wardha APMC,404.0,726.0,1087.0,-44.4%,-62.8%
Washim APMC,900.0,3045.0,1656.0,-70.4%,-45.6%
Washim(Ansing) APMC,203.0,121.0,178.0,67.8%,14.0%
Yawal APMC,17.0,133.0,1244.0,-87.2%,-98.6%
Yeola APMC,97.0,109.0,83.0,-11.0%,16.9%
Yeotmal APMC,278.0,301.0,547.0,-7.6%,-49.2%
Total,83063.16,98903.0,81690.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

