,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - October, 2022",,
Lasalgaon APMC,94.0,85.0,260.0,10.6%,-63.9%
Lasalgaon(Niphad) APMC,42.0,25.0,130.0,68.0%,-67.7%
Lasalgaon(Vinchur) APMC,15.0,18.0,127.0,-16.7%,-88.2%
Lasur Station APMC,395.0,222.0,1096.0,77.9%,-64.0%
Latur APMC,-,337.0,2710.0,-,-
Latur(Murud) APMC,-,-,55.0,-,-
Loha APMC,7.0,12.0,9.0,-41.7%,-22.2%
Lonar APMC,64.0,210.0,353.0,-69.5%,-81.9%
Majalgaon APMC,8.0,7.0,133.0,14.3%,-94.0%
Malegaon APMC,67.0,50.0,274.0,34.0%,-75.5%
Malegaon(Vashim) APMC,-,1.0,-,-,-
Malkapur APMC,281.0,279.0,444.0,0.7%,-36.7%
Mangal Wedha APMC,-,3.0,28.0,-,-
Mangrulpeer APMC,15.0,41.0,89.0,-63.4%,-83.2%
Manmad APMC,17.0,7.0,83.0,142.9%,-79.5%
Manora APMC,4.0,13.0,1.0,-69.2%,300.0%
Mantha APMC,13.0,12.0,54.0,8.3%,-75.9%
Manwat APMC,1.0,4.0,14.0,-75.0%,-92.9%
Mehekar APMC,31.0,16.0,118.0,93.8%,-73.7%
Morshi APMC,96.0,44.0,156.0,118.2%,-38.5%
Mumbai APMC,14956.0,8840.0,13187.0,69.2%,13.4%
Murtizapur APMC,35.0,58.0,95.0,-39.7%,-63.2%
Murum APMC,2.0,1.0,-,100.0%,-
Nagpur APMC,630.0,618.0,1483.0,1.9%,-57.5%
Nampur APMC,-,-,15.0,-,-
Nanded APMC,12.0,4.0,30.0,200.0%,-60.0%
Nandgaon APMC,31.0,27.0,102.0,14.8%,-69.6%
Nandgaon Khandeshwar APMC,5.0,9.0,-,-44.4%,-
Nandura APMC,44.0,39.0,9.0,12.8%,388.9%
Nandurbar APMC,62.0,57.0,171.0,8.8%,-63.7%
Newasa APMC,-,-,8.0,-,-
Nilanga APMC,-,-,1.0,-,-
Nira(Saswad) APMC,3.0,9.0,-,-66.7%,-
Pachora APMC,-,-,161.0,-,-
Paithan APMC,60.0,37.0,206.0,62.2%,-70.9%
Palam APMC,-,-,2.0,-,-
Palghar APMC,56.0,64.0,89.0,-12.5%,-37.1%
Pandharpur APMC,3.0,2.0,4.0,50.0%,-25.0%
Paranda APMC,-,-,6.0,-,-
Parbhani APMC,166.0,94.0,85.0,76.6%,95.3%
Parola APMC,2.0,14.0,-,-85.7%,-
Partur APMC,19.0,14.0,93.0,35.7%,-79.6%
Pathardi APMC,14.0,7.0,25.0,100.0%,-44.0%
Pathari APMC,3.0,2.0,23.0,50.0%,-87.0%
Patur APMC,21.0,33.0,37.0,-36.4%,-43.2%
Phaltan APMC,-,13.0,266.0,-,-
Pune APMC,1180.0,664.0,398.0,77.7%,196.5%
Purna APMC,-,1.0,-,-,-
Rahata APMC,12.0,10.0,46.0,20.0%,-73.9%
Rahuri APMC,4.0,12.0,15.0,-66.7%,-73.3%
Rahuri(Vambori) APMC,18.0,7.0,30.0,157.1%,-40.0%
Ramtek APMC,89.0,61.0,93.0,45.9%,-4.3%
Raver APMC,28.0,28.0,77.0,-,-63.6%
Sakri APMC,-,4.0,-,-,-
Sangamner APMC,3.0,11.0,27.0,-72.7%,-88.9%
Sangli APMC,95.0,641.0,151.0,-85.2%,-37.1%
Sangrampur(Varvatbakal) APMC,1.0,2.0,-,-50.0%,-
Satana APMC,15.0,10.0,125.0,50.0%,-88.0%
Savner APMC,33.0,10.0,70.0,230.0%,-52.9%
Selu APMC,-,1.0,11.0,-,-
Shahada APMC,29.0,26.0,76.0,11.5%,-61.8%
Shegaon APMC,10.0,23.0,48.0,-56.5%,-79.2%
Shevgaon APMC,34.0,51.0,165.0,-33.3%,-79.4%
Shevgaon(Bodhegaon) APMC,8.0,11.0,35.0,-27.3%,-77.1%
Shirpur APMC,54.0,63.0,112.0,-14.3%,-51.8%
Shirur APMC,1.0,6.0,53.0,-83.3%,-98.1%
Shrigonda APMC,14.0,6.0,46.0,133.3%,-69.6%
Shrigonda(Gogargaon) APMC,16.0,-,54.0,-,-70.4%
Shrirampur APMC,14.0,8.0,56.0,75.0%,-75.0%
Shrirampur(Belapur) APMC,21.0,6.0,11.0,250.0%,90.9%
Sillod APMC,540.0,362.0,672.0,49.2%,-19.6%
Sillod(Bharadi) APMC,22.0,13.0,35.0,69.2%,-37.1%
Sindi(Selu) APMC,39.0,31.0,118.0,25.8%,-67.0%
Sinner APMC,-,-,109.0,-,-
Solapur APMC,2616.0,1905.0,2029.0,37.3%,28.9%
Sonpeth APMC,1.0,-,3.0,-,-66.7%
Tadkalas APMC,3.0,3.0,6.0,-,-50.0%
Tasgaon APMC,33.0,34.0,29.0,-2.9%,13.8%
Telhara APMC,20.0,33.0,51.0,-39.4%,-60.8%
Tuljapur APMC,2.0,10.0,3.0,-80.0%,-33.3%
Tumsar APMC,18.0,18.0,257.0,-,-93.0%
Ulhasnagar APMC,829.0,462.0,675.0,79.4%,22.8%
Umared APMC,111.0,32.0,145.0,246.9%,-23.4%
Umarga APMC,-,-,6.0,-,-
Umari APMC,-,-,32.0,-,-
Umarked(Danki) APMC,26.0,19.0,54.0,36.8%,-51.9%
Umarkhed APMC,-,-,24.0,-,-
Vaduj APMC,20.0,20.0,23.0,-,-13.0%
Vadvani APMC,-,-,4.0,-,-
Vaijpur APMC,-,-,545.0,-,-
Vani APMC,1.0,2.0,1.0,-50.0%,-
Varora APMC,1.0,4.0,-,-75.0%,-
Varud(Rajura Bazar) APMC,-,2.0,2.0,-,-
Vasai APMC,446.0,89.0,362.0,401.1%,23.2%
Wardha APMC,24.0,12.0,109.0,100.0%,-78.0%
Washim APMC,302.0,425.0,670.0,-28.9%,-54.9%
Washim(Ansing) APMC,4.0,15.0,28.0,-73.3%,-85.7%
Yawal APMC,23.0,-,50.0,-,-54.0%
Yeola APMC,15.0,6.0,70.0,150.0%,-78.6%
Yeotmal APMC,62.0,50.0,67.0,24.0%,-7.5%
Total,28163.0,20573.0,42440.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

