,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - April, 2021",,
Dhamngaon-Railway APMC,950.0,2110.0,-,-55.0%,-
Dharangaon APMC,38.0,783.0,753.0,-95.2%,-95.0%
Dharmabad APMC,3.0,-,-,-,-
Dharni APMC,-,-,169.0,-,-
Dhule APMC,917.0,3418.0,138.0,-73.2%,564.5%
Digras APMC,-,8.0,-,-,-
Dondaicha APMC,4730.0,6789.0,1923.0,-30.3%,146.0%
Dondaicha(Sindhkheda) APMC,97.0,-,-,-,-
Dound APMC,225.0,167.0,167.0,34.7%,34.7%
Dudhani APMC,6.0,4.0,-,50.0%,-
Gangakhed APMC,27.0,40.0,2.0,-32.5%,1250.0%
Gangapur APMC,139.0,313.0,-,-55.6%,-
Gevrai APMC,462.0,264.0,17.0,75.0%,2617.7%
Ghansawangi APMC,-,-,2.0,-,-
Himalyatnagar APMC,-,-,6.0,-,-
Hinganghat APMC,1360.0,796.0,15.0,70.8%,8966.7%
Hingoli APMC,56.0,104.0,-,-46.1%,-
Hingoli(Kanegoan Naka) APMC,45.0,141.0,33.0,-68.1%,36.4%
Indapur(Bhigwan) APMC,-,-,2.0,-,-
Jafrabad APMC,68.0,80.0,-,-15.0%,-
Jalana APMC,2744.0,2462.0,66.0,11.4%,4057.6%
Jalgaon APMC,29.0,37.0,23.0,-21.6%,26.1%
Jalgaon Jamod(Aasalgaon) APMC,44.0,28.0,-,57.1%,-
Jalgaon(Masawat) APMC,16.0,106.0,45.0,-84.9%,-64.4%
Jamkhed APMC,42.0,36.0,-,16.7%,-
Jawala-Bajar APMC,-,21.0,-,-,-
Jintur APMC,8.0,4.0,-,100.0%,-
Kaij APMC,28.0,78.0,-,-64.1%,-
Kalamb (Dharashiv) APMC,99.0,127.0,-,-22.1%,-
Kalamnuri APMC,-,13.0,-,-,-
Kalmeshwar APMC,10.0,3.0,-,233.3%,-
Kalvan APMC,14.0,45.0,11.0,-68.9%,27.3%
Kannad APMC,112.0,164.0,-,-31.7%,-
Karanja APMC,5388.0,8720.0,388.0,-38.2%,1288.7%
Karjat(Raigad) APMC,117.0,104.0,-,12.5%,-
Karmala APMC,31.0,33.0,3.0,-6.1%,933.3%
Katol APMC,560.0,373.0,-,50.1%,-
Khamgaon APMC,1108.0,908.0,-,22.0%,-
Kille Dharur APMC,23.0,50.0,-,-54.0%,-
Kopargaon APMC,727.0,718.0,121.0,1.2%,500.8%
Kurdwadi APMC,2.0,2.0,-,-,-
Kurdwadi(Modnimb) APMC,12.0,20.0,-,-40.0%,-
Lakhandur APMC,6.0,2.0,-,200.0%,-
Lasalgaon APMC,463.0,1068.0,104.0,-56.6%,345.2%
Lasalgaon(Niphad) APMC,440.0,273.0,28.0,61.2%,1471.4%
Lasalgaon(Vinchur) APMC,750.0,1132.0,-,-33.8%,-
Lasur Station APMC,579.0,2418.0,7.0,-76.0%,8171.4%
Latur APMC,1820.0,1995.0,-,-8.8%,-
Latur(Murud) APMC,212.0,91.0,-,133.0%,-
Loha APMC,-,7.0,-,-,-
Lonar APMC,-,71.0,-,-,-
Majalgaon APMC,132.0,110.0,3.0,20.0%,4300.0%
Malegaon APMC,395.0,1034.0,-,-61.8%,-
Malegaon(Vashim) APMC,110.0,847.0,102.0,-87.0%,7.8%
Malkapur APMC,1601.0,1115.0,-,43.6%,-
Mandhal APMC,5.0,1.0,3.0,400.0%,66.7%
Mangal Wedha APMC,34.0,47.0,1.0,-27.7%,3300.0%
Mangrulpeer APMC,376.0,594.0,32.0,-36.7%,1075.0%
Manmad APMC,26.0,138.0,4.0,-81.2%,550.0%
Manora APMC,199.0,204.0,-,-2.5%,-
Mantha APMC,122.0,84.0,-,45.2%,-
Manwat APMC,51.0,40.0,-,27.5%,-
Mehekar APMC,181.0,297.0,-,-39.1%,-
Mohol APMC,1.0,-,-,-,-
Morshi APMC,351.0,149.0,42.0,135.6%,735.7%
Mumbai APMC,24777.0,19787.0,5154.0,25.2%,380.7%
Murtizapur APMC,764.0,724.0,400.0,5.5%,91.0%
Murum APMC,25.0,16.0,-,56.2%,-
Nagpur APMC,5005.0,2010.0,283.0,149.0%,1668.5%
Nampur APMC,2.0,8.0,-,-75.0%,-
Nanded APMC,37.0,52.0,-,-28.9%,-
Nandgaon APMC,110.0,202.0,-,-45.5%,-
Nandgaon Khandeshwar APMC,121.0,127.0,-,-4.7%,-
Nandura APMC,125.0,225.0,14.0,-44.4%,792.9%
Nandurbar APMC,428.0,1552.0,28.0,-72.4%,1428.6%
Navapur APMC,-,-,17.0,-,-
Newasa APMC,13.0,14.0,-,-7.1%,-
Nilanga APMC,-,4.0,-,-,-
Nira(Saswad) APMC,42.0,-,-,-,-
Pachora APMC,189.0,497.0,129.0,-62.0%,46.5%
Paithan APMC,261.0,294.0,144.0,-11.2%,81.2%
Palghar APMC,58.0,105.0,44.0,-44.8%,31.8%
Pandharpur APMC,3.0,2.0,-,50.0%,-
Paranda APMC,7.0,5.0,-,40.0%,-
Parbhani APMC,98.0,102.0,-,-3.9%,-
Parola APMC,-,450.0,-,-,-
Partur APMC,93.0,99.0,-,-6.1%,-
Pathardi APMC,17.0,18.0,-,-5.6%,-
Pathari APMC,39.0,47.0,-,-17.0%,-
Patur APMC,42.0,42.0,-,-,-
Pulgaon APMC,13.0,42.0,-,-69.0%,-
Pune APMC,192.0,150.0,3.0,28.0%,6300.0%
Purna APMC,8.0,7.0,5.0,14.3%,60.0%
Rahata APMC,79.0,99.0,31.0,-20.2%,154.8%
Rahuri APMC,152.0,312.0,65.0,-51.3%,133.8%
Rahuri(Vambori) APMC,48.0,90.0,-,-46.7%,-
Ramtek APMC,441.0,708.0,1507.0,-37.7%,-70.7%
Raver APMC,158.0,343.0,-,-53.9%,-
Sakri APMC,-,-,39.0,-,-
Sangamner APMC,22.0,67.0,-,-67.2%,-
Sangli APMC,308.0,591.0,-,-47.9%,-
Sangrampur APMC,-,-,1.0,-,-
Sangrampur(Varvatbakal) APMC,22.0,11.0,3.0,100.0%,633.3%
Satana APMC,250.0,77.0,-,224.7%,-
Savner APMC,79.0,-,1.0,-,7800.0%
Selu APMC,24.0,4.0,18.0,500.0%,33.3%
Sengoan APMC,-,1.0,-,-,-
Shahada APMC,607.0,1276.0,-,-52.4%,-
Shegaon APMC,154.0,111.0,3.0,38.7%,5033.3%
Shevgaon APMC,100.0,155.0,31.0,-35.5%,222.6%
Shevgaon(Bodhegaon) APMC,67.0,73.0,2.0,-8.2%,3250.0%
Shirpur APMC,468.0,2438.0,-,-80.8%,-
Shirur APMC,13.0,28.0,-,-53.6%,-
Shrigonda APMC,95.0,344.0,-,-72.4%,-
Shrigonda(Gogargaon) APMC,19.0,34.0,-,-44.1%,-
Shrirampur APMC,137.0,151.0,67.0,-9.3%,104.5%
Shrirampur(Belapur) APMC,34.0,44.0,-,-22.7%,-
Sillod APMC,860.0,1623.0,133.0,-47.0%,546.6%
Sillod(Bharadi) APMC,49.0,24.0,9.0,104.2%,444.4%
Sindi APMC,30.0,7.0,-,328.6%,-
Sindi(Selu) APMC,781.0,470.0,-,66.2%,-
Sinner APMC,-,422.0,41.0,-,-
Solapur APMC,2076.0,1827.0,506.0,13.6%,310.3%
Sonpeth APMC,1.0,-,-,-,-
Tadkalas APMC,-,3.0,-,-,-
Taloda APMC,392.0,255.0,380.0,53.7%,3.2%
Tasgaon APMC,48.0,41.0,9.0,17.1%,433.3%
Telhara APMC,-,69.0,-,-,-
Tuljapur APMC,42.0,2.0,-,2000.0%,-
Tumsar APMC,330.0,221.0,10.0,49.3%,3200.0%
Ulhasnagar APMC,741.0,254.0,-,191.7%,-
Umared APMC,101.0,67.0,71.0,50.8%,42.2%
Umarked(Danki) APMC,48.0,12.0,-,300.0%,-
Umarkhed APMC,-,12.0,-,-,-
Vaduj APMC,9.0,13.0,3.0,-30.8%,200.0%
Vadvani APMC,-,-,1.0,-,-
Vaijpur APMC,178.0,-,-,-,-
Varora APMC,-,-,1.0,-,-
Varud(Rajura Bazar) APMC,-,1.0,-,-,-
Vasai APMC,553.0,-,248.0,-,123.0%
Wardha APMC,1010.0,1148.0,-,-12.0%,-
Washim APMC,635.0,1782.0,288.0,-64.4%,120.5%
Washim(Ansing) APMC,19.0,132.0,11.0,-85.6%,72.7%
Yawal APMC,-,315.0,137.0,-,-
Yeola APMC,212.0,396.0,-,-46.5%,-
Yeotmal APMC,545.0,290.0,-,87.9%,-
Total,83378.0,96638.0,15634.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

