Market,"Arrivals September, 2023 (Metric Tonnes)","Arrivals August, 2023 (Metric Tonnes)","Arrivals September, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Sillod APMC,240.0,258.0,362.0,-7.0%,-33.7%
Sillod(Bharadi) APMC,6.0,4.0,13.0,50.0%,-53.9%
Sindi(Selu) APMC,19.0,39.0,31.0,-51.3%,-38.7%
Sinner APMC,3.0,17.0,11.884001960468996,-82.3%,-
Solapur APMC,4032.0,4670.0,1905.0,-13.7%,111.7%
Tadkalas APMC,1.0,5.0,3.0,-80.0%,-66.7%
Tasgaon APMC,20.0,33.0,34.0,-39.4%,-41.2%
Telhara APMC,40.0,39.0,33.0,2.6%,21.2%
Tuljapur APMC,9.255612357226573,17.0,10.0,-,-
Tumsar APMC,11.0,17.0,18.0,-35.3%,-38.9%
Ulhasnagar APMC,1160.0,1671.0,462.0,-30.6%,151.1%
Umared APMC,17.0,62.0,32.0,-72.6%,-46.9%
Umarga APMC,1.0,1.0,3.2535409940296924,-,-
Umari APMC,-3.014378487074426,1.0,3.1980422789537664,-,-
Umarked(Danki) APMC,15.0,28.0,19.0,-46.4%,-21.1%
Vaduj APMC,16.0,10.0,20.0,60.0%,-20.0%
Vaijpur APMC,16.0,115.0,64.75594411729733,-86.1%,-
Vani APMC,15.780940340973448,25.610645300160392,2.0,-,-
Varora APMC,18.37825490637003,28.99381024804535,4.0,-,-
Varud(Rajura Bazar) APMC,-2.254501729832167,2.0,2.0,-,-
Vasai APMC,186.0,329.0,89.0,-43.5%,109.0%
Wardha APMC,39.0,88.0,12.0,-55.7%,225.0%
Washim APMC,395.0,330.0,425.0,19.7%,-7.1%
Washim(Ansing) APMC,11.0,21.0,15.0,-47.6%,-26.7%
Yawal APMC,24.0,26.0,17.01340779486276,-7.7%,-
Yeola APMC,1.0,19.0,6.0,-94.7%,-83.3%
Yeotmal APMC,64.0,68.0,50.0,-5.9%,28.0%
Total,28380.99,37488.5,20573.0,-,-
Note:,314.68718139939597,414.97275961559853,230.17334913621045,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,314.68718139939597,414.97275961559853,230.17334913621045,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,314.68718139939597,414.97275961559853,230.17334913621045,,
