,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - September, 2023",,
Dhamngaon-Railway APMC,39.0,38.0,-,2.6%,-
Dharangaon APMC,8.0,5.0,7.0,60.0%,14.3%
Dharni APMC,100.0,30.0,-,233.3%,-
Dhule APMC,191.0,358.0,154.0,-46.6%,24.0%
Digras APMC,46.0,3.0,4.0,1433.3%,1050.0%
Dondaicha APMC,274.0,433.0,296.0,-36.7%,-7.4%
Dondaicha(Sindhkheda) APMC,5.0,5.0,1.0,-,400.0%
Dound APMC,45.0,62.0,14.0,-27.4%,221.4%
Dudhani APMC,-,1.0,-,-,-
Fulmbri APMC,30.0,83.0,-,-63.9%,-
Gangakhed APMC,7.0,9.0,30.0,-22.2%,-76.7%
Gangapur APMC,19.0,36.0,25.0,-47.2%,-24.0%
Gevrai APMC,144.0,198.0,48.0,-27.3%,200.0%
Ghansawangi APMC,5.0,18.0,13.0,-72.2%,-61.5%
Hinganghat APMC,110.0,161.0,162.0,-31.7%,-32.1%
Hingoli APMC,40.0,93.0,43.0,-57.0%,-7.0%
Hingoli(Kanegoan Naka) APMC,-,12.0,70.0,-,-
Indapur APMC,-,-,8.0,-,-
Indapur(Bhigwan) APMC,-,-,19.0,-,-
Indapur(Nimgaon Ketki) APMC,-,-,2.0,-,-
Jafrabad APMC,-,-,44.0,-,-
Jai Gajanan Krishi Bazar APMC,-,9.4,-,-,-
Jalana APMC,669.0,983.0,517.0,-31.9%,29.4%
Jalgaon APMC,30.0,5.0,3.0,500.0%,900.0%
Jalgaon Jamod(Aasalgaon) APMC,36.0,-,-,-,-
Jalgaon(Masawat) APMC,-,-,1.0,-,-
Jamkhed APMC,35.0,29.0,54.0,20.7%,-35.2%
Jintur APMC,-,1.0,-,-,-
Kada APMC,12.0,17.0,-,-29.4%,-
Kaij APMC,19.0,28.0,25.0,-32.1%,-24.0%
Kalamb (Dharashiv) APMC,44.0,76.0,17.0,-42.1%,158.8%
Kalvan APMC,2.0,6.0,-,-66.7%,-
Kalyan APMC,-,11.0,-,-,-
Kannad APMC,16.0,61.0,37.0,-73.8%,-56.8%
Karanja APMC,711.0,894.0,313.0,-20.5%,127.2%
Karjat(Raigad) APMC,47.0,89.0,17.0,-47.2%,176.5%
Karmala APMC,9.0,19.0,8.0,-52.6%,12.5%
Katol APMC,52.0,45.0,41.0,15.6%,26.8%
Khamgaon APMC,492.0,686.0,346.0,-28.3%,42.2%
Kille Dharur APMC,7.0,6.0,5.0,16.7%,40.0%
Kisan Market Yard APMC,1.77,10.66,-,-83.4%,-
Kopargaon APMC,107.0,98.0,60.0,9.2%,78.3%
Kurdwadi APMC,2.0,3.0,-,-33.3%,-
Kurdwadi(Modnimb) APMC,3.0,5.0,2.0,-40.0%,50.0%
Lasalgaon APMC,49.0,157.0,85.0,-68.8%,-42.4%
Lasalgaon(Niphad) APMC,36.0,101.0,25.0,-64.4%,44.0%
Lasalgaon(Vinchur) APMC,30.0,12.0,18.0,150.0%,66.7%
Lasur Station APMC,176.0,264.0,222.0,-33.3%,-20.7%
Latur APMC,-,262.0,337.0,-,-
Loha APMC,10.0,13.0,12.0,-23.1%,-16.7%
Lonar APMC,73.0,161.0,210.0,-54.7%,-65.2%
"Mahesh Krushi Utpanna Bazar, Digras APMC",5.66,-,-,-,-
Majalgaon APMC,47.0,69.0,7.0,-31.9%,571.4%
Malegaon APMC,38.0,105.0,50.0,-63.8%,-24.0%
Malegaon(Vashim) APMC,5.0,3.0,1.0,66.7%,400.0%
Malkapur APMC,337.0,363.0,279.0,-7.2%,20.8%
Mangal Wedha APMC,5.0,17.0,3.0,-70.6%,66.7%
Mangrulpeer APMC,106.0,155.0,41.0,-31.6%,158.5%
Manmad APMC,2.0,6.0,7.0,-66.7%,-71.4%
Manora APMC,27.0,69.0,13.0,-60.9%,107.7%
Mantha APMC,14.0,8.0,12.0,75.0%,16.7%
Manwat APMC,1.0,15.0,4.0,-93.3%,-75.0%
Mehekar APMC,51.0,77.0,16.0,-33.8%,218.8%
Morshi APMC,50.0,103.0,44.0,-51.5%,13.6%
Mumbai APMC,12920.0,15772.0,8840.0,-18.1%,46.1%
Murtizapur APMC,63.0,95.0,58.0,-33.7%,8.6%
Murum APMC,6.0,2.0,1.0,200.0%,500.0%
Nagpur APMC,660.0,932.0,618.0,-29.2%,6.8%
Nanded APMC,6.0,22.0,4.0,-72.7%,50.0%
Nandgaon APMC,7.0,32.0,27.0,-78.1%,-74.1%
Nandgaon Khandeshwar APMC,3.0,-,9.0,-,-66.7%
Nandura APMC,40.0,45.0,39.0,-11.1%,2.6%
Nandurbar APMC,19.0,81.0,57.0,-76.5%,-66.7%
Navapur APMC,-,5.0,-,-,-
Newasa APMC,7.0,8.0,-,-12.5%,-
Nilanga APMC,-,1.0,-,-,-
Nira(Saswad) APMC,-,6.0,9.0,-,-
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,6.98,9.64,-,-27.6%,-
Pachora APMC,67.0,59.0,-,13.6%,-
Paithan APMC,78.0,157.0,37.0,-50.3%,110.8%
Palghar APMC,152.0,50.0,64.0,204.0%,137.5%
Pandharpur APMC,-,-,2.0,-,-
Parali Vaijyanath APMC,3.0,3.0,-,-,-
Paranda APMC,1.0,-,-,-,-
Parbhani APMC,59.0,31.0,94.0,90.3%,-37.2%
Parola APMC,19.0,32.0,14.0,-40.6%,35.7%
Partur APMC,2.0,17.0,14.0,-88.2%,-85.7%
Pathardi APMC,11.0,12.0,7.0,-8.3%,57.1%
Pathari APMC,4.0,23.0,2.0,-82.6%,100.0%
Patur APMC,28.0,34.0,33.0,-17.6%,-15.2%
Phaltan APMC,-,72.0,13.0,-,-
Pune APMC,1065.0,1064.0,664.0,0.1%,60.4%
Purna APMC,-,1.0,1.0,-,-
Pusad APMC,302.0,489.0,-,-38.2%,-
Rahata APMC,55.0,69.0,10.0,-20.3%,450.0%
Rahuri APMC,-,35.0,12.0,-,-
Rahuri(Vambori) APMC,21.0,48.0,7.0,-56.2%,200.0%
Ramtek APMC,11.0,11.0,61.0,-,-82.0%
Raver APMC,61.0,46.0,28.0,32.6%,117.9%
Raver(Sauda) APMC,-,2.0,-,-,-
Sakri APMC,4.0,8.0,4.0,-50.0%,-
Sangamner APMC,-,2.0,11.0,-,-
Sangli APMC,224.0,739.0,641.0,-69.7%,-65.0%
Sangrampur(Varvatbakal) APMC,22.0,-,2.0,-,1000.0%
Satana APMC,13.0,38.0,10.0,-65.8%,30.0%
Savner APMC,41.0,59.0,10.0,-30.5%,310.0%
Selu APMC,3.0,-,1.0,-,200.0%
Shahada APMC,52.0,57.0,26.0,-8.8%,100.0%
Shegaon APMC,3.0,7.0,23.0,-57.1%,-87.0%
Shekari Krushi Khajgi Bazar APMC,0.68,-,-,-,-
Shevgaon APMC,128.0,147.0,51.0,-12.9%,151.0%
Shevgaon(Bodhegaon) APMC,28.0,41.0,11.0,-31.7%,154.6%
Shirpur APMC,47.0,108.0,63.0,-56.5%,-25.4%
Shirur APMC,-,1.0,6.0,-,-
Shree Salasar Krushi Bazar  APMC,-,0.2,-,-,-
Shrigonda APMC,6.0,10.0,6.0,-40.0%,-
Shrirampur APMC,11.0,25.0,8.0,-56.0%,37.5%
Shrirampur(Belapur) APMC,1.0,12.0,6.0,-91.7%,-83.3%
Sillod APMC,240.0,258.0,362.0,-7.0%,-33.7%
Sillod(Bharadi) APMC,6.0,4.0,13.0,50.0%,-53.9%
Sindi(Selu) APMC,19.0,39.0,31.0,-51.3%,-38.7%
Sinner APMC,3.0,17.0,-,-82.3%,-
Solapur APMC,4032.0,4670.0,1905.0,-13.7%,111.7%
Tadkalas APMC,1.0,5.0,3.0,-80.0%,-66.7%
Tasgaon APMC,20.0,33.0,34.0,-39.4%,-41.2%
Telhara APMC,40.0,39.0,33.0,2.6%,21.2%
Tuljapur APMC,-,17.0,10.0,-,-
Tumsar APMC,11.0,17.0,18.0,-35.3%,-38.9%
Ulhasnagar APMC,1160.0,1671.0,462.0,-30.6%,151.1%
Umared APMC,17.0,62.0,32.0,-72.6%,-46.9%
Umarga APMC,1.0,1.0,-,-,-
Umari APMC,-,1.0,-,-,-
Umarked(Danki) APMC,15.0,28.0,19.0,-46.4%,-21.1%
Vaduj APMC,16.0,10.0,20.0,60.0%,-20.0%
Vaijpur APMC,16.0,115.0,-,-86.1%,-
Vani APMC,-,-,2.0,-,-
Varora APMC,-,-,4.0,-,-
Varud(Rajura Bazar) APMC,-,2.0,2.0,-,-
Vasai APMC,186.0,329.0,89.0,-43.5%,109.0%
Wardha APMC,39.0,88.0,12.0,-55.7%,225.0%
Washim APMC,395.0,330.0,425.0,19.7%,-7.1%
Washim(Ansing) APMC,11.0,21.0,15.0,-47.6%,-26.7%
Yawal APMC,24.0,26.0,-,-7.7%,-
Yeola APMC,1.0,19.0,6.0,-94.7%,-83.3%
Yeotmal APMC,64.0,68.0,50.0,-5.9%,28.0%
Total,28380.99,37488.5,20573.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

