,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - September, 2021",,
Jafrabad APMC,-,-,26.0,-,-
Jalana APMC,2884.0,1715.0,893.0,68.2%,223.0%
Jalgaon APMC,12.0,27.0,9.0,-55.6%,33.3%
Jalgaon Jamod(Aasalgaon) APMC,27.0,28.0,68.0,-3.6%,-60.3%
Jamkhed APMC,94.0,89.0,9.0,5.6%,944.4%
Jawala-Bajar APMC,-,-,25.0,-,-
Jintur APMC,-,4.0,5.0,-,-
Kada APMC,38.0,18.0,-,111.1%,-
Kaij APMC,148.0,-,36.0,-,311.1%
Kalamb (Dharashiv) APMC,105.0,77.0,46.0,36.4%,128.3%
Kalamnuri APMC,11.0,11.0,12.0,-,-8.3%
Kalvan APMC,-,-,6.0,-,-
Kannad APMC,64.0,233.0,49.0,-72.5%,30.6%
Karanja APMC,1413.0,1301.0,1955.0,8.6%,-27.7%
Karjat(Raigad) APMC,103.0,78.0,10.0,32.0%,930.0%
Karmala APMC,13.0,14.0,1.0,-7.1%,1200.0%
Katol APMC,61.0,127.0,55.0,-52.0%,10.9%
Khamgaon APMC,787.0,413.0,683.0,90.6%,15.2%
Kille Dharur APMC,17.0,27.0,14.0,-37.0%,21.4%
Kopargaon APMC,186.0,152.0,315.0,22.4%,-41.0%
Kurdwadi(Modnimb) APMC,11.0,2.0,2.0,450.0%,450.0%
Lasalgaon APMC,212.0,157.0,376.0,35.0%,-43.6%
Lasalgaon(Niphad) APMC,113.0,82.0,91.0,37.8%,24.2%
Lasalgaon(Vinchur) APMC,53.0,58.0,207.0,-8.6%,-74.4%
Lasur Station APMC,624.0,430.0,442.0,45.1%,41.2%
Latur APMC,4333.0,3398.0,109.0,27.5%,3875.2%
Latur(Murud) APMC,166.0,31.0,408.0,435.5%,-59.3%
Loha APMC,13.0,8.0,9.0,62.5%,44.4%
Lonar APMC,354.0,351.0,275.0,0.8%,28.7%
Majalgaon APMC,115.0,91.0,37.0,26.4%,210.8%
Malegaon APMC,308.0,170.0,556.0,81.2%,-44.6%
Malegaon(Vashim) APMC,12.0,9.0,-,33.3%,-
Malkapur APMC,697.0,397.0,744.0,75.6%,-6.3%
Mangal Wedha APMC,17.0,9.0,12.0,88.9%,41.7%
Mangrulpeer APMC,309.0,354.0,113.0,-12.7%,173.4%
Manmad APMC,57.0,27.0,94.0,111.1%,-39.4%
Manora APMC,65.0,105.0,31.0,-38.1%,109.7%
Mantha APMC,28.0,51.0,65.0,-45.1%,-56.9%
Manwat APMC,37.0,26.0,-,42.3%,-
Mehekar APMC,76.0,82.0,155.0,-7.3%,-51.0%
Mohol APMC,-,-,1.0,-,-
Morshi APMC,143.0,151.0,57.0,-5.3%,150.9%
Mumbai APMC,14067.0,12225.0,8140.0,15.1%,72.8%
Murtizapur APMC,158.0,119.0,243.0,32.8%,-35.0%
Murum APMC,-,12.0,-,-,-
Nagpur APMC,1715.0,1877.0,920.0,-8.6%,86.4%
Nampur APMC,11.0,2.0,20.0,450.0%,-45.0%
Nanded APMC,48.0,17.0,49.0,182.3%,-2.0%
Nandgaon APMC,80.0,54.0,126.0,48.1%,-36.5%
Nandgaon Khandeshwar APMC,10.0,22.0,208.0,-54.5%,-95.2%
Nandura APMC,58.0,70.0,45.0,-17.1%,28.9%
Nandurbar APMC,163.0,163.0,464.0,-,-64.9%
Newasa APMC,2.0,-,9.0,-,-77.8%
Pachora APMC,67.0,122.0,65.0,-45.1%,3.1%
Paithan APMC,183.0,116.0,94.0,57.8%,94.7%
Palam APMC,1.0,-,-,-,-
Palghar APMC,136.0,95.0,178.0,43.2%,-23.6%
Pandharpur APMC,1.0,3.0,-,-66.7%,-
Parali Vaijyanath APMC,3.0,1.0,1.0,200.0%,200.0%
Paranda APMC,2.0,2.0,1.0,-,100.0%
Parbhani APMC,72.0,97.0,102.0,-25.8%,-29.4%
Parola APMC,9.0,22.0,-,-59.1%,-
Partur APMC,115.0,64.0,20.0,79.7%,475.0%
Pathardi APMC,22.0,35.0,9.0,-37.1%,144.4%
Pathari APMC,25.0,24.0,15.0,4.2%,66.7%
Patur APMC,96.0,54.0,89.0,77.8%,7.9%
Phaltan APMC,275.0,-,78.0,-,252.6%
Pune APMC,326.0,275.0,104.0,18.6%,213.5%
Rahata APMC,50.0,33.0,60.0,51.5%,-16.7%
Rahuri APMC,8.0,13.0,40.0,-38.5%,-80.0%
Rahuri(Vambori) APMC,38.0,11.0,37.0,245.4%,2.7%
Ramtek APMC,83.0,57.0,95.0,45.6%,-12.6%
Raver APMC,118.0,55.0,175.0,114.5%,-32.6%
Sakri APMC,-,12.0,4.0,-,-
Sangamner APMC,15.0,11.0,52.0,36.4%,-71.2%
Sangli APMC,484.0,513.0,459.0,-5.7%,5.5%
Sangrampur(Varvatbakal) APMC,59.0,4.0,20.0,1375.0%,195.0%
Satana APMC,107.0,88.0,111.0,21.6%,-3.6%
Savner APMC,53.0,37.0,40.0,43.2%,32.5%
Selu APMC,24.0,24.0,-,-,-
Sengoan APMC,-,-,2.0,-,-
Shahada APMC,67.0,68.0,140.0,-1.5%,-52.1%
Shegaon APMC,46.0,35.0,72.0,31.4%,-36.1%
Shevgaon APMC,137.0,139.0,98.0,-1.4%,39.8%
Shevgaon(Bodhegaon) APMC,21.0,14.0,68.0,50.0%,-69.1%
Shirpur APMC,167.0,186.0,296.0,-10.2%,-43.6%
Shirur APMC,35.0,23.0,7.0,52.2%,400.0%
Shrigonda APMC,51.0,57.0,9.0,-10.5%,466.7%
Shrigonda(Gogargaon) APMC,38.0,20.0,27.0,90.0%,40.7%
Shrirampur APMC,52.0,22.0,124.0,136.4%,-58.1%
Shrirampur(Belapur) APMC,2.0,1.0,54.0,100.0%,-96.3%
Sillod APMC,671.0,507.0,557.0,32.4%,20.5%
Sillod(Bharadi) APMC,39.0,75.0,30.0,-48.0%,30.0%
Sindi APMC,-,-,2.0,-,-
Sindi(Selu) APMC,96.0,184.0,37.0,-47.8%,159.5%
Sinner APMC,68.0,39.0,86.0,74.4%,-20.9%
Solapur APMC,1943.0,2168.0,1618.0,-10.4%,20.1%
Sonpeth APMC,2.0,3.0,-,-33.3%,-
Tadkalas APMC,19.0,7.0,-,171.4%,-
Tasgaon APMC,40.0,42.0,41.0,-4.8%,-2.4%
Telhara APMC,73.0,19.0,55.0,284.2%,32.7%
Tuljapur APMC,-,15.0,-,-,-
Tumsar APMC,293.0,165.0,129.0,77.6%,127.1%
Ulhasnagar APMC,585.0,756.0,-,-22.6%,-
Umared APMC,159.0,131.0,88.0,21.4%,80.7%
Umarga APMC,3.0,3.0,4.0,-,-25.0%
Umari APMC,5.0,-,6.0,-,-16.7%
Umarked(Danki) APMC,88.0,68.0,-,29.4%,-
Umarkhed APMC,106.0,24.0,-,341.7%,-
Vaduj APMC,20.0,10.0,13.0,100.0%,53.9%
Vadvani APMC,2.0,-,-,-,-
Vaijpur APMC,182.0,141.0,-,29.1%,-
Varud(Rajura Bazar) APMC,7.0,3.0,-,133.3%,-
Vasai APMC,219.0,174.0,-,25.9%,-
Wardha APMC,103.0,-,66.0,-,56.1%
Washim APMC,562.0,704.0,427.0,-20.2%,31.6%
Washim(Ansing) APMC,24.0,18.0,69.0,33.3%,-65.2%
Yawal APMC,19.0,18.0,24.0,5.6%,-20.8%
Yeola APMC,43.0,23.0,79.0,87.0%,-45.6%
Yeotmal APMC,236.0,278.0,43.0,-15.1%,448.8%
Total,45092.0,38884.0,30332.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

