,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - January, 2023",,
Murum APMC,-,-,1.0,-,-
Nagpur APMC,290.0,469.0,1216.0,-38.2%,-76.2%
Nampur APMC,-,-,3.0,-,-
Nanded APMC,1.0,-,46.0,-,-97.8%
Nandgaon APMC,18.0,23.0,47.0,-21.7%,-61.7%
Nandgaon Khandeshwar APMC,-,2.0,1.0,-,-
Nandura APMC,16.0,-,81.0,-,-80.2%
Nandurbar APMC,44.0,55.0,130.0,-20.0%,-66.2%
Navapur APMC,53.0,54.0,-,-1.9%,-
Newasa APMC,-,-,2.0,-,-
Nilanga APMC,6.0,-,1.0,-,500.0%
Nira(Saswad) APMC,17.0,32.0,14.0,-46.9%,21.4%
Pachora APMC,50.0,61.0,59.0,-18.0%,-15.2%
Paithan APMC,18.0,43.0,48.0,-58.1%,-62.5%
Palghar APMC,64.0,50.0,121.0,28.0%,-47.1%
Paranda APMC,1.0,1.0,2.0,-,-50.0%
Parbhani APMC,67.0,36.0,-,86.1%,-
Parola APMC,13.0,13.0,-,-,-
Partur APMC,21.0,15.0,47.0,40.0%,-55.3%
Pathardi APMC,14.0,14.0,20.0,-,-30.0%
Pathari APMC,-,2.0,4.0,-,-
Patur APMC,2.0,10.0,19.0,-80.0%,-89.5%
Phaltan APMC,7.0,15.0,63.0,-53.3%,-88.9%
Pune APMC,646.0,770.0,693.0,-16.1%,-6.8%
Rahata APMC,10.0,15.0,13.0,-33.3%,-23.1%
Rahuri APMC,9.0,4.0,4.0,125.0%,125.0%
Rahuri(Vambori) APMC,4.0,13.0,18.0,-69.2%,-77.8%
Ramtek APMC,32.0,26.0,110.0,23.1%,-70.9%
Raver APMC,13.0,23.0,27.0,-43.5%,-51.9%
Sangamner APMC,2.0,17.0,20.0,-88.2%,-90.0%
Sangli APMC,637.0,1018.0,716.0,-37.4%,-11.0%
Sangrampur(Varvatbakal) APMC,34.0,34.0,16.0,-,112.5%
Satana APMC,13.0,12.0,14.0,8.3%,-7.1%
Savner APMC,-,238.0,59.0,-,-
Selu APMC,-,-,2.0,-,-
Shahada APMC,7.0,30.0,40.0,-76.7%,-82.5%
Shegaon APMC,-,3.0,22.0,-,-
Shevgaon APMC,8.0,45.0,90.0,-82.2%,-91.1%
Shevgaon(Bodhegaon) APMC,1.0,8.0,20.0,-87.5%,-95.0%
Shirpur APMC,22.0,36.0,34.0,-38.9%,-35.3%
Shirur APMC,1.0,-,24.0,-,-95.8%
Shrigonda APMC,6.0,23.0,21.0,-73.9%,-71.4%
Shrigonda(Gogargaon) APMC,3.0,17.0,43.0,-82.3%,-93.0%
Shrirampur APMC,4.0,10.0,4.0,-60.0%,-
Shrirampur(Belapur) APMC,3.0,11.0,3.0,-72.7%,-
Sillod APMC,180.0,304.0,360.0,-40.8%,-50.0%
Sillod(Bharadi) APMC,6.0,12.0,42.0,-50.0%,-85.7%
Sindi(Selu) APMC,5.0,14.0,27.0,-64.3%,-81.5%
Sinner APMC,18.0,42.0,48.0,-57.1%,-62.5%
Solapur APMC,2503.0,3223.0,2033.0,-22.3%,23.1%
Sonpeth APMC,1.0,2.0,-,-50.0%,-
Tadkalas APMC,1.0,-,10.0,-,-90.0%
Taloda APMC,-,-,2.0,-,-
Tasgaon APMC,13.0,30.0,37.0,-56.7%,-64.9%
Telhara APMC,30.0,43.0,72.0,-30.2%,-58.3%
Tuljapur APMC,4.0,-,5.0,-,-20.0%
Tumsar APMC,-,3.0,160.0,-,-
Ulhasnagar APMC,882.0,1582.0,995.0,-44.2%,-11.4%
Umared APMC,71.0,141.0,241.0,-49.6%,-70.5%
Umarga APMC,-,-,2.0,-,-
Umarked(Danki) APMC,3.0,4.0,12.0,-25.0%,-75.0%
Umarkhed APMC,-,-,19.0,-,-
Vaduj APMC,20.0,23.0,22.0,-13.0%,-9.1%
Vaijpur APMC,26.0,92.0,59.0,-71.7%,-55.9%
Varud(Rajura Bazar) APMC,-,1.0,2.0,-,-
Vasai APMC,176.0,424.0,393.0,-58.5%,-55.2%
Wardha APMC,5.0,9.0,27.0,-44.4%,-81.5%
Washim APMC,296.0,254.0,175.0,16.5%,69.1%
Washim(Ansing) APMC,6.0,8.0,3.0,-25.0%,100.0%
Yawal APMC,1.0,9.0,2.0,-88.9%,-50.0%
Yeola APMC,32.0,16.0,16.0,100.0%,100.0%
Yeotmal APMC,7.0,11.0,35.0,-36.4%,-80.0%
Total,18711.0,22680.0,29463.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

