,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - October, 2021",,
Jalana APMC,1881.16,1881.6,1490.8,-0.0%,26.2%
Jalgaon APMC,1890.5,1791.67,1500.0,5.5%,26.0%
Jalgaon Jamod(Aasalgaon) APMC,1900.0,1800.0,1531.58,5.6%,24.1%
Jamkhed APMC,1687.86,1674.34,1500.0,0.8%,12.5%
Jawala-Bajar APMC,1650.0,-,1698.61,-,-2.9%
Jintur APMC,-,-,1465.0,-,-
Kada APMC,1833.33,1795.39,2000.0,2.1%,-8.3%
Kaij APMC,1624.79,1615.82,1429.17,0.6%,13.7%
Kalamb (Dharashiv) APMC,1705.83,1748.93,1640.66,-2.5%,4.0%
Kalamnuri APMC,-,2000.0,-,-,-
Kalvan APMC,-,-,1521.32,-,-
Kannad APMC,1907.69,1811.38,1625.0,5.3%,17.4%
Karanja APMC,1883.26,1840.23,1561.99,2.3%,20.6%
Karjat(Raigad) APMC,1681.88,1720.87,1646.88,-2.3%,2.1%
Karmala APMC,1681.05,1627.31,1400.0,3.3%,20.1%
Katol APMC,1760.04,1780.36,1513.92,-1.1%,16.3%
Khamgaon APMC,1790.88,1782.2,1519.11,0.5%,17.9%
Kille Dharur APMC,1742.0,1669.41,1349.42,4.3%,29.1%
Kopargaon APMC,1837.87,1833.76,1556.96,0.2%,18.0%
Kurdwadi APMC,1801.0,-,-,-,-
Kurdwadi(Modnimb) APMC,1741.67,1713.64,-,1.6%,-
Lasalgaon APMC,1904.9,1889.64,1523.85,0.8%,25.0%
Lasalgaon(Niphad) APMC,1919.65,1922.41,1526.2,-0.1%,25.8%
Lasalgaon(Vinchur) APMC,1897.35,1924.17,1553.19,-1.4%,22.2%
Lasur Station APMC,1917.41,1875.38,1559.65,2.2%,22.9%
Latur APMC,1865.41,1799.82,1927.86,3.6%,-3.2%
Latur(Murud) APMC,1427.27,1423.49,1419.38,0.3%,0.6%
Loha APMC,1549.22,1655.0,1428.7,-6.4%,8.4%
Lonar APMC,1754.57,1765.66,1757.45,-0.6%,-0.2%
Majalgaon APMC,1738.75,1720.11,1472.81,1.1%,18.1%
Malegaon APMC,1907.18,1888.93,1591.55,1.0%,19.8%
Malegaon(Vashim) APMC,-,1400.0,1500.0,-,-
Malkapur APMC,1864.45,1843.16,1511.08,1.2%,23.4%
Mangal Wedha APMC,2271.18,2118.24,1725.0,7.2%,31.7%
Mangrulpeer APMC,1787.3,1780.18,1420.83,0.4%,25.8%
Manmad APMC,1807.33,1799.4,1508.89,0.4%,19.8%
Manora APMC,1800.0,1823.69,1600.0,-1.3%,12.5%
Mantha APMC,1671.3,1604.46,1642.31,4.2%,1.8%
Manwat APMC,1724.71,1672.86,-,3.1%,-
Mehekar APMC,1589.83,1551.32,1438.46,2.5%,10.5%
Morshi APMC,1677.4,1777.52,1556.06,-5.6%,7.8%
Mumbai APMC,3539.61,3607.97,3164.4,-1.9%,11.9%
Murtizapur APMC,1883.79,1820.25,1552.31,3.5%,21.4%
Nagpur APMC,2354.72,2291.55,2347.51,2.8%,0.3%
Nampur APMC,1641.6,1696.55,1513.31,-3.2%,8.5%
Nanded APMC,1704.5,1682.08,1478.65,1.3%,15.3%
Nandgaon APMC,1911.2,1884.29,1514.46,1.4%,26.2%
Nandgaon Khandeshwar APMC,-,1658.0,1479.78,-,-
Nandura APMC,1890.67,1840.55,1593.51,2.7%,18.6%
Nandurbar APMC,1997.86,2035.64,1591.08,-1.9%,25.6%
Newasa APMC,2100.0,2000.0,2057.14,5.0%,2.1%
Nilanga APMC,1600.0,-,-,-,-
Pachora APMC,1738.7,1696.45,1514.71,2.5%,14.8%
Paithan APMC,1817.09,1820.28,1557.67,-0.2%,16.6%
Palam APMC,2230.5,2111.0,-,5.7%,-
Palghar APMC,2687.08,2599.85,2820.82,3.4%,-4.7%
Pandharpur APMC,1700.0,1590.0,-,6.9%,-
Parali Vaijyanath APMC,-,1570.33,-,-,-
Paranda APMC,1656.67,1907.5,-,-13.2%,-
Parbhani APMC,1544.76,1547.01,1696.7,-0.1%,-9.0%
Parola APMC,-,1676.11,-,-,-
Partur APMC,1812.66,1822.75,1446.0,-0.6%,25.4%
Pathardi APMC,1856.0,1922.73,2050.0,-3.5%,-9.5%
Pathari APMC,1579.78,1608.84,1385.0,-1.8%,14.1%
Patur APMC,1639.16,1759.77,-,-6.8%,-
Pavani APMC,-,-,1750.0,-,-
Phaltan APMC,1868.8,1891.82,-,-1.2%,-
Pune APMC,4145.48,4133.9,4129.41,0.3%,0.4%
Rahata APMC,1790.11,1821.3,1539.17,-1.7%,16.3%
Rahuri APMC,1763.33,1775.0,1513.48,-0.7%,16.5%
Rahuri(Vambori) APMC,1711.1,1695.95,1485.6,0.9%,15.2%
Ramtek APMC,1705.04,1712.87,1465.11,-0.5%,16.4%
Raver APMC,1904.32,1895.7,1631.57,0.5%,16.7%
Sakri APMC,-,-,1500.0,-,-
Sangamner APMC,1890.63,1962.93,1453.38,-3.7%,30.1%
Sangli APMC,2727.98,2721.69,2432.33,0.2%,12.2%
Sangrampur(Varvatbakal) APMC,-,1704.24,1488.89,-,-
Satana APMC,2010.58,1971.36,1693.37,2.0%,18.7%
Savner APMC,1750.79,1728.53,1384.74,1.3%,26.4%
Selu APMC,1730.0,1714.79,1366.67,0.9%,26.6%
Sengoan APMC,-,-,1337.5,-,-
Shahada APMC,1973.43,1944.6,1631.2,1.5%,21.0%
Shegaon APMC,1729.17,1756.52,1377.34,-1.6%,25.5%
Shevgaon APMC,1835.15,1845.99,1472.33,-0.6%,24.6%
Shevgaon(Bodhegaon) APMC,1682.86,1600.0,1663.16,5.2%,1.2%
Shirpur APMC,1921.58,1866.78,1542.53,2.9%,24.6%
Shirur APMC,1567.45,1609.6,1353.57,-2.6%,15.8%
Shrigonda APMC,1989.24,1990.0,1990.0,-0.0%,-0.0%
Shrigonda(Gogargaon) APMC,1988.8,1990.0,-,-0.1%,-
Shrirampur APMC,1734.29,1710.58,1568.83,1.4%,10.6%
Shrirampur(Belapur) APMC,1604.55,1550.0,1562.2,3.5%,2.7%
Sillod APMC,1808.11,1820.53,1476.77,-0.7%,22.4%
Sillod(Bharadi) APMC,1768.57,1768.97,1480.0,-0.0%,19.5%
Sindi(Selu) APMC,1720.08,1750.0,1472.22,-1.7%,16.8%
Sinner APMC,1972.48,1911.25,1615.86,3.2%,22.1%
Solapur APMC,2545.39,2611.88,2587.75,-2.5%,-1.6%
Sonpeth APMC,1606.67,1585.0,-,1.4%,-
Tadkalas APMC,1600.0,1585.47,-,0.9%,-
Tasgaon APMC,2112.76,2107.0,2303.33,0.3%,-8.3%
Telhara APMC,1665.2,1670.68,1441.6,-0.3%,15.5%
Tuljapur APMC,1300.0,-,-,-,-
Tumsar APMC,1819.01,1799.88,1548.65,1.1%,17.5%
Ulhasnagar APMC,2880.07,2872.56,3437.5,0.3%,-16.2%
Umared APMC,2100.0,2100.0,2100.0,-,-
Umarga APMC,1522.5,1683.67,-,-9.6%,-
Umari APMC,1515.62,1500.0,-,1.0%,-
Umarked(Danki) APMC,1905.56,1894.32,-,0.6%,-
Umarkhed APMC,1875.0,1888.68,-,-0.7%,-
Vaduj APMC,1980.43,1975.0,1900.0,0.3%,4.2%
Vadvani APMC,2000.0,1925.0,1488.0,3.9%,34.4%
Vaijpur APMC,1895.65,1886.65,-,0.5%,-
Vani APMC,1650.0,-,-,-,-
Varud(Rajura Bazar) APMC,1753.0,1768.29,-,-0.9%,-
Vasai APMC,3281.08,3102.1,-,5.8%,-
Wardha APMC,1789.82,1783.59,1620.0,0.3%,10.5%
Washim APMC,1758.21,1671.8,1493.89,5.2%,17.7%
Washim(Ansing) APMC,1676.79,1800.0,1488.24,-6.8%,12.7%
Yawal APMC,1840.0,1822.11,1720.0,1.0%,7.0%
Yeola APMC,1777.19,1788.81,1472.04,-0.7%,20.7%
Yeotmal APMC,1814.03,1824.97,1493.45,-0.6%,21.5%
Average,1850.61,1845.2,1635.7,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

