Market,"Arrivals July, 2022 (Metric Tonnes)","Arrivals June, 2022 (Metric Tonnes)","Arrivals July, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Karanja APMC,1018.0,1235.0,907.0,-17.6%,12.2%
Karjat(Raigad) APMC,10.0,34.0,53.0,-70.6%,-81.1%
Karmala APMC,6.0,15.0,17.0,-60.0%,-64.7%
Katol APMC,104.0,190.0,181.0,-45.3%,-42.5%
Khamgaon APMC,241.0,243.0,336.0,-0.8%,-28.3%
Kille Dharur APMC,10.0,12.0,32.0,-16.7%,-68.8%
Kopargaon APMC,88.0,132.0,199.0,-33.3%,-55.8%
Kurdwadi(Modnimb) APMC,4.0,6.0,5.0,-33.3%,-20.0%
Lakhandur APMC,1.0,23.0,23.120795344539154,-95.7%,-
Lasalgaon APMC,103.0,172.0,210.0,-40.1%,-51.0%
Lasalgaon(Niphad) APMC,39.0,81.0,89.0,-51.9%,-56.2%
Lasalgaon(Vinchur) APMC,32.0,43.0,150.0,-25.6%,-78.7%
Lasur Station APMC,351.0,343.0,398.0,2.3%,-11.8%
Latur APMC,486.0,465.0,2341.0,4.5%,-79.2%
Latur(Murud) APMC,121.38464314941076,138.54366140162116,68.0,-,-
Loha APMC,4.0,4.0,12.0,-,-66.7%
Lonar APMC,119.0,141.0,159.0,-15.6%,-25.2%
Majalgaon APMC,18.0,24.0,84.0,-25.0%,-78.6%
Malegaon APMC,41.0,118.0,170.0,-65.2%,-75.9%
Malegaon(Vashim) APMC,75.69686310624333,86.57518764439612,7.0,-,-
Malkapur APMC,263.0,502.0,379.0,-47.6%,-30.6%
Mandhal APMC,-3.0588293982231085,1.0,0.5123050438012675,-,-
Mangal Wedha APMC,2.0,6.0,22.0,-66.7%,-90.9%
Mangrulpeer APMC,52.0,99.0,220.0,-47.5%,-76.4%
Manmad APMC,11.0,19.0,29.0,-42.1%,-62.1%
Manora APMC,45.0,60.0,47.0,-25.0%,-4.3%
Mantha APMC,20.0,30.360914751375276,40.0,-,-50.0%
Manwat APMC,4.0,10.0,19.0,-60.0%,-79.0%
Mehekar APMC,47.0,100.0,71.0,-53.0%,-33.8%
Mohol APMC,-3.0588293982231085,1.0,0.5123050438012675,-,-
Morshi APMC,304.0,318.0,214.0,-4.4%,42.1%
Mumbai APMC,12481.0,13544.0,11951.0,-7.8%,4.4%
Murtizapur APMC,92.0,190.0,119.0,-51.6%,-22.7%
Murum APMC,1.0,9.0,6.0,-88.9%,-83.3%
Nagpur APMC,1814.0,2594.0,1509.0,-30.1%,20.2%
Nampur APMC,71.95196310270502,82.31547668068916,2.0,-,-
Nanded APMC,13.0,4.0,1.5727159769370593,225.0%,-
Nandgaon APMC,29.0,49.0,53.0,-40.8%,-45.3%
Nandgaon Khandeshwar APMC,11.0,16.58477971105701,15.0,-,-26.7%
Nandura APMC,64.0,62.0,48.0,3.2%,33.3%
Nandurbar APMC,65.0,272.0,165.0,-76.1%,-60.6%
Newasa APMC,4.162482186389651,9.0,4.0,-,-
Nilanga APMC,2.0,3.0,1.955864813964805,-33.3%,-
Nira(Saswad) APMC,10.0,27.0,26.15370567285136,-63.0%,-
Pachora APMC,158.0,57.0,151.0,177.2%,4.6%
Paithan APMC,56.0,69.0,111.0,-18.8%,-49.5%
Palghar APMC,53.0,68.0,93.0,-22.1%,-43.0%
Parali Vaijyanath APMC,71.20298310199735,81.46353448794775,1.0,-,-
Paranda APMC,3.0,1.0,3.0,200.0%,-
Parbhani APMC,36.0,76.0,82.0,-52.6%,-56.1%
Parola APMC,2.0,11.0,37.0,-81.8%,-94.6%
Partur APMC,17.0,52.0,50.0,-67.3%,-66.0%
Pathardi APMC,35.0,24.0,16.0,45.8%,118.8%
Pathari APMC,3.0,9.0,20.0,-66.7%,-85.0%
Patur APMC,46.0,36.0,54.0,27.8%,-14.8%
Pavani APMC,-2.1706766418239782,2.0,1.4481760921959195,-,-
Phaltan APMC,45.0,65.0,61.55372626779932,-30.8%,-
Pune APMC,1310.0,1273.0,237.0,2.9%,452.7%
Purna APMC,265.0,301.7819391437931,281.88559910645614,-,-
Rahata APMC,80.0,55.0,42.0,45.5%,90.5%
Rahuri APMC,10.0,25.0,24.050256921726557,-60.0%,-
Rahuri(Vambori) APMC,13.0,10.0,32.0,30.0%,-59.4%
Ramtek APMC,14.0,31.45950869577747,67.0,-,-79.1%
Raver APMC,66.41359337388893,78.0,43.0,-,-
Sakri APMC,9.0,8.0,4.0,12.5%,125.0%
Sangamner APMC,2.0,8.0,12.0,-75.0%,-83.3%
Sangli APMC,539.0,552.0,395.0,-2.4%,36.5%
Sangrampur(Varvatbakal) APMC,5.0,5.0,13.0,-,-61.5%
Satana APMC,28.0,40.0,82.0,-30.0%,-65.8%
Savner APMC,20.0,62.0,40.0,-67.7%,-50.0%
Selu APMC,6.0,2.0,7.0,200.0%,-14.3%
Shahada APMC,54.0,190.0,47.0,-71.6%,14.9%
Shegaon APMC,8.0,16.0,18.0,-50.0%,-55.6%
Shevgaon APMC,84.0,59.0,146.0,42.4%,-42.5%
Shevgaon(Bodhegaon) APMC,4.0,8.0,29.0,-50.0%,-86.2%
Shirpur APMC,136.0,418.0,208.0,-67.5%,-34.6%
Shirur APMC,9.0,6.0,20.0,50.0%,-55.0%
Shrigonda APMC,13.0,14.0,73.0,-7.1%,-82.2%
Shrigonda(Gogargaon) APMC,-4.135122008930678,1.0,28.0,-,-
Shrirampur APMC,12.0,22.0,38.0,-45.5%,-68.4%
Shrirampur(Belapur) APMC,28.0,28.0,12.0,-,133.3%
Sillod APMC,412.0,356.0,340.0,15.7%,21.2%
Sillod(Bharadi) APMC,21.0,14.0,35.0,50.0%,-40.0%
Sindi APMC,4.200350987191028,9.0,3.0,-,-
Sindi(Selu) APMC,217.0,165.0,187.0,31.5%,16.0%
Sinner APMC,21.0,27.0,62.0,-22.2%,-66.1%
Solapur APMC,2943.0,2635.0,1979.0,11.7%,48.7%
Sonpeth APMC,1.0,4.985507086388112,4.174514033897436,-,-
Tadkalas APMC,4.0,4.0,2.74670315087445,-,-
Tasgaon APMC,32.0,32.0,39.0,-,-17.9%
Telhara APMC,56.0,62.0,22.0,-9.7%,154.6%
Tuljapur APMC,35.0,27.0,5.0,29.6%,600.0%
Tumsar APMC,69.0,159.0,77.0,-56.6%,-10.4%
Ulhasnagar APMC,1067.0,597.0,536.0,78.7%,99.1%
Umared APMC,164.0,275.0,145.0,-40.4%,13.1%
Umarga APMC,1.0,1.0,3.0,-,-66.7%
Umari APMC,1.3819343837725455,6.0,5.191660285774527,-,-
Umarked(Danki) APMC,5.039824512353574,12.0,54.0,-,-
Umarkhed APMC,5.910806930785229,12.0,31.0,-,-
Vaduj APMC,16.0,20.0,5.0,-20.0%,220.0%
Vadvani APMC,-1.282523885424847,3.0,2.384047140590572,-,-
Vaijpur APMC,144.0,188.0,141.0,-23.4%,2.1%
Varora APMC,1.0,1.0,-0.017140917833615488,-,-
Varud(Rajura Bazar) APMC,-2.340545468488112,2.0,5.0,-,-
Vasai APMC,340.0,345.0,333.0,-1.4%,2.1%
Wardha APMC,139.0,323.0,10.0,-57.0%,1290.0%
Washim APMC,446.0,682.0,758.0,-34.6%,-41.2%
Washim(Ansing) APMC,8.0,20.0,22.0,-60.0%,-63.6%
Yawal APMC,3.0,3.0,6.0,-,-50.0%
Yeola APMC,6.0,12.0,27.0,-50.0%,-77.8%
Yeotmal APMC,131.0,87.0,295.0,50.6%,-55.6%
Total,33280.0,37676.0,35635.0,-,-
Note:,369.4153461500215,420.41360821419056,393.03316416562745,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,369.4153461500215,420.41360821419056,393.03316416562745,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,369.4153461500215,420.41360821419056,393.03316416562745,,
