,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - July, 2022",,
Palghar APMC,53.0,68.0,93.0,-22.1%,-43.0%
Parali Vaijyanath APMC,-,-,1.0,-,-
Paranda APMC,3.0,1.0,3.0,200.0%,-
Parbhani APMC,36.0,76.0,82.0,-52.6%,-56.1%
Parola APMC,2.0,11.0,37.0,-81.8%,-94.6%
Partur APMC,17.0,52.0,50.0,-67.3%,-66.0%
Pathardi APMC,35.0,24.0,16.0,45.8%,118.8%
Pathari APMC,3.0,9.0,20.0,-66.7%,-85.0%
Patur APMC,46.0,36.0,54.0,27.8%,-14.8%
Pavani APMC,-,2.0,-,-,-
Phaltan APMC,45.0,65.0,-,-30.8%,-
Pune APMC,1310.0,1273.0,237.0,2.9%,452.7%
Purna APMC,265.0,-,-,-,-
Rahata APMC,80.0,55.0,42.0,45.5%,90.5%
Rahuri APMC,10.0,25.0,-,-60.0%,-
Rahuri(Vambori) APMC,13.0,10.0,32.0,30.0%,-59.4%
Ramtek APMC,14.0,-,67.0,-,-79.1%
Raver APMC,-,78.0,43.0,-,-
Sakri APMC,9.0,8.0,4.0,12.5%,125.0%
Sangamner APMC,2.0,8.0,12.0,-75.0%,-83.3%
Sangli APMC,539.0,552.0,395.0,-2.4%,36.5%
Sangrampur(Varvatbakal) APMC,5.0,5.0,13.0,-,-61.5%
Satana APMC,28.0,40.0,82.0,-30.0%,-65.8%
Savner APMC,20.0,62.0,40.0,-67.7%,-50.0%
Selu APMC,6.0,2.0,7.0,200.0%,-14.3%
Shahada APMC,54.0,190.0,47.0,-71.6%,14.9%
Shegaon APMC,8.0,16.0,18.0,-50.0%,-55.6%
Shevgaon APMC,84.0,59.0,146.0,42.4%,-42.5%
Shevgaon(Bodhegaon) APMC,4.0,8.0,29.0,-50.0%,-86.2%
Shirpur APMC,136.0,418.0,208.0,-67.5%,-34.6%
Shirur APMC,9.0,6.0,20.0,50.0%,-55.0%
Shrigonda APMC,13.0,14.0,73.0,-7.1%,-82.2%
Shrigonda(Gogargaon) APMC,-,1.0,28.0,-,-
Shrirampur APMC,12.0,22.0,38.0,-45.5%,-68.4%
Shrirampur(Belapur) APMC,28.0,28.0,12.0,-,133.3%
Sillod APMC,412.0,356.0,340.0,15.7%,21.2%
Sillod(Bharadi) APMC,21.0,14.0,35.0,50.0%,-40.0%
Sindi APMC,-,9.0,3.0,-,-
Sindi(Selu) APMC,217.0,165.0,187.0,31.5%,16.0%
Sinner APMC,21.0,27.0,62.0,-22.2%,-66.1%
Solapur APMC,2943.0,2635.0,1979.0,11.7%,48.7%
Sonpeth APMC,1.0,-,-,-,-
Tadkalas APMC,4.0,4.0,-,-,-
Tasgaon APMC,32.0,32.0,39.0,-,-17.9%
Telhara APMC,56.0,62.0,22.0,-9.7%,154.6%
Tuljapur APMC,35.0,27.0,5.0,29.6%,600.0%
Tumsar APMC,69.0,159.0,77.0,-56.6%,-10.4%
Ulhasnagar APMC,1067.0,597.0,536.0,78.7%,99.1%
Umared APMC,164.0,275.0,145.0,-40.4%,13.1%
Umarga APMC,1.0,1.0,3.0,-,-66.7%
Umari APMC,-,6.0,-,-,-
Umarked(Danki) APMC,-,12.0,54.0,-,-
Umarkhed APMC,-,12.0,31.0,-,-
Vaduj APMC,16.0,20.0,5.0,-20.0%,220.0%
Vadvani APMC,-,3.0,-,-,-
Vaijpur APMC,144.0,188.0,141.0,-23.4%,2.1%
Varora APMC,1.0,1.0,-,-,-
Varud(Rajura Bazar) APMC,-,2.0,5.0,-,-
Vasai APMC,340.0,345.0,333.0,-1.4%,2.1%
Wardha APMC,139.0,323.0,10.0,-57.0%,1290.0%
Washim APMC,446.0,682.0,758.0,-34.6%,-41.2%
Washim(Ansing) APMC,8.0,20.0,22.0,-60.0%,-63.6%
Yawal APMC,3.0,3.0,6.0,-,-50.0%
Yeola APMC,6.0,12.0,27.0,-50.0%,-77.8%
Yeotmal APMC,131.0,87.0,295.0,50.6%,-55.6%
Total,33280.0,37676.0,35635.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

