,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - July, 2022",,
Dudhani APMC,2550.0,-,1701.45,-,49.9%
Gangakhed APMC,2186.84,2151.46,2105.88,1.6%,3.8%
Gangapur APMC,2282.74,2128.05,1735.21,7.3%,31.6%
Gevrai APMC,2326.76,2346.46,1708.33,-0.8%,36.2%
Ghansawangi APMC,2237.5,2305.26,-,-2.9%,-
Himalyatnagar APMC,1800.0,-,1484.31,-,21.3%
Hinganghat APMC,2092.89,1989.11,1627.07,5.2%,28.6%
Hingoli APMC,2137.66,2445.61,1966.17,-12.6%,8.7%
Hingoli(Kanegoan Naka) APMC,1895.62,1872.13,-,1.2%,-
Indapur APMC,-,1851.0,-,-,-
Indapur(Bhigwan) APMC,2382.44,-,-,-,-
Indapur(Nimgaon Ketki) APMC,2330.67,1985.33,-,17.4%,-
Jafrabad APMC,-,2000.0,1800.0,-,-
Jalana APMC,2298.7,2296.31,1808.58,0.1%,27.1%
Jalgaon APMC,2108.54,1900.0,1624.67,11.0%,29.8%
Jalgaon Jamod(Aasalgaon) APMC,-,-,101.76,-,-
Jalgaon(Masawat) APMC,-,2250.0,1600.0,-,-
Jamkhed APMC,2013.02,1967.54,1727.7,2.3%,16.5%
Jawala-Bajar APMC,1800.0,1920.93,1750.0,-6.3%,2.9%
Jintur APMC,2333.33,-,-,-,-
Kada APMC,2183.33,2242.05,1907.14,-2.6%,14.5%
Kaij APMC,2388.3,2123.97,-,12.4%,-
Kalamb (Dharashiv) APMC,2483.5,2580.26,1568.46,-3.8%,58.3%
Kalamnuri APMC,-,-,2000.0,-,-
Kalmeshwar APMC,-,1806.12,-,-,-
Kalvan APMC,1875.0,2070.4,1558.0,-9.4%,20.4%
Kandhar APMC,1821.74,1540.91,-,18.2%,-
Kannad APMC,2218.57,2283.97,1719.17,-2.9%,29.1%
Karanja APMC,2223.05,2106.66,1750.37,5.5%,27.0%
Karjat(Raigad) APMC,2025.0,2025.0,1714.62,-,18.1%
Karmala APMC,2283.33,1994.67,1669.82,14.5%,36.7%
Katol APMC,2140.03,1969.86,1675.31,8.6%,27.7%
Khamgaon APMC,1994.51,1891.69,1631.36,5.4%,22.3%
Kille Dharur APMC,2417.6,2358.08,1681.94,2.5%,43.7%
Kopargaon APMC,2273.01,2119.33,1735.09,7.2%,31.0%
Kurdwadi(Modnimb) APMC,2507.75,2358.33,1770.0,6.3%,41.7%
Lakhandur APMC,1865.0,1875.0,-,-0.5%,-
Lasalgaon APMC,2298.87,2234.49,1763.71,2.9%,30.3%
Lasalgaon(Niphad) APMC,2191.18,2092.72,1742.28,4.7%,25.8%
Lasalgaon(Vinchur) APMC,2217.19,2118.56,1755.55,4.7%,26.3%
Lasur Station APMC,2252.32,2152.71,1715.84,4.6%,31.3%
Latur APMC,2715.64,2709.03,1961.45,0.2%,38.5%
Latur(Murud) APMC,-,-,1611.76,-,-
Loha APMC,2525.0,2353.0,1592.42,7.3%,58.6%
Lonar APMC,2554.5,2222.49,1618.03,14.9%,57.9%
Majalgaon APMC,2473.94,2344.42,1809.12,5.5%,36.8%
Malegaon APMC,2231.73,2069.95,1737.15,7.8%,28.5%
Malegaon(Vashim) APMC,-,-,1328.57,-,-
Malkapur APMC,2193.31,2112.97,1721.03,3.8%,27.4%
Mandhal APMC,-,2025.0,-,-,-
Mangal Wedha APMC,2555.0,2741.67,2119.55,-6.8%,20.5%
Mangrulpeer APMC,2148.56,2150.51,1649.93,-0.1%,30.2%
Manmad APMC,2156.82,2105.95,1690.69,2.4%,27.6%
Manora APMC,2298.82,2083.77,1701.57,10.3%,35.1%
Mantha APMC,2058.75,-,1636.25,-,25.8%
Manwat APMC,2272.75,2305.3,1601.32,-1.4%,41.9%
Mehekar APMC,1753.19,2543.0,1528.87,-31.1%,14.7%
Mohol APMC,-,2400.0,-,-,-
Morshi APMC,2040.87,1974.18,1675.82,3.4%,21.8%
Mumbai APMC,3032.22,2910.95,3474.51,4.2%,-12.7%
Murtizapur APMC,2188.37,1998.5,1714.16,9.5%,27.7%
Murum APMC,2200.0,2048.89,1607.83,7.4%,36.8%
Nagpur APMC,2413.88,2343.77,2164.95,3.0%,11.5%
Nampur APMC,-,-,1465.5,-,-
Nanded APMC,2016.92,1940.0,-,4.0%,-
Nandgaon APMC,2294.55,2348.94,1831.42,-2.3%,25.3%
Nandgaon Khandeshwar APMC,2165.91,-,1493.13,-,45.1%
Nandura APMC,2228.75,2267.27,1752.75,-1.7%,27.2%
Nandurbar APMC,2219.49,2136.49,1702.47,3.9%,30.4%
Newasa APMC,-,2277.78,2000.0,-,-
Nilanga APMC,2825.5,2266.67,-,24.6%,-
Nira(Saswad) APMC,2504.4,2464.07,-,1.6%,-
Pachora APMC,2101.42,1996.49,1632.93,5.3%,28.7%
Paithan APMC,2261.54,2190.88,1694.79,3.2%,33.4%
Palghar APMC,2740.57,2843.01,2571.13,-3.6%,6.6%
Parali Vaijyanath APMC,-,-,1550.0,-,-
Paranda APMC,3000.0,2265.0,1626.67,32.5%,84.4%
Parbhani APMC,2316.67,2380.92,1693.84,-2.7%,36.8%
Parola APMC,2400.0,2009.73,1562.19,19.4%,53.6%
Partur APMC,2262.59,2427.83,1627.78,-6.8%,39.0%
Pathardi APMC,1977.14,1975.0,1937.5,0.1%,2.0%
Pathari APMC,1983.67,1977.78,1552.75,0.3%,27.8%
Patur APMC,2031.59,1867.83,1543.56,8.8%,31.6%
Pavani APMC,-,2000.0,-,-,-
Phaltan APMC,2387.78,2310.77,-,3.3%,-
Pune APMC,4329.85,3952.75,4382.91,9.5%,-1.2%
Purna APMC,2651.0,-,-,-,-
Rahata APMC,2176.69,2097.45,1726.95,3.8%,26.0%
Rahuri APMC,2040.0,2175.0,-,-6.2%,-
Rahuri(Vambori) APMC,2242.46,2074.1,1697.03,8.1%,32.1%
Ramtek APMC,2350.0,-,1561.49,-,50.5%
Raver APMC,-,2067.88,1691.28,-,-
Sakri APMC,2077.89,2007.5,1556.5,3.5%,33.5%
Sangamner APMC,2202.0,2327.0,1732.42,-5.4%,27.1%
Sangli APMC,2903.8,3074.82,2539.53,-5.6%,14.3%
Sangrampur(Varvatbakal) APMC,1770.0,1900.0,1607.69,-6.8%,10.1%
Satana APMC,2146.07,2150.62,1790.29,-0.2%,19.9%
Savner APMC,2021.3,1896.53,1594.2,6.6%,26.8%
Selu APMC,2315.33,2000.0,1685.71,15.8%,37.4%
Shahada APMC,2245.83,2174.78,1779.21,3.3%,26.2%
Shegaon APMC,1990.0,2146.88,1722.22,-7.3%,15.6%
Shevgaon APMC,2232.74,2255.25,1719.86,-1.0%,29.8%
Shevgaon(Bodhegaon) APMC,2125.0,2162.5,1624.14,-1.7%,30.8%
Shirpur APMC,2173.43,2124.17,1687.71,2.3%,28.8%
Shirur APMC,1822.22,1733.33,1522.5,5.1%,19.7%
Shrigonda APMC,2113.85,2121.43,1996.37,-0.4%,5.9%
Shrigonda(Gogargaon) APMC,-,2000.0,1997.5,-,-
Shrirampur APMC,2056.25,2015.18,1610.79,2.0%,27.6%
Shrirampur(Belapur) APMC,1896.43,1864.29,1564.58,1.7%,21.2%
Sillod APMC,2167.96,2054.12,1697.06,5.5%,27.8%
Sillod(Bharadi) APMC,2134.29,2039.29,1671.43,4.7%,27.7%
Sindi APMC,-,1877.78,1516.67,-,-
Sindi(Selu) APMC,2124.7,1986.91,1653.24,6.9%,28.5%
Sinner APMC,2281.67,2153.33,1741.45,6.0%,31.0%
Solapur APMC,2620.78,2640.31,2546.3,-0.7%,2.9%
Sonpeth APMC,2650.0,-,-,-,-
Tadkalas APMC,2100.0,1750.0,-,20.0%,-
Tasgaon APMC,2200.94,2192.19,2132.56,0.4%,3.2%
Telhara APMC,2001.61,1970.97,1613.64,1.6%,24.0%
Tuljapur APMC,2500.0,2344.44,1950.0,6.6%,28.2%
Tumsar APMC,2145.78,1978.19,1601.94,8.5%,34.0%
Ulhasnagar APMC,2901.08,2783.67,2812.5,4.2%,3.1%
Umared APMC,2100.0,2100.0,2100.0,-,-
Umarga APMC,1700.0,2800.0,1716.67,-39.3%,-1.0%
Umari APMC,-,2275.0,-,-,-
Umarked(Danki) APMC,-,2100.0,1918.52,-,-
Umarkhed APMC,-,2100.0,1950.0,-,-
Vaduj APMC,2196.88,2187.5,2050.0,0.4%,7.2%
Vadvani APMC,-,2193.67,-,-,-
Vaijpur APMC,2222.78,2100.0,1763.37,5.8%,26.1%
Varora APMC,2200.0,1850.0,-,18.9%,-
Varud(Rajura Bazar) APMC,-,1934.0,1629.6,-,-
Vasai APMC,3456.74,3497.57,2983.15,-1.2%,15.9%
Wardha APMC,2175.58,2063.41,1631.0,5.4%,33.4%
Washim APMC,1989.91,1939.22,1598.61,2.6%,24.5%
Washim(Ansing) APMC,2950.0,1905.0,1540.91,54.9%,91.5%
Yawal APMC,2530.0,2465.0,1865.0,2.6%,35.7%
Yeola APMC,2318.5,2090.17,1737.3,10.9%,33.5%
Yeotmal APMC,2188.53,2046.2,1714.53,7.0%,27.6%
Average,2243.08,2155.6,1754.74,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

