,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - September, 2022",,
Jafrabad APMC,44.0,-,-,-,-
Jalana APMC,517.0,862.0,2884.0,-40.0%,-82.1%
Jalgaon APMC,3.0,7.0,12.0,-57.1%,-75.0%
Jalgaon Jamod(Aasalgaon) APMC,-,-,27.0,-,-
Jalgaon(Masawat) APMC,1.0,1.0,-,-,-
Jamkhed APMC,54.0,65.0,94.0,-16.9%,-42.5%
Kada APMC,-,16.0,38.0,-,-
Kaij APMC,25.0,16.0,148.0,56.2%,-83.1%
Kalamb (Dharashiv) APMC,17.0,15.0,105.0,13.3%,-83.8%
Kalamnuri APMC,-,-,11.0,-,-
Kalvan APMC,-,3.0,-,-,-
Kandhar APMC,-,18.0,-,-,-
Kannad APMC,37.0,39.0,64.0,-5.1%,-42.2%
Karanja APMC,313.0,518.0,1413.0,-39.6%,-77.8%
Karjat(Raigad) APMC,17.0,11.0,103.0,54.5%,-83.5%
Karmala APMC,8.0,8.0,13.0,-,-38.5%
Katol APMC,41.0,334.0,61.0,-87.7%,-32.8%
Khamgaon APMC,346.0,330.0,787.0,4.8%,-56.0%
Kille Dharur APMC,5.0,5.0,17.0,-,-70.6%
Kopargaon APMC,60.0,91.0,186.0,-34.1%,-67.7%
Kurdwadi(Modnimb) APMC,2.0,6.0,11.0,-66.7%,-81.8%
Lasalgaon APMC,85.0,115.0,212.0,-26.1%,-59.9%
Lasalgaon(Niphad) APMC,25.0,41.0,113.0,-39.0%,-77.9%
Lasalgaon(Vinchur) APMC,18.0,17.0,53.0,5.9%,-66.0%
Lasur Station APMC,222.0,336.0,624.0,-33.9%,-64.4%
Latur APMC,337.0,519.0,4333.0,-35.1%,-92.2%
Latur(Murud) APMC,-,-,166.0,-,-
Loha APMC,12.0,8.0,13.0,50.0%,-7.7%
Lonar APMC,210.0,144.0,354.0,45.8%,-40.7%
Majalgaon APMC,7.0,22.0,115.0,-68.2%,-93.9%
Malegaon APMC,50.0,56.0,308.0,-10.7%,-83.8%
Malegaon(Vashim) APMC,1.0,3.0,12.0,-66.7%,-91.7%
Malkapur APMC,279.0,326.0,697.0,-14.4%,-60.0%
Mangal Wedha APMC,3.0,2.0,17.0,50.0%,-82.3%
Mangrulpeer APMC,41.0,42.0,309.0,-2.4%,-86.7%
Manmad APMC,7.0,12.0,57.0,-41.7%,-87.7%
Manora APMC,13.0,40.0,65.0,-67.5%,-80.0%
Mantha APMC,12.0,13.0,28.0,-7.7%,-57.1%
Manwat APMC,4.0,9.0,37.0,-55.6%,-89.2%
Mehekar APMC,16.0,36.0,76.0,-55.6%,-79.0%
Morshi APMC,44.0,106.0,143.0,-58.5%,-69.2%
Mumbai APMC,8840.0,11761.0,14067.0,-24.8%,-37.2%
Murtizapur APMC,58.0,69.0,158.0,-15.9%,-63.3%
Murum APMC,1.0,1.0,-,-,-
Nagpur APMC,618.0,1530.0,1715.0,-59.6%,-64.0%
Nampur APMC,-,-,11.0,-,-
Nanded APMC,4.0,20.0,48.0,-80.0%,-91.7%
Nandgaon APMC,27.0,23.0,80.0,17.4%,-66.2%
Nandgaon Khandeshwar APMC,9.0,8.0,10.0,12.5%,-10.0%
Nandura APMC,39.0,89.0,58.0,-56.2%,-32.8%
Nandurbar APMC,57.0,-,163.0,-,-65.0%
Newasa APMC,-,-,2.0,-,-
Nira(Saswad) APMC,9.0,6.0,-,50.0%,-
Pachora APMC,-,148.0,67.0,-,-
Paithan APMC,37.0,64.0,183.0,-42.2%,-79.8%
Palam APMC,-,-,1.0,-,-
Palghar APMC,64.0,40.0,136.0,60.0%,-52.9%
Pandharpur APMC,2.0,-,1.0,-,100.0%
Parali Vaijyanath APMC,-,-,3.0,-,-
Paranda APMC,-,-,2.0,-,-
Parbhani APMC,94.0,79.0,72.0,19.0%,30.6%
Parola APMC,14.0,-,9.0,-,55.6%
Partur APMC,14.0,16.0,115.0,-12.5%,-87.8%
Pathardi APMC,7.0,13.0,22.0,-46.1%,-68.2%
Pathari APMC,2.0,7.0,25.0,-71.4%,-92.0%
Patur APMC,33.0,29.0,96.0,13.8%,-65.6%
Phaltan APMC,13.0,30.0,275.0,-56.7%,-95.3%
Pune APMC,664.0,1148.0,326.0,-42.2%,103.7%
Purna APMC,1.0,-,-,-,-
Rahata APMC,10.0,17.0,50.0,-41.2%,-80.0%
Rahuri APMC,12.0,18.0,8.0,-33.3%,50.0%
Rahuri(Vambori) APMC,7.0,18.0,38.0,-61.1%,-81.6%
Ramtek APMC,61.0,102.0,83.0,-40.2%,-26.5%
Raver APMC,28.0,25.0,118.0,12.0%,-76.3%
Sakri APMC,4.0,6.0,-,-33.3%,-
Sangamner APMC,11.0,-,15.0,-,-26.7%
Sangli APMC,641.0,543.0,484.0,18.1%,32.4%
Sangrampur(Varvatbakal) APMC,2.0,-,59.0,-,-96.6%
Satana APMC,10.0,19.0,107.0,-47.4%,-90.7%
Savner APMC,10.0,25.0,53.0,-60.0%,-81.1%
Selu APMC,1.0,2.0,24.0,-50.0%,-95.8%
Shahada APMC,26.0,26.0,67.0,-,-61.2%
Shegaon APMC,23.0,11.0,46.0,109.1%,-50.0%
Shevgaon APMC,51.0,41.0,137.0,24.4%,-62.8%
Shevgaon(Bodhegaon) APMC,11.0,8.0,21.0,37.5%,-47.6%
Shirpur APMC,63.0,140.0,167.0,-55.0%,-62.3%
Shirur APMC,6.0,5.0,35.0,20.0%,-82.9%
Shrigonda APMC,6.0,10.0,51.0,-40.0%,-88.2%
Shrigonda(Gogargaon) APMC,-,-,38.0,-,-
Shrirampur APMC,8.0,6.0,52.0,33.3%,-84.6%
Shrirampur(Belapur) APMC,6.0,9.0,2.0,-33.3%,200.0%
Sillod APMC,362.0,427.0,671.0,-15.2%,-46.0%
Sillod(Bharadi) APMC,13.0,19.0,39.0,-31.6%,-66.7%
Sindi(Selu) APMC,31.0,46.0,96.0,-32.6%,-67.7%
Sinner APMC,-,12.0,68.0,-,-
Solapur APMC,1905.0,3217.0,1943.0,-40.8%,-2.0%
Sonpeth APMC,-,1.0,2.0,-,-
Tadkalas APMC,3.0,4.0,19.0,-25.0%,-84.2%
Tasgaon APMC,34.0,35.0,40.0,-2.9%,-15.0%
Telhara APMC,33.0,41.0,73.0,-19.5%,-54.8%
Tuljapur APMC,10.0,15.0,-,-33.3%,-
Tumsar APMC,18.0,31.0,293.0,-41.9%,-93.9%
Ulhasnagar APMC,462.0,918.0,585.0,-49.7%,-21.0%
Umared APMC,32.0,58.0,159.0,-44.8%,-79.9%
Umarga APMC,-,2.0,3.0,-,-
Umari APMC,-,-,5.0,-,-
Umarked(Danki) APMC,19.0,15.0,88.0,26.7%,-78.4%
Umarkhed APMC,-,-,106.0,-,-
Vaduj APMC,20.0,18.0,20.0,11.1%,-
Vadvani APMC,-,-,2.0,-,-
Vaijpur APMC,-,137.0,182.0,-,-
Vani APMC,2.0,1.0,-,100.0%,-
Varora APMC,4.0,3.0,-,33.3%,-
Varud(Rajura Bazar) APMC,2.0,-,7.0,-,-71.4%
Vasai APMC,89.0,309.0,219.0,-71.2%,-59.4%
Wardha APMC,12.0,43.0,103.0,-72.1%,-88.3%
Washim APMC,425.0,695.0,562.0,-38.9%,-24.4%
Washim(Ansing) APMC,15.0,9.0,24.0,66.7%,-37.5%
Yawal APMC,-,6.0,19.0,-,-
Yeola APMC,6.0,16.0,43.0,-62.5%,-86.0%
Yeotmal APMC,50.0,81.0,236.0,-38.3%,-78.8%
Total,20573.0,30111.0,45092.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

